Agazat,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
 01 Agricultura  vanatoare si servicii anexe,98,106,99,101,102,101,100,102,99,97,97
 05 Extractia carbunelui superior si inferior,73,70,79,80,83,78,75,75,74,73,79
 06 Extractia petrolului brut si a gazelor naturale,97,97,99,93,96,108,105,116,121,119,118
 07 Extractia minereurilor metalifere,77,89,83,84,81,90,97,93,98,101,100
 08 Alte activitati extractive,110,106,110,111,108,119,112,115,121,123,119
 09 Activitati de servicii anexe extractiei,97,97,100,94,97,101,93,95,90,94,95
 10 Industria alimentara,81,84,80,82,80,87,87,89,89,86,87
 11 Fabricarea bauturilor,81,84,80,81,79,86,93,89,93,93,93
 12 Fabricarea produselor din tutun,66,75,61,101,70,75,73,71,85,82,87
 13 Fabricarea produselor textile,83,89,83,86,81,90,88,93,93,87,91
 14 Fabricarea articolelor de imbracaminte,85,86,88,87,82,88,89,88,89,88,88
 15 Tabacirea si finisarea pieilor; fabricarea articolelor de voiaj si marochinarie  harnasamentelor si incaltamintei; prepararea si vopsirea blanurilor,90,95,94,88,88,87,90,88,88,86,87
 16 Prelucrarea lemnului  fabricarea produselor din lemn si pluta  cu exceptia mobilei; fabricarea articolelor din paie si din alte materiale vegetale impletite,98,103,106,102,101,101,101,104,97,99,97
 17 Fabricarea hartiei si a produselor din hartie,78,82,81,74,73,76,75,73,76,75,84
 18 Tiparire si reproducerea pe suporti a inregistrarilor,85,103,86,91,89,93,90,84,76,94,79
 19 Fabricarea produselor de cocserie si a produselor obtinute din prelucrarea titeiului,92,96,95,85,81,103,106,94,107,109,114
 20 Fabricarea substantelor si a produselor chimice,90,89,85,91,92,96,96,91,95,95,95
 21 Fabricarea produselor farmaceutice de baza si a preparatelor farmaceutice,90,89,86,92,93,80,82,88,89,90,82
 22 Fabricarea produselor din cauciuc si mase plastice,87,87,87,81,87,88,92,93,88,92,87
 23 Fabricarea altor produse din minerale nemetalice,87,90,95,91,93,91,93,96,97,101,97
 24 Industria metalurgica,89,92,90,92,88,93,91,90,92,96,98
 25 Industria constructiilor metalice si a produselor din metal  exclusiv masini  utilaje si instalatii,93,92,92,91,93,95,96,95,93,97,102
 26 Fabricarea calculatoarelor si a produselor electronice si optice,75,82,77,76,78,80,78,90,86,80,79
 27 Fabricarea echipamentelor electrice,87,89,85,81,84,80,77,78,77,78,82
 28 Fabricarea de masini  utilaje si echipamente n.c.a.,90,88,89,88,88,95,94,90,90,92,95
 29 Fabricarea autovehiculelor de transport rutier  a remorcilor si semiremorcilor,82,84,82,80,77,83,80,79,77,77,78
 30 Fabricarea altor mijloace de transport,89,93,89,93,92,94,96,96,92,98,100
