
CAEN Rev.1 (activitati ale economiei nationale - sectiuni), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii persoane, Valoare
Total, Total, TOTAL, Anul 2001, Mii persoane, 8562.5
Total, Total, TOTAL, Anul 2002, Mii persoane, 8329
Total, Total, TOTAL, Anul 2003, Mii persoane, 8305.5
Total, Total, TOTAL, Anul 2004, Mii persoane, 8238.3
Total, Total, TOTAL, Anul 2005, Mii persoane, 8390.4
Total, Total, TOTAL, Anul 2006, Mii persoane, 8469.3
Total, Total, TOTAL, Anul 2007, Mii persoane, 8725.9
Total, Total, TOTAL, Anul 2008, Mii persoane, 8747
Total, Total, MACROREGIUNEA UNU, Anul 2001, Mii persoane, 2221.7
Total, Total, MACROREGIUNEA UNU, Anul 2002, Mii persoane, 2175.3
Total, Total, MACROREGIUNEA UNU, Anul 2003, Mii persoane, 2156.3
Total, Total, MACROREGIUNEA UNU, Anul 2004, Mii persoane, 2132.6
Total, Total, MACROREGIUNEA UNU, Anul 2005, Mii persoane, 2153.6
Total, Total, MACROREGIUNEA UNU, Anul 2006, Mii persoane, 2180.3
Total, Total, MACROREGIUNEA UNU, Anul 2007, Mii persoane, 2236.4
Total, Total, MACROREGIUNEA UNU, Anul 2008, Mii persoane, 2234.4
Total, Total, Regiunea NORD-VEST, Anul 2001, Mii persoane, 1176.9
Total, Total, Regiunea NORD-VEST, Anul 2002, Mii persoane, 1133.4
Total, Total, Regiunea NORD-VEST, Anul 2003, Mii persoane, 1131.4
Total, Total, Regiunea NORD-VEST, Anul 2004, Mii persoane, 1125.3
Total, Total, Regiunea NORD-VEST, Anul 2005, Mii persoane, 1145.5
Total, Total, Regiunea NORD-VEST, Anul 2006, Mii persoane, 1155.4
Total, Total, Regiunea NORD-VEST, Anul 2007, Mii persoane, 1186.5
Total, Total, Regiunea NORD-VEST, Anul 2008, Mii persoane, 1187.9
Total, Total, Bihor, Anul 2001, Mii persoane, 281.2
Total, Total, Bihor, Anul 2002, Mii persoane, 274.2
Total, Total, Bihor, Anul 2003, Mii persoane, 274.9
Total, Total, Bihor, Anul 2004, Mii persoane, 269.4
Total, Total, Bihor, Anul 2005, Mii persoane, 272.4
Total, Total, Bihor, Anul 2006, Mii persoane, 273.2
Total, Total, Bihor, Anul 2007, Mii persoane, 278.1
Total, Total, Bihor, Anul 2008, Mii persoane, 275.6
Total, Total, Bistrita-Nasaud, Anul 2001, Mii persoane, 119.9
Total, Total, Bistrita-Nasaud, Anul 2002, Mii persoane, 114.4
Total, Total, Bistrita-Nasaud, Anul 2003, Mii persoane, 117.1
Total, Total, Bistrita-Nasaud, Anul 2004, Mii persoane, 116.7
Total, Total, Bistrita-Nasaud, Anul 2005, Mii persoane, 120.8
Total, Total, Bistrita-Nasaud, Anul 2006, Mii persoane, 122.3
Total, Total, Bistrita-Nasaud, Anul 2007, Mii persoane, 127.1
Total, Total, Bistrita-Nasaud, Anul 2008, Mii persoane, 128.2
Total, Total, Cluj, Anul 2001, Mii persoane, 298.4
Total, Total, Cluj, Anul 2002, Mii persoane, 298.7
Total, Total, Cluj, Anul 2003, Mii persoane, 299.7
Total, Total, Cluj, Anul 2004, Mii persoane, 304.2
Total, Total, Cluj, Anul 2005, Mii persoane, 309.4
Total, Total, Cluj, Anul 2006, Mii persoane, 315.1
Total, Total, Cluj, Anul 2007, Mii persoane, 330
Total, Total, Cluj, Anul 2008, Mii persoane, 334.6
Total, Total, Maramures, Anul 2001, Mii persoane, 211.4
Total, Total, Maramures, Anul 2002, Mii persoane, 199.2
Total, Total, Maramures, Anul 2003, Mii persoane, 197
Total, Total, Maramures, Anul 2004, Mii persoane, 198.5
Total, Total, Maramures, Anul 2005, Mii persoane, 200.1
Total, Total, Maramures, Anul 2006, Mii persoane, 197.6
Total, Total, Maramures, Anul 2007, Mii persoane, 198.6
Total, Total, Maramures, Anul 2008, Mii persoane, 198
Total, Total, Satu Mare, Anul 2001, Mii persoane, 161.6
Total, Total, Satu Mare, Anul 2002, Mii persoane, 149.5
Total, Total, Satu Mare, Anul 2003, Mii persoane, 146
Total, Total, Satu Mare, Anul 2004, Mii persoane, 142.5
Total, Total, Satu Mare, Anul 2005, Mii persoane, 146
Total, Total, Satu Mare, Anul 2006, Mii persoane, 147.8
Total, Total, Satu Mare, Anul 2007, Mii persoane, 150.6
Total, Total, Satu Mare, Anul 2008, Mii persoane, 150.9
Total, Total, Salaj, Anul 2001, Mii persoane, 104.4
Total, Total, Salaj, Anul 2002, Mii persoane, 97.4
Total, Total, Salaj, Anul 2003, Mii persoane, 96.7
Total, Total, Salaj, Anul 2004, Mii persoane, 94
Total, Total, Salaj, Anul 2005, Mii persoane, 96.8
Total, Total, Salaj, Anul 2006, Mii persoane, 99.4
Total, Total, Salaj, Anul 2007, Mii persoane, 102.1
Total, Total, Salaj, Anul 2008, Mii persoane, 100.6
Total, Total, Regiunea CENTRU, Anul 2001, Mii persoane, 1044.8
Total, Total, Regiunea CENTRU, Anul 2002, Mii persoane, 1041.9
Total, Total, Regiunea CENTRU, Anul 2003, Mii persoane, 1024.9
Total, Total, Regiunea CENTRU, Anul 2004, Mii persoane, 1007.3
Total, Total, Regiunea CENTRU, Anul 2005, Mii persoane, 1008.1
Total, Total, Regiunea CENTRU, Anul 2006, Mii persoane, 1024.9
Total, Total, Regiunea CENTRU, Anul 2007, Mii persoane, 1049.9
Total, Total, Regiunea CENTRU, Anul 2008, Mii persoane, 1046.5
Total, Total, Alba, Anul 2001, Mii persoane, 172.4
Total, Total, Alba, Anul 2002, Mii persoane, 176.5
Total, Total, Alba, Anul 2003, Mii persoane, 171.1
Total, Total, Alba, Anul 2004, Mii persoane, 167.8
Total, Total, Alba, Anul 2005, Mii persoane, 168.6
