
CAEN Rev.2  (activitati ale economiei nationale), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii persoane, Valoare
TOTAL, Total, TOTAL, Anul 2008, Mii persoane, 8747
TOTAL, Total, TOTAL, Anul 2009, Mii persoane, 8410.7
TOTAL, Total, TOTAL, Anul 2010, Mii persoane, 8371.3
TOTAL, Total, TOTAL, Anul 2011, Mii persoane, 8365.5
TOTAL, Total, TOTAL, Anul 2012, Mii persoane, 8569.6
TOTAL, Total, TOTAL, Anul 2013, Mii persoane, 8530.6
TOTAL, Total, MACROREGIUNEA UNU, Anul 2008, Mii persoane, 2234.4
TOTAL, Total, MACROREGIUNEA UNU, Anul 2009, Mii persoane, 2158.3
TOTAL, Total, MACROREGIUNEA UNU, Anul 2010, Mii persoane, 2155.5
TOTAL, Total, MACROREGIUNEA UNU, Anul 2011, Mii persoane, 2163.5
TOTAL, Total, MACROREGIUNEA UNU, Anul 2012, Mii persoane, 2227.9
TOTAL, Total, MACROREGIUNEA UNU, Anul 2013, Mii persoane, 2228.8
TOTAL, Total, Regiunea NORD-VEST, Anul 2008, Mii persoane, 1187.9
TOTAL, Total, Regiunea NORD-VEST, Anul 2009, Mii persoane, 1156.5
TOTAL, Total, Regiunea NORD-VEST, Anul 2010, Mii persoane, 1153.7
TOTAL, Total, Regiunea NORD-VEST, Anul 2011, Mii persoane, 1156.7
TOTAL, Total, Regiunea NORD-VEST, Anul 2012, Mii persoane, 1187.2
TOTAL, Total, Regiunea NORD-VEST, Anul 2013, Mii persoane, 1188
TOTAL, Total, Bihor, Anul 2008, Mii persoane, 275.6
TOTAL, Total, Bihor, Anul 2009, Mii persoane, 269.1
TOTAL, Total, Bihor, Anul 2010, Mii persoane, 266
TOTAL, Total, Bihor, Anul 2011, Mii persoane, 263
TOTAL, Total, Bihor, Anul 2012, Mii persoane, 268.3
TOTAL, Total, Bihor, Anul 2013, Mii persoane, 266.4
TOTAL, Total, Bistrita-Nasaud, Anul 2008, Mii persoane, 128.2
TOTAL, Total, Bistrita-Nasaud, Anul 2009, Mii persoane, 124.5
TOTAL, Total, Bistrita-Nasaud, Anul 2010, Mii persoane, 125.1
TOTAL, Total, Bistrita-Nasaud, Anul 2011, Mii persoane, 127
TOTAL, Total, Bistrita-Nasaud, Anul 2012, Mii persoane, 131.7
TOTAL, Total, Bistrita-Nasaud, Anul 2013, Mii persoane, 130.2
TOTAL, Total, Cluj, Anul 2008, Mii persoane, 334.6
TOTAL, Total, Cluj, Anul 2009, Mii persoane, 324
TOTAL, Total, Cluj, Anul 2010, Mii persoane, 325
TOTAL, Total, Cluj, Anul 2011, Mii persoane, 326.3
TOTAL, Total, Cluj, Anul 2012, Mii persoane, 332.8
TOTAL, Total, Cluj, Anul 2013, Mii persoane, 337.8
TOTAL, Total, Maramures, Anul 2008, Mii persoane, 198
TOTAL, Total, Maramures, Anul 2009, Mii persoane, 195.3
TOTAL, Total, Maramures, Anul 2010, Mii persoane, 195.1
TOTAL, Total, Maramures, Anul 2011, Mii persoane, 196.6
TOTAL, Total, Maramures, Anul 2012, Mii persoane, 202.1
TOTAL, Total, Maramures, Anul 2013, Mii persoane, 201.1
TOTAL, Total, Satu Mare, Anul 2008, Mii persoane, 150.9
TOTAL, Total, Satu Mare, Anul 2009, Mii persoane, 146.4
TOTAL, Total, Satu Mare, Anul 2010, Mii persoane, 145.2
TOTAL, Total, Satu Mare, Anul 2011, Mii persoane, 145.6
TOTAL, Total, Satu Mare, Anul 2012, Mii persoane, 150.4
TOTAL, Total, Satu Mare, Anul 2013, Mii persoane, 151.2
TOTAL, Total, Salaj, Anul 2008, Mii persoane, 100.6
TOTAL, Total, Salaj, Anul 2009, Mii persoane, 97.2
TOTAL, Total, Salaj, Anul 2010, Mii persoane, 97.3
TOTAL, Total, Salaj, Anul 2011, Mii persoane, 98.2
TOTAL, Total, Salaj, Anul 2012, Mii persoane, 101.9
TOTAL, Total, Salaj, Anul 2013, Mii persoane, 101.3
TOTAL, Total, Regiunea CENTRU, Anul 2008, Mii persoane, 1046.5
TOTAL, Total, Regiunea CENTRU, Anul 2009, Mii persoane, 1001.8
TOTAL, Total, Regiunea CENTRU, Anul 2010, Mii persoane, 1001.8
TOTAL, Total, Regiunea CENTRU, Anul 2011, Mii persoane, 1006.8
TOTAL, Total, Regiunea CENTRU, Anul 2012, Mii persoane, 1040.7
TOTAL, Total, Regiunea CENTRU, Anul 2013, Mii persoane, 1040.8
TOTAL, Total, Alba, Anul 2008, Mii persoane, 168.6
TOTAL, Total, Alba, Anul 2009, Mii persoane, 160
TOTAL, Total, Alba, Anul 2010, Mii persoane, 156.8
TOTAL, Total, Alba, Anul 2011, Mii persoane, 158.1
TOTAL, Total, Alba, Anul 2012, Mii persoane, 163.4
TOTAL, Total, Alba, Anul 2013, Mii persoane, 163.3
TOTAL, Total, Brasov, Anul 2008, Mii persoane, 239.6
TOTAL, Total, Brasov, Anul 2009, Mii persoane, 229.5
TOTAL, Total, Brasov, Anul 2010, Mii persoane, 228.1
TOTAL, Total, Brasov, Anul 2011, Mii persoane, 229.2
TOTAL, Total, Brasov, Anul 2012, Mii persoane, 237.6
TOTAL, Total, Brasov, Anul 2013, Mii persoane, 241.7
TOTAL, Total, Covasna, Anul 2008, Mii persoane, 87
TOTAL, Total, Covasna, Anul 2009, Mii persoane, 83.1
TOTAL, Total, Covasna, Anul 2010, Mii persoane, 80.7
TOTAL, Total, Covasna, Anul 2011, Mii persoane, 81.9
TOTAL, Total, Covasna, Anul 2012, Mii persoane, 84.4
TOTAL, Total, Covasna, Anul 2013, Mii persoane, 83.2
TOTAL, Total, Harghita, Anul 2008, Mii persoane, 134
TOTAL, Total, Harghita, Anul 2009, Mii persoane, 129.6
TOTAL, Total, Harghita, Anul 2010, Mii persoane, 132.4
TOTAL, Total, Harghita, Anul 2011, Mii persoane, 132
TOTAL, Total, Harghita, Anul 2012, Mii persoane, 134.9
TOTAL, Total, Harghita, Anul 2013, Mii persoane, 134.2
TOTAL, Total, Mures, Anul 2008, Mii persoane, 236.8
TOTAL, Total, Mures, Anul 2009, Mii persoane, 229.4
TOTAL, Total, Mures, Anul 2010, Mii persoane, 228.2
TOTAL, Total, Mures, Anul 2011, Mii persoane, 229
TOTAL, Total, Mures, Anul 2012, Mii persoane, 235.6
TOTAL, Total, Mures, Anul 2013, Mii persoane, 233.4
TOTAL, Total, Sibiu, Anul 2008, Mii persoane, 180.5
TOTAL, Total, Sibiu, Anul 2009, Mii persoane, 170.2
TOTAL, Total, Sibiu, Anul 2010, Mii persoane, 175.6
TOTAL, Total, Sibiu, Anul 2011, Mii persoane, 176.6
TOTAL, Total, Sibiu, Anul 2012, Mii persoane, 184.8
TOTAL, Total, Sibiu, Anul 2013, Mii persoane, 185
TOTAL, Total, MACROREGIUNEA DOI, Anul 2008, Mii persoane, 2306.5
TOTAL, Total, MACROREGIUNEA DOI, Anul 2009, Mii persoane, 2219.3
TOTAL, Total, MACROREGIUNEA DOI, Anul 2010, Mii persoane, 2202.1
TOTAL, Total, MACROREGIUNEA DOI, Anul 2011, Mii persoane, 2179
TOTAL, Total, MACROREGIUNEA DOI, Anul 2012, Mii persoane, 2235.7
TOTAL, Total, MACROREGIUNEA DOI, Anul 2013, Mii persoane, 2207.6
TOTAL, Total, Regiunea NORD-EST, Anul 2008, Mii persoane, 1248.9
TOTAL, Total, Regiunea NORD-EST, Anul 2009, Mii persoane, 1208.2
TOTAL, Total, Regiunea NORD-EST, Anul 2010, Mii persoane, 1207.2
TOTAL, Total, Regiunea NORD-EST, Anul 2011, Mii persoane, 1192.8
TOTAL, Total, Regiunea NORD-EST, Anul 2012, Mii persoane, 1224.7
TOTAL, Total, Regiunea NORD-EST, Anul 2013, Mii persoane, 1203.7
TOTAL, Total, Bacau, Anul 2008, Mii persoane, 223.7
TOTAL, Total, Bacau, Anul 2009, Mii persoane, 213.9
TOTAL, Total, Bacau, Anul 2010, Mii persoane, 208.8
TOTAL, Total, Bacau, Anul 2011, Mii persoane, 208.3
TOTAL, Total, Bacau, Anul 2012, Mii persoane, 213.3
TOTAL, Total, Bacau, Anul 2013, Mii persoane, 208.3
TOTAL, Total, Botosani, Anul 2008, Mii persoane, 149.3
TOTAL, Total, Botosani, Anul 2009, Mii persoane, 145.7
TOTAL, Total, Botosani, Anul 2010, Mii persoane, 145
TOTAL, Total, Botosani, Anul 2011, Mii persoane, 146.6
TOTAL, Total, Botosani, Anul 2012, Mii persoane, 150.8
TOTAL, Total, Botosani, Anul 2013, Mii persoane, 148.6
TOTAL, Total, Iasi, Anul 2008, Mii persoane, 295.8
TOTAL, Total, Iasi, Anul 2009, Mii persoane, 286.3
TOTAL, Total, Iasi, Anul 2010, Mii persoane, 285.7
TOTAL, Total, Iasi, Anul 2011, Mii persoane, 280
TOTAL, Total, Iasi, Anul 2012, Mii persoane, 287.1
TOTAL, Total, Iasi, Anul 2013, Mii persoane, 285.8
TOTAL, Total, Neamt, Anul 2008, Mii persoane, 193.8
TOTAL, Total, Neamt, Anul 2009, Mii persoane, 188.3
TOTAL, Total, Neamt, Anul 2010, Mii persoane, 191
TOTAL, Total, Neamt, Anul 2011, Mii persoane, 186.5
TOTAL, Total, Neamt, Anul 2012, Mii persoane, 192.8
TOTAL, Total, Neamt, Anul 2013, Mii persoane, 188.3
TOTAL, Total, Suceava, Anul 2008, Mii persoane, 241.5
TOTAL, Total, Suceava, Anul 2009, Mii persoane, 234
TOTAL, Total, Suceava, Anul 2010, Mii persoane, 238.4
TOTAL, Total, Suceava, Anul 2011, Mii persoane, 232.7
TOTAL, Total, Suceava, Anul 2012, Mii persoane, 237.9
TOTAL, Total, Suceava, Anul 2013, Mii persoane, 233.6
TOTAL, Total, Vaslui, Anul 2008, Mii persoane, 144.8
TOTAL, Total, Vaslui, Anul 2009, Mii persoane, 140
TOTAL, Total, Vaslui, Anul 2010, Mii persoane, 138.3
TOTAL, Total, Vaslui, Anul 2011, Mii persoane, 138.7
TOTAL, Total, Vaslui, Anul 2012, Mii persoane, 142.8
TOTAL, Total, Vaslui, Anul 2013, Mii persoane, 139.1
TOTAL, Total, Regiunea SUD-EST, Anul 2008, Mii persoane, 1057.6
TOTAL, Total, Regiunea SUD-EST, Anul 2009, Mii persoane, 1011.1
