
CAEN Rev.2  (activitati ale economiei nationale), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Lei  lei RON (incepand cu 2005), Valoare
TOTAL, Total, TOTAL, Anul 2008, Lei, 1309
TOTAL, Total, TOTAL, Anul 2009, Lei, 1361
TOTAL, Total, TOTAL, Anul 2010, Lei, 1391
TOTAL, Total, TOTAL, Anul 2011, Lei, 1444
TOTAL, Total, TOTAL, Anul 2012, Lei, 1507
TOTAL, Total, TOTAL, Anul 2013, Lei, 1579
TOTAL, Total, MACROREGIUNEA UNU, Anul 2008, Lei, 1134
TOTAL, Total, MACROREGIUNEA UNU, Anul 2009, Lei, 1191
TOTAL, Total, MACROREGIUNEA UNU, Anul 2010, Lei, 1203
TOTAL, Total, MACROREGIUNEA UNU, Anul 2011, Lei, 1243
TOTAL, Total, MACROREGIUNEA UNU, Anul 2012, Lei, 1305
TOTAL, Total, MACROREGIUNEA UNU, Anul 2013, Lei, 1368
TOTAL, Total, Regiunea NORD-VEST, Anul 2008, Lei, 1119
TOTAL, Total, Regiunea NORD-VEST, Anul 2009, Lei, 1161
TOTAL, Total, Regiunea NORD-VEST, Anul 2010, Lei, 1168
TOTAL, Total, Regiunea NORD-VEST, Anul 2011, Lei, 1208
TOTAL, Total, Regiunea NORD-VEST, Anul 2012, Lei, 1280
TOTAL, Total, Regiunea NORD-VEST, Anul 2013, Lei, 1342
TOTAL, Total, Bihor, Anul 2008, Lei, 1004
TOTAL, Total, Bihor, Anul 2009, Lei, 1025
TOTAL, Total, Bihor, Anul 2010, Lei, 1074
TOTAL, Total, Bihor, Anul 2011, Lei, 1086
TOTAL, Total, Bihor, Anul 2012, Lei, 1123
TOTAL, Total, Bihor, Anul 2013, Lei, 1155
TOTAL, Total, Bistrita-Nasaud, Anul 2008, Lei, 1085
TOTAL, Total, Bistrita-Nasaud, Anul 2009, Lei, 1115
TOTAL, Total, Bistrita-Nasaud, Anul 2010, Lei, 1088
TOTAL, Total, Bistrita-Nasaud, Anul 2011, Lei, 1107
TOTAL, Total, Bistrita-Nasaud, Anul 2012, Lei, 1159
TOTAL, Total, Bistrita-Nasaud, Anul 2013, Lei, 1198
TOTAL, Total, Cluj, Anul 2008, Lei, 1315
TOTAL, Total, Cluj, Anul 2009, Lei, 1387
TOTAL, Total, Cluj, Anul 2010, Lei, 1389
TOTAL, Total, Cluj, Anul 2011, Lei, 1467
TOTAL, Total, Cluj, Anul 2012, Lei, 1574
TOTAL, Total, Cluj, Anul 2013, Lei, 1672
TOTAL, Total, Maramures, Anul 2008, Lei, 1018
TOTAL, Total, Maramures, Anul 2009, Lei, 1046
TOTAL, Total, Maramures, Anul 2010, Lei, 1025
TOTAL, Total, Maramures, Anul 2011, Lei, 1043
TOTAL, Total, Maramures, Anul 2012, Lei, 1153
TOTAL, Total, Maramures, Anul 2013, Lei, 1165
TOTAL, Total, Satu Mare, Anul 2008, Lei, 1041
TOTAL, Total, Satu Mare, Anul 2009, Lei, 1064
TOTAL, Total, Satu Mare, Anul 2010, Lei, 1065
TOTAL, Total, Satu Mare, Anul 2011, Lei, 1118
TOTAL, Total, Satu Mare, Anul 2012, Lei, 1161
TOTAL, Total, Satu Mare, Anul 2013, Lei, 1279
TOTAL, Total, Salaj, Anul 2008, Lei, 1076
TOTAL, Total, Salaj, Anul 2009, Lei, 1152
TOTAL, Total, Salaj, Anul 2010, Lei, 1119
TOTAL, Total, Salaj, Anul 2011, Lei, 1135
TOTAL, Total, Salaj, Anul 2012, Lei, 1159
TOTAL, Total, Salaj, Anul 2013, Lei, 1219
TOTAL, Total, Regiunea CENTRU, Anul 2008, Lei, 1150
