
Categorii de salariati, Sexe, CAEN Rev.2  (activitati ale economiei nationale), Ani, UM: Lei RON, Valoare
Total, Total, TOTAL, Anul 2000, Lei RON, 214
Total, Total, TOTAL, Anul 2001, Lei RON, 302
Total, Total, TOTAL, Anul 2002, Lei RON, 379
Total, Total, TOTAL, Anul 2003, Lei RON, 484
Total, Total, TOTAL, Anul 2004, Lei RON, 599
Total, Total, TOTAL, Anul 2005, Lei RON, 746
Total, Total, TOTAL, Anul 2006, Lei RON, 866
Total, Total, TOTAL, Anul 2007, Lei RON, 1042
Total, Total, TOTAL, Anul 2008, Lei RON, 1309
Total, Total, TOTAL, Anul 2009, Lei RON, 1361
Total, Total, TOTAL, Anul 2010, Lei RON, 1391
Total, Total, TOTAL, Anul 2011, Lei RON, 1444
Total, Total, TOTAL, Anul 2012, Lei RON, 1507
Total, Total, TOTAL, Anul 2013, Lei RON, 1579
Total, Total, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2000, Lei RON, 163
Total, Total, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2001, Lei RON, 227
Total, Total, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2002, Lei RON, 284
Total, Total, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2003, Lei RON, 377
Total, Total, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2004, Lei RON, 480
Total, Total, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2005, Lei RON, 527
Total, Total, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2006, Lei RON, 617
Total, Total, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2007, Lei RON, 743
Total, Total, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2008, Lei RON, 914
Total, Total, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2009, Lei RON, 1007
Total, Total, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2010, Lei RON, 1024
Total, Total, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2011, Lei RON, 1044
Total, Total, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2012, Lei RON, 1093
Total, Total, A  AGRICULTURA  SILVICULTURA SI PESCUIT, Anul 2013, Lei RON, 1179
Total, Total, 01 Agricultura  vanatoare si servicii anexe, Anul 2000, Lei RON, 152
Total, Total, 01 Agricultura  vanatoare si servicii anexe, Anul 2001, Lei RON, 214
Total, Total, 01 Agricultura  vanatoare si servicii anexe, Anul 2002, Lei RON, 272
Total, Total, 01 Agricultura  vanatoare si servicii anexe, Anul 2003, Lei RON, 342
Total, Total, 01 Agricultura  vanatoare si servicii anexe, Anul 2004, Lei RON, 443
Total, Total, 01 Agricultura  vanatoare si servicii anexe, Anul 2005, Lei RON, 487
Total, Total, 01 Agricultura  vanatoare si servicii anexe, Anul 2006, Lei RON, 587
Total, Total, 01 Agricultura  vanatoare si servicii anexe, Anul 2007, Lei RON, 710
Total, Total, 01 Agricultura  vanatoare si servicii anexe, Anul 2008, Lei RON, 855
Total, Total, 01 Agricultura  vanatoare si servicii anexe, Anul 2009, Lei RON, 980
Total, Total, 01 Agricultura  vanatoare si servicii anexe, Anul 2010, Lei RON, 977
Total, Total, 01 Agricultura  vanatoare si servicii anexe, Anul 2011, Lei RON, 987
Total, Total, 01 Agricultura  vanatoare si servicii anexe, Anul 2012, Lei RON, 1036
Total, Total, 01 Agricultura  vanatoare si servicii anexe, Anul 2013, Lei RON, 1116
Total, Total, Silvicultura si exploatare forestiera; Pescuit si acvacultura, Anul 2000, Lei RON, 192
Total, Total, Silvicultura si exploatare forestiera; Pescuit si acvacultura, Anul 2001, Lei RON, 263
Total, Total, Silvicultura si exploatare forestiera; Pescuit si acvacultura, Anul 2002, Lei RON, 315
Total, Total, Silvicultura si exploatare forestiera; Pescuit si acvacultura, Anul 2003, Lei RON, 471
Total, Total, Silvicultura si exploatare forestiera; Pescuit si acvacultura, Anul 2004, Lei RON, 576
Total, Total, Silvicultura si exploatare forestiera; Pescuit si acvacultura, Anul 2005, Lei RON, 630
Total, Total, Silvicultura si exploatare forestiera; Pescuit si acvacultura, Anul 2006, Lei RON, 692
Total, Total, Silvicultura si exploatare forestiera; Pescuit si acvacultura, Anul 2007, Lei RON, 822
Total, Total, Silvicultura si exploatare forestiera; Pescuit si acvacultura, Anul 2008, Lei RON, 1044
Total, Total, Silvicultura si exploatare forestiera; Pescuit si acvacultura, Anul 2009, Lei RON, 1074
Total, Total, Silvicultura si exploatare forestiera; Pescuit si acvacultura, Anul 2010, Lei RON, 1134
Total, Total, Silvicultura si exploatare forestiera; Pescuit si acvacultura, Anul 2011, Lei RON, 1172
Total, Total, Silvicultura si exploatare forestiera; Pescuit si acvacultura, Anul 2012, Lei RON, 1227
Total, Total, Silvicultura si exploatare forestiera; Pescuit si acvacultura, Anul 2013, Lei RON, 1327
Total, Total, INDUSTRIE, Anul 2000, Lei RON, 222
Total, Total, INDUSTRIE, Anul 2001, Lei RON, 311
Total, Total, INDUSTRIE, Anul 2002, Lei RON, 382
Total, Total, INDUSTRIE, Anul 2003, Lei RON, 485
Total, Total, INDUSTRIE, Anul 2004, Lei RON, 598
Total, Total, INDUSTRIE, Anul 2005, Lei RON, 732
Total, Total, INDUSTRIE, Anul 2006, Lei RON, 822
Total, Total, INDUSTRIE, Anul 2007, Lei RON, 971
Total, Total, INDUSTRIE, Anul 2008, Lei RON, 1189
Total, Total, INDUSTRIE, Anul 2009, Lei RON, 1300
Total, Total, INDUSTRIE, Anul 2010, Lei RON, 1388
Total, Total, INDUSTRIE, Anul 2011, Lei RON, 1470
Total, Total, INDUSTRIE, Anul 2012, Lei RON, 1541
Total, Total, INDUSTRIE, Anul 2013, Lei RON, 1604
Total, Total, B  INDUSTRIA EXTRACTIVA, Anul 2000, Lei RON, 368
Total, Total, B  INDUSTRIA EXTRACTIVA, Anul 2001, Lei RON, 524
Total, Total, B  INDUSTRIA EXTRACTIVA, Anul 2002, Lei RON, 669
Total, Total, B  INDUSTRIA EXTRACTIVA, Anul 2003, Lei RON, 820
Total, Total, B  INDUSTRIA EXTRACTIVA, Anul 2004, Lei RON, 975
Total, Total, B  INDUSTRIA EXTRACTIVA, Anul 2005, Lei RON, 1246
Total, Total, B  INDUSTRIA EXTRACTIVA, Anul 2006, Lei RON, 1516
Total, Total, B  INDUSTRIA EXTRACTIVA, Anul 2007, Lei RON, 1804
Total, Total, B  INDUSTRIA EXTRACTIVA, Anul 2008, Lei RON, 2287
Total, Total, B  INDUSTRIA EXTRACTIVA, Anul 2009, Lei RON, 2360
Total, Total, B  INDUSTRIA EXTRACTIVA, Anul 2010, Lei RON, 2435
Total, Total, B  INDUSTRIA EXTRACTIVA, Anul 2011, Lei RON, 2577
Total, Total, B  INDUSTRIA EXTRACTIVA, Anul 2012, Lei RON, 2786
Total, Total, B  INDUSTRIA EXTRACTIVA, Anul 2013, Lei RON, 2943
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2000, Lei RON, 411
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2001, Lei RON, 617
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2002, Lei RON, 777
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2003, Lei RON, 989
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2004, Lei RON, 1121
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2005, Lei RON, 1357
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2006, Lei RON, 1566
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2007, Lei RON, 1855
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2008, Lei RON, 2306
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2009, Lei RON, 2347
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2010, Lei RON, 2383
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2011, Lei RON, 2392
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2012, Lei RON, 2557
Total, Total, 05 Extractia carbunelui superior si inferior, Anul 2013, Lei RON, 2578
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2000, Lei RON, 398
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2001, Lei RON, 545
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2002, Lei RON, 706
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2003, Lei RON, 834
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2004, Lei RON, 1040
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2005, Lei RON, 1395
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2006, Lei RON, 1769
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2007, Lei RON, 2101
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2008, Lei RON, 2846
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2009, Lei RON, 2934
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2010, Lei RON, 2862
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2011, Lei RON, 3192
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2012, Lei RON, 3646
Total, Total, 06 Extractia petrolului brut si a gazelor naturale, Anul 2013, Lei RON, 3945
Total, Total, 07 Extractia minereurilor metalifere, Anul 2000, Lei RON, 302
Total, Total, 07 Extractia minereurilor metalifere, Anul 2001, Lei RON, 441
Total, Total, 07 Extractia minereurilor metalifere, Anul 2002, Lei RON, 548
Total, Total, 07 Extractia minereurilor metalifere, Anul 2003, Lei RON, 686
Total, Total, 07 Extractia minereurilor metalifere, Anul 2004, Lei RON, 787
Total, Total, 07 Extractia minereurilor metalifere, Anul 2005, Lei RON, 952
Total, Total, 07 Extractia minereurilor metalifere, Anul 2006, Lei RON, 1088
Total, Total, 07 Extractia minereurilor metalifere, Anul 2007, Lei RON, 1424
Total, Total, 07 Extractia minereurilor metalifere, Anul 2008, Lei RON, 1632
Total, Total, 07 Extractia minereurilor metalifere, Anul 2009, Lei RON, 1698
Total, Total, 07 Extractia minereurilor metalifere, Anul 2010, Lei RON, 1985
Total, Total, 07 Extractia minereurilor metalifere, Anul 2011, Lei RON, 2118
Total, Total, 07 Extractia minereurilor metalifere, Anul 2012, Lei RON, 2163
Total, Total, 07 Extractia minereurilor metalifere, Anul 2013, Lei RON, 2126
Total, Total, 08 Alte activitati extractive, Anul 2000, Lei RON, 263
Total, Total, 08 Alte activitati extractive, Anul 2001, Lei RON, 346
Total, Total, 08 Alte activitati extractive, Anul 2002, Lei RON, 431
Total, Total, 08 Alte activitati extractive, Anul 2003, Lei RON, 558
Total, Total, 08 Alte activitati extractive, Anul 2004, Lei RON, 678
Total, Total, 08 Alte activitati extractive, Anul 2005, Lei RON, 756
Total, Total, 08 Alte activitati extractive, Anul 2006, Lei RON, 854
Total, Total, 08 Alte activitati extractive, Anul 2007, Lei RON, 996
Total, Total, 08 Alte activitati extractive, Anul 2008, Lei RON, 1197
Total, Total, 08 Alte activitati extractive, Anul 2009, Lei RON, 1234
Total, Total, 08 Alte activitati extractive, Anul 2010, Lei RON, 1335
Total, Total, 08 Alte activitati extractive, Anul 2011, Lei RON, 1438
Total, Total, 08 Alte activitati extractive, Anul 2012, Lei RON, 1366
