Sorszám,Neme?,Életkora,Városban lakik?,A legmagasabb iskolai végzettsége,Hányan élnek egy háztartásban?,"Hogy érzi, mennyire boldog? A jelenlegi élethelyzetében a létra melyik fokán áll?",Hogyan érzékeli a szakmai pályafutását? Jelenleg melyik fokon áll karrier szempontjából?,Hogyan érzékeli az egészségi állapotát? Jelenleg  melyik fokon áll egészségileg?,Milyeneknek érzi a baráti kapcsolatait? Jelenleg  melyik fokon áll az emberi kapcsolatokban?,"Milyennek érzékeli a természeti környezetet, amely körülveszi? Jelenleg  melyik fokon áll a környezetével kapcsolatokban?",Megfelelő kikapcsolódási és szórakozási lehetőségei vannak? Jelenleg  melyik fokon áll a kikapcsolódás és szórakozás terén?,Vallásos-e ön?,Hogyan látja a jövőt? A boldogságát tekintve melyik fokon fog állni 5 év múlva?,Hogyan érzékeli az anyagi helyzetét? Jelenleg  melyik fokon áll anyagilag?,Milyeneknek érzi a családi kapcsolatait? Jelenleg  melyik fokon áll a családi kapcsolatokban?,Egy főre jutó nettó jövedelem a háztartásban,Munkaviszonya,Végez hetente legalább 3-szor legkevesebb 30 perc testmozgást?,"Milyen lesz a természeti környezet, amely körülveszi? 5 év múlva melyik fokon fog állni a környezetével kapcsolatokban?",Milyen a spiritualitással való kapcsolata? Jelenleg a létra melyik fokán áll a spiritualitás terén?,"Ha bajba kerül vagy problémája adódik, van-e valaki a családjában vagy a közvetlen környezetében, akinek a segítségére vagy támogatására számíthat?","Melyik székely szék településén van állandó lakhelye? (Az, ahol valóban lakik, nem az, amit a személyazonossági igazolványa ír.)","Szokott-e pénzzel vagy önkéntes munkával segíteni rászorulóknak, esetleg a rászorulókat támogató szervezeteknek? ",Adományozott-e pénzt (bármilyen csekély összeget) az elmúlt hónapban?,"Leggyakrabban (nem a jelen pillanatban) milyen a kedélyállapota? Ha az előző szakaszban említett létrán 0 a mély depresszió és 10 a maximális eufória, akkor jelenleg a létra melyik fokán áll általános kedélyállapotát tekintve?","Az ön közvetlen családjában (szülők, testvérek, házastárs, vagy gyermek) volt-e öngyilkossági kísérlet?","Önnek, személy szerint volt-e öngyilkossági kísérlete?","Úgy érzi, hogy van elég választási szabadsága, amikor fontos élethelyzetekben kell döntenie?",Korruptnak tartja-e a kormányzatot?,Korruptnak tartja-e a székelyföldi politikusokat?,Korruptnak tartja-e a székelyföldi üzletembereket? A helyi gazdasági életben csak korrupcióval lehet érvényesülni?,,
1,férfi,35-44,Igen,felsőfokú,3,9,7,8,7,7,6,"valamennyire igen, de nem járok templomba",9,7,8,2000 - 2999 RON között,Vállalkozó / cégtulajdonos,igen,8,7,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,7,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
2,férfi,35-44,Igen,felsőfokú,5 vagy több,8,6,8,8,9,8,"igen, heti rendszerességgel járok templomba",8,7,10,999 RON alatt,Alkalmazott,igen,9,8,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,8,Nem,Nem,Igen,Igen!,Nem!,Nem!,,
3,férfi,25-34,Igen,felsőfokú,2,9,8,10,7,10,9,"igen, heti rendszerességgel járok templomba",9,9,10,2000 - 2999 RON között,Alkalmazott,nem,10,9,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,8,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
4,nő,55-64,Igen,középiskola,3,7,5,7,3,8,7,"valamennyire igen, évente többször járok templomba",9,8,8,2000 - 2999 RON között,Alkalmazott,igen,8,8,Igen,Csíkszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,7,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
5,férfi,25-34,Igen,felsőfokú,4,6,5,8,7,8,3,"valamennyire igen, évente többször járok templomba",8,6,9,1000 - 1999 RON között,Alkalmazott,igen,6,3,Igen,Marosszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,4,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
6,férfi,45-54,Igen,középiskola,3,8,8,8,8,8,7,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",7,6,9,1000 - 1999 RON között,Alkalmazott,igen,7,6,Igen,Csíkszék,"Pénzzel és önkéntes munkával is szoktam támogatni őket, ha meggyőznek kérésük jogosságáról.",Igen,8,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
7,férfi,45-54,Nem,felsőfokú,4,4,7,3,4,5,3,"valamennyire igen, évente többször járok templomba",7,3,5,999 RON alatt,Alkalmazott,igen,7,6,Igen,Udvarhelyszék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Nem,6,Nem,Nem,Igen,Igen!,Igen!,Nem!,,
8,férfi,25-34,Igen,felsőfokú,2,8,7,6,10,7,7,"valamennyire igen, évente többször járok templomba",10,7,10,3000 RON fölött,Alkalmazott,nem,8,8,Igen,Sepsiszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Igen,6,Igen,Nem,Nem,Igen!,Igen!,Igen!,,
9,férfi,15-24,Nem,felsőfokú,4,9,6,7,9,7,7,"valamennyire igen, évente többször járok templomba",9,6,9,2000 - 2999 RON között,Alkalmazott,igen,7,7,Igen,Udvarhelyszék,"Néha adok egy kevés pénzt, de nem szoktam önkéntes munkát végezni.",Nem,9,Nem,Nem,Igen,Igen!,Igen!,Igen!,,
10,nő,35-44,Igen,felsőfokú,4,7,7,8,7,6,4,"a magam módján vallásos vagyok, de nem járok semmilyen templomba",6,6,9,1000 - 1999 RON között,Alkalmazott,nem,6,5,Igen,Gyergyószék,"Ha időm és/vagy anyagi helyzetem engedi, szívesen szoktam segíteni.",Igen,5,Nem,Nem,Nem,Igen!,Igen!,Igen!,,
