 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 114355 CRISTESTI,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,288
 114355 CRISTESTI,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,265
 114355 CRISTESTI,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,236
 114355 CRISTESTI,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,205
 114355 CRISTESTI,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,193
 114355 CRISTESTI,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,171
 114355 CRISTESTI,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,169
 114355 CRISTESTI,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,178
 114355 CRISTESTI,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,182
 114355 CRISTESTI,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,179
 114355 CRISTESTI,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,182
 114355 CRISTESTI,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,172
 114355 CRISTESTI,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,195
 114355 CRISTESTI,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,182
 114355 CRISTESTI,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,206
 114355 CRISTESTI,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,231
 114355 CRISTESTI,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,251
 114355 CRISTESTI,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,266
 114355 CRISTESTI,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,281
 114355 CRISTESTI,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,291
 114355 CRISTESTI,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,268
 114355 CRISTESTI,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,245
 114355 CRISTESTI,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,219
 114355 CRISTESTI,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,201
 114355 CRISTESTI,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,179
 114355 CRISTESTI,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,177
 114355 CRISTESTI,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,172
 114355 CRISTESTI,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,177
 114355 CRISTESTI,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,251
 114355 CRISTESTI,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,221
 114355 CRISTESTI,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,212
 114355 CRISTESTI,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,216
 114355 CRISTESTI,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,208
 114355 CRISTESTI,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,207
 114355 CRISTESTI,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,235
 114355 CRISTESTI,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,250
 114355 CRISTESTI,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,270
 114355 CRISTESTI,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,283
 114355 CRISTESTI,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,295
 114355 CRISTESTI,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,281
 114355 CRISTESTI,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,250
 114355 CRISTESTI,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,214
 114355 CRISTESTI,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,236
 114355 CRISTESTI,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,255
 114355 CRISTESTI,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,254
 114355 CRISTESTI,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,244
 114355 CRISTESTI,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,249
 114355 CRISTESTI,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,255
 114355 CRISTESTI,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,224
 114355 CRISTESTI,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,211
 114355 CRISTESTI,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,213
 114355 CRISTESTI,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,204
 114355 CRISTESTI,15-19 ani, Masculin, Mures, Anul 2002, Numar persoane,208
 114355 CRISTESTI,15-19 ani, Masculin, Mures, Anul 2003, Numar persoane,237
 114355 CRISTESTI,15-19 ani, Masculin, Mures, Anul 2004, Numar persoane,259
 114355 CRISTESTI,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,270
 114355 CRISTESTI,20-24 ani, Masculin, Mures, Anul 1992, Numar persoane,263
 114355 CRISTESTI,20-24 ani, Masculin, Mures, Anul 1993, Numar persoane,257
 114355 CRISTESTI,20-24 ani, Masculin, Mures, Anul 1994, Numar persoane,254
 114355 CRISTESTI,20-24 ani, Masculin, Mures, Anul 1995, Numar persoane,250
 114355 CRISTESTI,20-24 ani, Masculin, Mures, Anul 1996, Numar persoane,240
 114355 CRISTESTI,20-24 ani, Masculin, Mures, Anul 1997, Numar persoane,239
 114355 CRISTESTI,20-24 ani, Masculin, Mures, Anul 1998, Numar persoane,261
 114355 CRISTESTI,20-24 ani, Masculin, Mures, Anul 1999, Numar persoane,262
 114355 CRISTESTI,20-24 ani, Masculin, Mures, Anul 2000, Numar persoane,252
 114355 CRISTESTI,20-24 ani, Masculin, Mures, Anul 2001, Numar persoane,255
 114355 CRISTESTI,20-24 ani, Masculin, Mures, Anul 2002, Numar persoane,257
 114355 CRISTESTI,20-24 ani, Masculin, Mures, Anul 2003, Numar persoane,223
 114355 CRISTESTI,20-24 ani, Masculin, Mures, Anul 2004, Numar persoane,209
 114355 CRISTESTI,20-24 ani, Masculin, Mures, Anul 2005, Numar persoane,219
 114355 CRISTESTI,25-29 ani, Masculin, Mures, Anul 1992, Numar persoane,246
 114355 CRISTESTI,25-29 ani, Masculin, Mures, Anul 1993, Numar persoane,247
 114355 CRISTESTI,25-29 ani, Masculin, Mures, Anul 1994, Numar persoane,242
 114355 CRISTESTI,25-29 ani, Masculin, Mures, Anul 1995, Numar persoane,235
 114355 CRISTESTI,25-29 ani, Masculin, Mures, Anul 1996, Numar persoane,244
 114355 CRISTESTI,25-29 ani, Masculin, Mures, Anul 1997, Numar persoane,257
 114355 CRISTESTI,25-29 ani, Masculin, Mures, Anul 1998, Numar persoane,255
 114355 CRISTESTI,25-29 ani, Masculin, Mures, Anul 1999, Numar persoane,251
