 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 114603 ALBESTI,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,199
 114603 ALBESTI,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,177
 114603 ALBESTI,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,152
 114603 ALBESTI,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,143
 114603 ALBESTI,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,140
 114603 ALBESTI,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,125
 114603 ALBESTI,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,130
 114603 ALBESTI,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,136
 114603 ALBESTI,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,128
 114603 ALBESTI,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,127
 114603 ALBESTI,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,133
 114603 ALBESTI,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,141
 114603 ALBESTI,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,138
 114603 ALBESTI,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,140
 114603 ALBESTI,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,191
 114603 ALBESTI,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,196
 114603 ALBESTI,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,211
 114603 ALBESTI,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,218
 114603 ALBESTI,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,214
 114603 ALBESTI,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,199
 114603 ALBESTI,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,177
 114603 ALBESTI,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,162
 114603 ALBESTI,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,148
 114603 ALBESTI,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,142
 114603 ALBESTI,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,122
 114603 ALBESTI,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,126
 114603 ALBESTI,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,131
 114603 ALBESTI,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,125
 114603 ALBESTI,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,234
 114603 ALBESTI,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,216
 114603 ALBESTI,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,197
 114603 ALBESTI,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,172
 114603 ALBESTI,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,175
 114603 ALBESTI,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,188
 114603 ALBESTI,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,199
 114603 ALBESTI,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,214
 114603 ALBESTI,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,219
 114603 ALBESTI,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,215
 114603 ALBESTI,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,201
 114603 ALBESTI,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,176
 114603 ALBESTI,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,165
 114603 ALBESTI,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,152
 114603 ALBESTI,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,238
 114603 ALBESTI,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,238
 114603 ALBESTI,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,236
 114603 ALBESTI,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,255
 114603 ALBESTI,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,231
 114603 ALBESTI,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,226
 114603 ALBESTI,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,210
 114603 ALBESTI,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,195
 114603 ALBESTI,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,174
 114603 ALBESTI,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,178
 114603 ALBESTI,15-19 ani, Masculin, Mures, Anul 2002, Numar persoane,191
 114603 ALBESTI,15-19 ani, Masculin, Mures, Anul 2003, Numar persoane,205
 114603 ALBESTI,15-19 ani, Masculin, Mures, Anul 2004, Numar persoane,221
 114603 ALBESTI,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,228
 114603 ALBESTI,20-24 ani, Masculin, Mures, Anul 1992, Numar persoane,264
 114603 ALBESTI,20-24 ani, Masculin, Mures, Anul 1993, Numar persoane,252
 114603 ALBESTI,20-24 ani, Masculin, Mures, Anul 1994, Numar persoane,243
 114603 ALBESTI,20-24 ani, Masculin, Mures, Anul 1995, Numar persoane,224
 114603 ALBESTI,20-24 ani, Masculin, Mures, Anul 1996, Numar persoane,232
 114603 ALBESTI,20-24 ani, Masculin, Mures, Anul 1997, Numar persoane,234
 114603 ALBESTI,20-24 ani, Masculin, Mures, Anul 1998, Numar persoane,243
 114603 ALBESTI,20-24 ani, Masculin, Mures, Anul 1999, Numar persoane,235
 114603 ALBESTI,20-24 ani, Masculin, Mures, Anul 2000, Numar persoane,254
 114603 ALBESTI,20-24 ani, Masculin, Mures, Anul 2001, Numar persoane,232
 114603 ALBESTI,20-24 ani, Masculin, Mures, Anul 2002, Numar persoane,241
 114603 ALBESTI,20-24 ani, Masculin, Mures, Anul 2003, Numar persoane,228
 114603 ALBESTI,20-24 ani, Masculin, Mures, Anul 2004, Numar persoane,211
 114603 ALBESTI,20-24 ani, Masculin, Mures, Anul 2005, Numar persoane,205
 114603 ALBESTI,25-29 ani, Masculin, Mures, Anul 1992, Numar persoane,134
 114603 ALBESTI,25-29 ani, Masculin, Mures, Anul 1993, Numar persoane,143
 114603 ALBESTI,25-29 ani, Masculin, Mures, Anul 1994, Numar persoane,179
 114603 ALBESTI,25-29 ani, Masculin, Mures, Anul 1995, Numar persoane,206
 114603 ALBESTI,25-29 ani, Masculin, Mures, Anul 1996, Numar persoane,228
 114603 ALBESTI,25-29 ani, Masculin, Mures, Anul 1997, Numar persoane,243
 114603 ALBESTI,25-29 ani, Masculin, Mures, Anul 1998, Numar persoane,228
 114603 ALBESTI,25-29 ani, Masculin, Mures, Anul 1999, Numar persoane,216
 114603 ALBESTI,25-29 ani, Masculin, Mures, Anul 2000, Numar persoane,203
 114603 ALBESTI,25-29 ani, Masculin, Mures, Anul 2001, Numar persoane,219
 114603 ALBESTI,25-29 ani, Masculin, Mures, Anul 2002, Numar persoane,223
 114603 ALBESTI,25-29 ani, Masculin, Mures, Anul 2003, Numar persoane,235
 114603 ALBESTI,25-29 ani, Masculin, Mures, Anul 2004, Numar persoane,235
 114603 ALBESTI,25-29 ani, Masculin, Mures, Anul 2005, Numar persoane,257
 114603 ALBESTI,30-34 ani, Masculin, Mures, Anul 1992, Numar persoane,159
 114603 ALBESTI,30-34 ani, Masculin, Mures, Anul 1993, Numar persoane,139
 114603 ALBESTI,30-34 ani, Masculin, Mures, Anul 1994, Numar persoane,120
 114603 ALBESTI,30-34 ani, Masculin, Mures, Anul 1995, Numar persoane,118
 114603 ALBESTI,30-34 ani, Masculin, Mures, Anul 1996, Numar persoane,121
 114603 ALBESTI,30-34 ani, Masculin, Mures, Anul 1997, Numar persoane,114
 114603 ALBESTI,30-34 ani, Masculin, Mures, Anul 1998, Numar persoane,139
 114603 ALBESTI,30-34 ani, Masculin, Mures, Anul 1999, Numar persoane,178
 114603 ALBESTI,30-34 ani, Masculin, Mures, Anul 2000, Numar persoane,202
 114603 ALBESTI,30-34 ani, Masculin, Mures, Anul 2001, Numar persoane,222
 114603 ALBESTI,30-34 ani, Masculin, Mures, Anul 2002, Numar persoane,233
 114603 ALBESTI,30-34 ani, Masculin, Mures, Anul 2003, Numar persoane,217
 114603 ALBESTI,30-34 ani, Masculin, Mures, Anul 2004, Numar persoane,216
 114603 ALBESTI,30-34 ani, Masculin, Mures, Anul 2005, Numar persoane,216
 114603 ALBESTI,35-39 ani, Masculin, Mures, Anul 1992, Numar persoane,158
 114603 ALBESTI,35-39 ani, Masculin, Mures, Anul 1993, Numar persoane,162
 114603 ALBESTI,35-39 ani, Masculin, Mures, Anul 1994, Numar persoane,163
 114603 ALBESTI,35-39 ani, Masculin, Mures, Anul 1995, Numar persoane,165
 114603 ALBESTI,35-39 ani, Masculin, Mures, Anul 1996, Numar persoane,142
 114603 ALBESTI,35-39 ani, Masculin, Mures, Anul 1997, Numar persoane,146
 114603 ALBESTI,35-39 ani, Masculin, Mures, Anul 1998, Numar persoane,137
 114603 ALBESTI,35-39 ani, Masculin, Mures, Anul 1999, Numar persoane,125
 114603 ALBESTI,35-39 ani, Masculin, Mures, Anul 2000, Numar persoane,122
 114603 ALBESTI,35-39 ani, Masculin, Mures, Anul 2001, Numar persoane,124
 114603 ALBESTI,35-39 ani, Masculin, Mures, Anul 2002, Numar persoane,112
 114603 ALBESTI,35-39 ani, Masculin, Mures, Anul 2003, Numar persoane,142
 114603 ALBESTI,35-39 ani, Masculin, Mures, Anul 2004, Numar persoane,183
 114603 ALBESTI,35-39 ani, Masculin, Mures, Anul 2005, Numar persoane,217
 114603 ALBESTI,40-44 ani, Masculin, Mures, Anul 1992, Numar persoane,140
 114603 ALBESTI,40-44 ani, Masculin, Mures, Anul 1993, Numar persoane,136
 114603 ALBESTI,40-44 ani, Masculin, Mures, Anul 1994, Numar persoane,132
 114603 ALBESTI,40-44 ani, Masculin, Mures, Anul 1995, Numar persoane,134
 114603 ALBESTI,40-44 ani, Masculin, Mures, Anul 1996, Numar persoane,143
 114603 ALBESTI,40-44 ani, Masculin, Mures, Anul 1997, Numar persoane,149
 114603 ALBESTI,40-44 ani, Masculin, Mures, Anul 1998, Numar persoane,157
 114603 ALBESTI,40-44 ani, Masculin, Mures, Anul 1999, Numar persoane,158
 114603 ALBESTI,40-44 ani, Masculin, Mures, Anul 2000, Numar persoane,158
 114603 ALBESTI,40-44 ani, Masculin, Mures, Anul 2001, Numar persoane,140
 114603 ALBESTI,40-44 ani, Masculin, Mures, Anul 2002, Numar persoane,156
 114603 ALBESTI,40-44 ani, Masculin, Mures, Anul 2003, Numar persoane,143
 114603 ALBESTI,40-44 ani, Masculin, Mures, Anul 2004, Numar persoane,135
 114603 ALBESTI,40-44 ani, Masculin, Mures, Anul 2005, Numar persoane,136
 114603 ALBESTI,45-49 ani, Masculin, Mures, Anul 1992, Numar persoane,144
 114603 ALBESTI,45-49 ani, Masculin, Mures, Anul 1993, Numar persoane,142
 114603 ALBESTI,45-49 ani, Masculin, Mures, Anul 1994, Numar persoane,144
 114603 ALBESTI,45-49 ani, Masculin, Mures, Anul 1995, Numar persoane,143
 114603 ALBESTI,45-49 ani, Masculin, Mures, Anul 1996, Numar persoane,147
 114603 ALBESTI,45-49 ani, Masculin, Mures, Anul 1997, Numar persoane,133
 114603 ALBESTI,45-49 ani, Masculin, Mures, Anul 1998, Numar persoane,131
 114603 ALBESTI,45-49 ani, Masculin, Mures, Anul 1999, Numar persoane,131
 114603 ALBESTI,45-49 ani, Masculin, Mures, Anul 2000, Numar persoane,132
 114603 ALBESTI,45-49 ani, Masculin, Mures, Anul 2001, Numar persoane,142
 114603 ALBESTI,45-49 ani, Masculin, Mures, Anul 2002, Numar persoane,148
 114603 ALBESTI,45-49 ani, Masculin, Mures, Anul 2003, Numar persoane,163
 114603 ALBESTI,45-49 ani, Masculin, Mures, Anul 2004, Numar persoane,166
 114603 ALBESTI,45-49 ani, Masculin, Mures, Anul 2005, Numar persoane,174
 114603 ALBESTI,50-54 ani, Masculin, Mures, Anul 1992, Numar persoane,190
 114603 ALBESTI,50-54 ani, Masculin, Mures, Anul 1993, Numar persoane,179
 114603 ALBESTI,50-54 ani, Masculin, Mures, Anul 1994, Numar persoane,154
 114603 ALBESTI,50-54 ani, Masculin, Mures, Anul 1995, Numar persoane,146
 114603 ALBESTI,50-54 ani, Masculin, Mures, Anul 1996, Numar persoane,137
 114603 ALBESTI,50-54 ani, Masculin, Mures, Anul 1997, Numar persoane,138
 114603 ALBESTI,50-54 ani, Masculin, Mures, Anul 1998, Numar persoane,140
 114603 ALBESTI,50-54 ani, Masculin, Mures, Anul 1999, Numar persoane,141
 114603 ALBESTI,50-54 ani, Masculin, Mures, Anul 2000, Numar persoane,138
 114603 ALBESTI,50-54 ani, Masculin, Mures, Anul 2001, Numar persoane,143
 114603 ALBESTI,50-54 ani, Masculin, Mures, Anul 2002, Numar persoane,134
 114603 ALBESTI,50-54 ani, Masculin, Mures, Anul 2003, Numar persoane,132
 114603 ALBESTI,50-54 ani, Masculin, Mures, Anul 2004, Numar persoane,131
 114603 ALBESTI,50-54 ani, Masculin, Mures, Anul 2005, Numar persoane,136
 114603 ALBESTI,55-59 ani, Masculin, Mures, Anul 1992, Numar persoane,170
 114603 ALBESTI,55-59 ani, Masculin, Mures, Anul 1993, Numar persoane,172
 114603 ALBESTI,55-59 ani, Masculin, Mures, Anul 1994, Numar persoane,180
 114603 ALBESTI,55-59 ani, Masculin, Mures, Anul 1995, Numar persoane,179
 114603 ALBESTI,55-59 ani, Masculin, Mures, Anul 1996, Numar persoane,181
 114603 ALBESTI,55-59 ani, Masculin, Mures, Anul 1997, Numar persoane,177
 114603 ALBESTI,55-59 ani, Masculin, Mures, Anul 1998, Numar persoane,169
 114603 ALBESTI,55-59 ani, Masculin, Mures, Anul 1999, Numar persoane,141
 114603 ALBESTI,55-59 ani, Masculin, Mures, Anul 2000, Numar persoane,133
 114603 ALBESTI,55-59 ani, Masculin, Mures, Anul 2001, Numar persoane,125
 114603 ALBESTI,55-59 ani, Masculin, Mures, Anul 2002, Numar persoane,125
 114603 ALBESTI,55-59 ani, Masculin, Mures, Anul 2003, Numar persoane,129
 114603 ALBESTI,55-59 ani, Masculin, Mures, Anul 2004, Numar persoane,140
 114603 ALBESTI,55-59 ani, Masculin, Mures, Anul 2005, Numar persoane,141
 114603 ALBESTI,60-64 ani, Masculin, Mures, Anul 1992, Numar persoane,171
 114603 ALBESTI,60-64 ani, Masculin, Mures, Anul 1993, Numar persoane,171
 114603 ALBESTI,60-64 ani, Masculin, Mures, Anul 1994, Numar persoane,181
 114603 ALBESTI,60-64 ani, Masculin, Mures, Anul 1995, Numar persoane,159
 114603 ALBESTI,60-64 ani, Masculin, Mures, Anul 1996, Numar persoane,151
 114603 ALBESTI,60-64 ani, Masculin, Mures, Anul 1997, Numar persoane,152
 114603 ALBESTI,60-64 ani, Masculin, Mures, Anul 1998, Numar persoane,154
 114603 ALBESTI,60-64 ani, Masculin, Mures, Anul 1999, Numar persoane,155
 114603 ALBESTI,60-64 ani, Masculin, Mures, Anul 2000, Numar persoane,159
 114603 ALBESTI,60-64 ani, Masculin, Mures, Anul 2001, Numar persoane,161
 114603 ALBESTI,60-64 ani, Masculin, Mures, Anul 2002, Numar persoane,161
 114603 ALBESTI,60-64 ani, Masculin, Mures, Anul 2003, Numar persoane,155
 114603 ALBESTI,60-64 ani, Masculin, Mures, Anul 2004, Numar persoane,132
 114603 ALBESTI,60-64 ani, Masculin, Mures, Anul 2005, Numar persoane,124
 114603 ALBESTI,65-69 ani, Masculin, Mures, Anul 1992, Numar persoane,131
 114603 ALBESTI,65-69 ani, Masculin, Mures, Anul 1993, Numar persoane,124
 114603 ALBESTI,65-69 ani, Masculin, Mures, Anul 1994, Numar persoane,122
 114603 ALBESTI,65-69 ani, Masculin, Mures, Anul 1995, Numar persoane,130
 114603 ALBESTI,65-69 ani, Masculin, Mures, Anul 1996, Numar persoane,136
 114603 ALBESTI,65-69 ani, Masculin, Mures, Anul 1997, Numar persoane,145
 114603 ALBESTI,65-69 ani, Masculin, Mures, Anul 1998, Numar persoane,145
 114603 ALBESTI,65-69 ani, Masculin, Mures, Anul 1999, Numar persoane,151
 114603 ALBESTI,65-69 ani, Masculin, Mures, Anul 2000, Numar persoane,137
 114603 ALBESTI,65-69 ani, Masculin, Mures, Anul 2001, Numar persoane,132
 114603 ALBESTI,65-69 ani, Masculin, Mures, Anul 2002, Numar persoane,129
 114603 ALBESTI,65-69 ani, Masculin, Mures, Anul 2003, Numar persoane,128
 114603 ALBESTI,65-69 ani, Masculin, Mures, Anul 2004, Numar persoane,138
 114603 ALBESTI,65-69 ani, Masculin, Mures, Anul 2005, Numar persoane,136
 114603 ALBESTI,70-74 ani, Masculin, Mures, Anul 1992, Numar persoane,72
 114603 ALBESTI,70-74 ani, Masculin, Mures, Anul 1993, Numar persoane,90
 114603 ALBESTI,70-74 ani, Masculin, Mures, Anul 1994, Numar persoane,97
 114603 ALBESTI,70-74 ani, Masculin, Mures, Anul 1995, Numar persoane,111
 114603 ALBESTI,70-74 ani, Masculin, Mures, Anul 1996, Numar persoane,108
 114603 ALBESTI,70-74 ani, Masculin, Mures, Anul 1997, Numar persoane,103
 114603 ALBESTI,70-74 ani, Masculin, Mures, Anul 1998, Numar persoane,100
 114603 ALBESTI,70-74 ani, Masculin, Mures, Anul 1999, Numar persoane,91
 114603 ALBESTI,70-74 ani, Masculin, Mures, Anul 2000, Numar persoane,96
 114603 ALBESTI,70-74 ani, Masculin, Mures, Anul 2001, Numar persoane,104
 114603 ALBESTI,70-74 ani, Masculin, Mures, Anul 2002, Numar persoane,121
 114603 ALBESTI,70-74 ani, Masculin, Mures, Anul 2003, Numar persoane,121
 114603 ALBESTI,70-74 ani, Masculin, Mures, Anul 2004, Numar persoane,122
 114603 ALBESTI,70-74 ani, Masculin, Mures, Anul 2005, Numar persoane,110
 114603 ALBESTI,75-79 ani, Masculin, Mures, Anul 1992, Numar persoane,38
 114603 ALBESTI,75-79 ani, Masculin, Mures, Anul 1993, Numar persoane,30
 114603 ALBESTI,75-79 ani, Masculin, Mures, Anul 1994, Numar persoane,32
 114603 ALBESTI,75-79 ani, Masculin, Mures, Anul 1995, Numar persoane,31
 114603 ALBESTI,75-79 ani, Masculin, Mures, Anul 1996, Numar persoane,37
 114603 ALBESTI,75-79 ani, Masculin, Mures, Anul 1997, Numar persoane,46
 114603 ALBESTI,75-79 ani, Masculin, Mures, Anul 1998, Numar persoane,62
 114603 ALBESTI,75-79 ani, Masculin, Mures, Anul 1999, Numar persoane,75
 114603 ALBESTI,75-79 ani, Masculin, Mures, Anul 2000, Numar persoane,86
 114603 ALBESTI,75-79 ani, Masculin, Mures, Anul 2001, Numar persoane,80
 114603 ALBESTI,75-79 ani, Masculin, Mures, Anul 2002, Numar persoane,77
 114603 ALBESTI,75-79 ani, Masculin, Mures, Anul 2003, Numar persoane,75
 114603 ALBESTI,75-79 ani, Masculin, Mures, Anul 2004, Numar persoane,73
 114603 ALBESTI,75-79 ani, Masculin, Mures, Anul 2005, Numar persoane,77
 114603 ALBESTI,80-84 ani, Masculin, Mures, Anul 1992, Numar persoane,44
 114603 ALBESTI,80-84 ani, Masculin, Mures, Anul 1993, Numar persoane,42
 114603 ALBESTI,80-84 ani, Masculin, Mures, Anul 1994, Numar persoane,34
 114603 ALBESTI,80-84 ani, Masculin, Mures, Anul 1995, Numar persoane,35
 114603 ALBESTI,80-84 ani, Masculin, Mures, Anul 1996, Numar persoane,29
 114603 ALBESTI,80-84 ani, Masculin, Mures, Anul 1997, Numar persoane,18
 114603 ALBESTI,80-84 ani, Masculin, Mures, Anul 1998, Numar persoane,15
 114603 ALBESTI,80-84 ani, Masculin, Mures, Anul 1999, Numar persoane,12
 114603 ALBESTI,80-84 ani, Masculin, Mures, Anul 2000, Numar persoane,14
 114603 ALBESTI,80-84 ani, Masculin, Mures, Anul 2001, Numar persoane,19
 114603 ALBESTI,80-84 ani, Masculin, Mures, Anul 2002, Numar persoane,24
 114603 ALBESTI,80-84 ani, Masculin, Mures, Anul 2003, Numar persoane,36
 114603 ALBESTI,80-84 ani, Masculin, Mures, Anul 2004, Numar persoane,42
 114603 ALBESTI,80-84 ani, Masculin, Mures, Anul 2005, Numar persoane,47
 114603 ALBESTI,85 ani si peste, Masculin, Mures, Anul 1992, Numar persoane,21
 114603 ALBESTI,85 ani si peste, Masculin, Mures, Anul 1993, Numar persoane,23
 114603 ALBESTI,85 ani si peste, Masculin, Mures, Anul 1994, Numar persoane,27
 114603 ALBESTI,85 ani si peste, Masculin, Mures, Anul 1995, Numar persoane,25
 114603 ALBESTI,85 ani si peste, Masculin, Mures, Anul 1996, Numar persoane,25
 114603 ALBESTI,85 ani si peste, Masculin, Mures, Anul 1997, Numar persoane,25
 114603 ALBESTI,85 ani si peste, Masculin, Mures, Anul 1998, Numar persoane,24
 114603 ALBESTI,85 ani si peste, Masculin, Mures, Anul 1999, Numar persoane,20
 114603 ALBESTI,85 ani si peste, Masculin, Mures, Anul 2000, Numar persoane,17
 114603 ALBESTI,85 ani si peste, Masculin, Mures, Anul 2001, Numar persoane,17
 114603 ALBESTI,85 ani si peste, Masculin, Mures, Anul 2002, Numar persoane,13
 114603 ALBESTI,85 ani si peste, Masculin, Mures, Anul 2003, Numar persoane,10
 114603 ALBESTI,85 ani si peste, Masculin, Mures, Anul 2004, Numar persoane,9
 114603 ALBESTI,85 ani si peste, Masculin, Mures, Anul 2005, Numar persoane,10
 114603 ALBESTI,0- 4 ani, Feminin, Mures, Anul 1992, Numar persoane,180
 114603 ALBESTI,0- 4 ani, Feminin, Mures, Anul 1993, Numar persoane,150
 114603 ALBESTI,0- 4 ani, Feminin, Mures, Anul 1994, Numar persoane,142
 114603 ALBESTI,0- 4 ani, Feminin, Mures, Anul 1995, Numar persoane,132
 114603 ALBESTI,0- 4 ani, Feminin, Mures, Anul 1996, Numar persoane,119
 114603 ALBESTI,0- 4 ani, Feminin, Mures, Anul 1997, Numar persoane,126
 114603 ALBESTI,0- 4 ani, Feminin, Mures, Anul 1998, Numar persoane,139
 114603 ALBESTI,0- 4 ani, Feminin, Mures, Anul 1999, Numar persoane,129
 114603 ALBESTI,0- 4 ani, Feminin, Mures, Anul 2000, Numar persoane,137
 114603 ALBESTI,0- 4 ani, Feminin, Mures, Anul 2001, Numar persoane,143
 114603 ALBESTI,0- 4 ani, Feminin, Mures, Anul 2002, Numar persoane,142
 114603 ALBESTI,0- 4 ani, Feminin, Mures, Anul 2003, Numar persoane,140
 114603 ALBESTI,0- 4 ani, Feminin, Mures, Anul 2004, Numar persoane,140
 114603 ALBESTI,0- 4 ani, Feminin, Mures, Anul 2005, Numar persoane,136
 114603 ALBESTI,0- 4 ani, Feminin, Mures, Anul 2006, Numar persoane,157
 114603 ALBESTI,5- 9 ani, Feminin, Mures, Anul 1992, Numar persoane,160
 114603 ALBESTI,5- 9 ani, Feminin, Mures, Anul 1993, Numar persoane,158
 114603 ALBESTI,5- 9 ani, Feminin, Mures, Anul 1994, Numar persoane,176
 114603 ALBESTI,5- 9 ani, Feminin, Mures, Anul 1995, Numar persoane,184
 114603 ALBESTI,5- 9 ani, Feminin, Mures, Anul 1996, Numar persoane,182
 114603 ALBESTI,5- 9 ani, Feminin, Mures, Anul 1997, Numar persoane,185
 114603 ALBESTI,5- 9 ani, Feminin, Mures, Anul 1998, Numar persoane,158
 114603 ALBESTI,5- 9 ani, Feminin, Mures, Anul 1999, Numar persoane,147
 114603 ALBESTI,5- 9 ani, Feminin, Mures, Anul 2000, Numar persoane,138
 114603 ALBESTI,5- 9 ani, Feminin, Mures, Anul 2001, Numar persoane,122
 114603 ALBESTI,5- 9 ani, Feminin, Mures, Anul 2002, Numar persoane,127
 114603 ALBESTI,5- 9 ani, Feminin, Mures, Anul 2003, Numar persoane,139
 114603 ALBESTI,5- 9 ani, Feminin, Mures, Anul 2004, Numar persoane,125
 114603 ALBESTI,5- 9 ani, Feminin, Mures, Anul 2005, Numar persoane,130
 114603 ALBESTI,5- 9 ani, Feminin, Mures, Anul 2006, Numar persoane,135
 114603 ALBESTI,10-14 ani, Feminin, Mures, Anul 1992, Numar persoane,199
 114603 ALBESTI,10-14 ani, Feminin, Mures, Anul 1993, Numar persoane,194
 114603 ALBESTI,10-14 ani, Feminin, Mures, Anul 1994, Numar persoane,191
 114603 ALBESTI,10-14 ani, Feminin, Mures, Anul 1995, Numar persoane,182
 114603 ALBESTI,10-14 ani, Feminin, Mures, Anul 1996, Numar persoane,178
 114603 ALBESTI,10-14 ani, Feminin, Mures, Anul 1997, Numar persoane,163
 114603 ALBESTI,10-14 ani, Feminin, Mures, Anul 1998, Numar persoane,167
 114603 ALBESTI,10-14 ani, Feminin, Mures, Anul 1999, Numar persoane,186
 114603 ALBESTI,10-14 ani, Feminin, Mures, Anul 2000, Numar persoane,192
 114603 ALBESTI,10-14 ani, Feminin, Mures, Anul 2001, Numar persoane,191
 114603 ALBESTI,10-14 ani, Feminin, Mures, Anul 2002, Numar persoane,189
 114603 ALBESTI,10-14 ani, Feminin, Mures, Anul 2003, Numar persoane,162
 114603 ALBESTI,10-14 ani, Feminin, Mures, Anul 2004, Numar persoane,155
 114603 ALBESTI,10-14 ani, Feminin, Mures, Anul 2005, Numar persoane,146
