 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 114854 ORAS SOVATA,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,475
 114854 ORAS SOVATA,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,473
 114854 ORAS SOVATA,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,448
 114854 ORAS SOVATA,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,414
 114854 ORAS SOVATA,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,391
 114854 ORAS SOVATA,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,375
 114854 ORAS SOVATA,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,367
 114854 ORAS SOVATA,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,364
 114854 ORAS SOVATA,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,367
 114854 ORAS SOVATA,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,371
 114854 ORAS SOVATA,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,379
 114854 ORAS SOVATA,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,362
 114854 ORAS SOVATA,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,345
 114854 ORAS SOVATA,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,294
 114854 ORAS SOVATA,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,468
 114854 ORAS SOVATA,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,460
 114854 ORAS SOVATA,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,464
 114854 ORAS SOVATA,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,477
 114854 ORAS SOVATA,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,501
 114854 ORAS SOVATA,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,490
 114854 ORAS SOVATA,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,472
 114854 ORAS SOVATA,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,436
 114854 ORAS SOVATA,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,409
 114854 ORAS SOVATA,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,378
 114854 ORAS SOVATA,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,361
 114854 ORAS SOVATA,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,368
 114854 ORAS SOVATA,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,369
 114854 ORAS SOVATA,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,319
 114854 ORAS SOVATA,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,526
 114854 ORAS SOVATA,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,519
 114854 ORAS SOVATA,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,515
 114854 ORAS SOVATA,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,510
 114854 ORAS SOVATA,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,488
 114854 ORAS SOVATA,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,481
 114854 ORAS SOVATA,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,468
 114854 ORAS SOVATA,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,469
 114854 ORAS SOVATA,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,478
 114854 ORAS SOVATA,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,485
 114854 ORAS SOVATA,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,481
 114854 ORAS SOVATA,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,458
 114854 ORAS SOVATA,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,437
 114854 ORAS SOVATA,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,366
 114854 ORAS SOVATA,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,537
 114854 ORAS SOVATA,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,545
 114854 ORAS SOVATA,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,539
 114854 ORAS SOVATA,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,533
 114854 ORAS SOVATA,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,540
 114854 ORAS SOVATA,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,524
 114854 ORAS SOVATA,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,515
 114854 ORAS SOVATA,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,516
 114854 ORAS SOVATA,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,517
 114854 ORAS SOVATA,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,490
 114854 ORAS SOVATA,15-19 ani, Masculin, Mures, Anul 2002, Numar persoane,469
 114854 ORAS SOVATA,15-19 ani, Masculin, Mures, Anul 2003, Numar persoane,459
 114854 ORAS SOVATA,15-19 ani, Masculin, Mures, Anul 2004, Numar persoane,460
 114854 ORAS SOVATA,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,404
 114854 ORAS SOVATA,20-24 ani, Masculin, Mures, Anul 1992, Numar persoane,567
 114854 ORAS SOVATA,20-24 ani, Masculin, Mures, Anul 1993, Numar persoane,559
 114854 ORAS SOVATA,20-24 ani, Masculin, Mures, Anul 1994, Numar persoane,534
 114854 ORAS SOVATA,20-24 ani, Masculin, Mures, Anul 1995, Numar persoane,501
 114854 ORAS SOVATA,20-24 ani, Masculin, Mures, Anul 1996, Numar persoane,508
 114854 ORAS SOVATA,20-24 ani, Masculin, Mures, Anul 1997, Numar persoane,536
 114854 ORAS SOVATA,20-24 ani, Masculin, Mures, Anul 1998, Numar persoane,545
 114854 ORAS SOVATA,20-24 ani, Masculin, Mures, Anul 1999, Numar persoane,541
 114854 ORAS SOVATA,20-24 ani, Masculin, Mures, Anul 2000, Numar persoane,533
 114854 ORAS SOVATA,20-24 ani, Masculin, Mures, Anul 2001, Numar persoane,534
 114854 ORAS SOVATA,20-24 ani, Masculin, Mures, Anul 2002, Numar persoane,521
 114854 ORAS SOVATA,20-24 ani, Masculin, Mures, Anul 2003, Numar persoane,513
 114854 ORAS SOVATA,20-24 ani, Masculin, Mures, Anul 2004, Numar persoane,515
 114854 ORAS SOVATA,20-24 ani, Masculin, Mures, Anul 2005, Numar persoane,441
 114854 ORAS SOVATA,25-29 ani, Masculin, Mures, Anul 1992, Numar persoane,341
 114854 ORAS SOVATA,25-29 ani, Masculin, Mures, Anul 1993, Numar persoane,372
 114854 ORAS SOVATA,25-29 ani, Masculin, Mures, Anul 1994, Numar persoane,435
 114854 ORAS SOVATA,25-29 ani, Masculin, Mures, Anul 1995, Numar persoane,513
 114854 ORAS SOVATA,25-29 ani, Masculin, Mures, Anul 1996, Numar persoane,535
 114854 ORAS SOVATA,25-29 ani, Masculin, Mures, Anul 1997, Numar persoane,565
 114854 ORAS SOVATA,25-29 ani, Masculin, Mures, Anul 1998, Numar persoane,557
 114854 ORAS SOVATA,25-29 ani, Masculin, Mures, Anul 1999, Numar persoane,535
 114854 ORAS SOVATA,25-29 ani, Masculin, Mures, Anul 2000, Numar persoane,499
 114854 ORAS SOVATA,25-29 ani, Masculin, Mures, Anul 2001, Numar persoane,506
 114854 ORAS SOVATA,25-29 ani, Masculin, Mures, Anul 2002, Numar persoane,537
 114854 ORAS SOVATA,25-29 ani, Masculin, Mures, Anul 2003, Numar persoane,543
 114854 ORAS SOVATA,25-29 ani, Masculin, Mures, Anul 2004, Numar persoane,538
 114854 ORAS SOVATA,25-29 ani, Masculin, Mures, Anul 2005, Numar persoane,467
 114854 ORAS SOVATA,30-34 ani, Masculin, Mures, Anul 1992, Numar persoane,429
 114854 ORAS SOVATA,30-34 ani, Masculin, Mures, Anul 1993, Numar persoane,414
 114854 ORAS SOVATA,30-34 ani, Masculin, Mures, Anul 1994, Numar persoane,369
 114854 ORAS SOVATA,30-34 ani, Masculin, Mures, Anul 1995, Numar persoane,338
 114854 ORAS SOVATA,30-34 ani, Masculin, Mures, Anul 1996, Numar persoane,333
 114854 ORAS SOVATA,30-34 ani, Masculin, Mures, Anul 1997, Numar persoane,329
 114854 ORAS SOVATA,30-34 ani, Masculin, Mures, Anul 1998, Numar persoane,364
 114854 ORAS SOVATA,30-34 ani, Masculin, Mures, Anul 1999, Numar persoane,419
 114854 ORAS SOVATA,30-34 ani, Masculin, Mures, Anul 2000, Numar persoane,497
 114854 ORAS SOVATA,30-34 ani, Masculin, Mures, Anul 2001, Numar persoane,524
 114854 ORAS SOVATA,30-34 ani, Masculin, Mures, Anul 2002, Numar persoane,559
 114854 ORAS SOVATA,30-34 ani, Masculin, Mures, Anul 2003, Numar persoane,556
 114854 ORAS SOVATA,30-34 ani, Masculin, Mures, Anul 2004, Numar persoane,535
 114854 ORAS SOVATA,30-34 ani, Masculin, Mures, Anul 2005, Numar persoane,444
 114854 ORAS SOVATA,35-39 ani, Masculin, Mures, Anul 1992, Numar persoane,481
 114854 ORAS SOVATA,35-39 ani, Masculin, Mures, Anul 1993, Numar persoane,481
 114854 ORAS SOVATA,35-39 ani, Masculin, Mures, Anul 1994, Numar persoane,470
 114854 ORAS SOVATA,35-39 ani, Masculin, Mures, Anul 1995, Numar persoane,465
 114854 ORAS SOVATA,35-39 ani, Masculin, Mures, Anul 1996, Numar persoane,449
 114854 ORAS SOVATA,35-39 ani, Masculin, Mures, Anul 1997, Numar persoane,416
 114854 ORAS SOVATA,35-39 ani, Masculin, Mures, Anul 1998, Numar persoane,407
 114854 ORAS SOVATA,35-39 ani, Masculin, Mures, Anul 1999, Numar persoane,364
 114854 ORAS SOVATA,35-39 ani, Masculin, Mures, Anul 2000, Numar persoane,330
 114854 ORAS SOVATA,35-39 ani, Masculin, Mures, Anul 2001, Numar persoane,318
 114854 ORAS SOVATA,35-39 ani, Masculin, Mures, Anul 2002, Numar persoane,311
 114854 ORAS SOVATA,35-39 ani, Masculin, Mures, Anul 2003, Numar persoane,356
 114854 ORAS SOVATA,35-39 ani, Masculin, Mures, Anul 2004, Numar persoane,415
 114854 ORAS SOVATA,35-39 ani, Masculin, Mures, Anul 2005, Numar persoane,455
 114854 ORAS SOVATA,40-44 ani, Masculin, Mures, Anul 1992, Numar persoane,424
 114854 ORAS SOVATA,40-44 ani, Masculin, Mures, Anul 1993, Numar persoane,451
 114854 ORAS SOVATA,40-44 ani, Masculin, Mures, Anul 1994, Numar persoane,486
 114854 ORAS SOVATA,40-44 ani, Masculin, Mures, Anul 1995, Numar persoane,489
 114854 ORAS SOVATA,40-44 ani, Masculin, Mures, Anul 1996, Numar persoane,474
 114854 ORAS SOVATA,40-44 ani, Masculin, Mures, Anul 1997, Numar persoane,478
 114854 ORAS SOVATA,40-44 ani, Masculin, Mures, Anul 1998, Numar persoane,457
 114854 ORAS SOVATA,40-44 ani, Masculin, Mures, Anul 1999, Numar persoane,449
 114854 ORAS SOVATA,40-44 ani, Masculin, Mures, Anul 2000, Numar persoane,449
 114854 ORAS SOVATA,40-44 ani, Masculin, Mures, Anul 2001, Numar persoane,437
 114854 ORAS SOVATA,40-44 ani, Masculin, Mures, Anul 2002, Numar persoane,408
 114854 ORAS SOVATA,40-44 ani, Masculin, Mures, Anul 2003, Numar persoane,402
 114854 ORAS SOVATA,40-44 ani, Masculin, Mures, Anul 2004, Numar persoane,365
 114854 ORAS SOVATA,40-44 ani, Masculin, Mures, Anul 2005, Numar persoane,285
 114854 ORAS SOVATA,45-49 ani, Masculin, Mures, Anul 1992, Numar persoane,371
 114854 ORAS SOVATA,45-49 ani, Masculin, Mures, Anul 1993, Numar persoane,351
 114854 ORAS SOVATA,45-49 ani, Masculin, Mures, Anul 1994, Numar persoane,336
 114854 ORAS SOVATA,45-49 ani, Masculin, Mures, Anul 1995, Numar persoane,354
 114854 ORAS SOVATA,45-49 ani, Masculin, Mures, Anul 1996, Numar persoane,388
 114854 ORAS SOVATA,45-49 ani, Masculin, Mures, Anul 1997, Numar persoane,406
 114854 ORAS SOVATA,45-49 ani, Masculin, Mures, Anul 1998, Numar persoane,431
 114854 ORAS SOVATA,45-49 ani, Masculin, Mures, Anul 1999, Numar persoane,470
 114854 ORAS SOVATA,45-49 ani, Masculin, Mures, Anul 2000, Numar persoane,464
 114854 ORAS SOVATA,45-49 ani, Masculin, Mures, Anul 2001, Numar persoane,455
 114854 ORAS SOVATA,45-49 ani, Masculin, Mures, Anul 2002, Numar persoane,455
 114854 ORAS SOVATA,45-49 ani, Masculin, Mures, Anul 2003, Numar persoane,436
 114854 ORAS SOVATA,45-49 ani, Masculin, Mures, Anul 2004, Numar persoane,431
 114854 ORAS SOVATA,45-49 ani, Masculin, Mures, Anul 2005, Numar persoane,401
 114854 ORAS SOVATA,50-54 ani, Masculin, Mures, Anul 1992, Numar persoane,340
 114854 ORAS SOVATA,50-54 ani, Masculin, Mures, Anul 1993, Numar persoane,358
 114854 ORAS SOVATA,50-54 ani, Masculin, Mures, Anul 1994, Numar persoane,367
 114854 ORAS SOVATA,50-54 ani, Masculin, Mures, Anul 1995, Numar persoane,361
 114854 ORAS SOVATA,50-54 ani, Masculin, Mures, Anul 1996, Numar persoane,346
 114854 ORAS SOVATA,50-54 ani, Masculin, Mures, Anul 1997, Numar persoane,336
 114854 ORAS SOVATA,50-54 ani, Masculin, Mures, Anul 1998, Numar persoane,323
 114854 ORAS SOVATA,50-54 ani, Masculin, Mures, Anul 1999, Numar persoane,321
 114854 ORAS SOVATA,50-54 ani, Masculin, Mures, Anul 2000, Numar persoane,344
 114854 ORAS SOVATA,50-54 ani, Masculin, Mures, Anul 2001, Numar persoane,381
 114854 ORAS SOVATA,50-54 ani, Masculin, Mures, Anul 2002, Numar persoane,397
 114854 ORAS SOVATA,50-54 ani, Masculin, Mures, Anul 2003, Numar persoane,417
 114854 ORAS SOVATA,50-54 ani, Masculin, Mures, Anul 2004, Numar persoane,445
 114854 ORAS SOVATA,50-54 ani, Masculin, Mures, Anul 2005, Numar persoane,391
 114854 ORAS SOVATA,55-59 ani, Masculin, Mures, Anul 1992, Numar persoane,281
 114854 ORAS SOVATA,55-59 ani, Masculin, Mures, Anul 1993, Numar persoane,277
 114854 ORAS SOVATA,55-59 ani, Masculin, Mures, Anul 1994, Numar persoane,284
 114854 ORAS SOVATA,55-59 ani, Masculin, Mures, Anul 1995, Numar persoane,292
 114854 ORAS SOVATA,55-59 ani, Masculin, Mures, Anul 1996, Numar persoane,298
 114854 ORAS SOVATA,55-59 ani, Masculin, Mures, Anul 1997, Numar persoane,315
 114854 ORAS SOVATA,55-59 ani, Masculin, Mures, Anul 1998, Numar persoane,330
 114854 ORAS SOVATA,55-59 ani, Masculin, Mures, Anul 1999, Numar persoane,330
 114854 ORAS SOVATA,55-59 ani, Masculin, Mures, Anul 2000, Numar persoane,331
 114854 ORAS SOVATA,55-59 ani, Masculin, Mures, Anul 2001, Numar persoane,321
 114854 ORAS SOVATA,55-59 ani, Masculin, Mures, Anul 2002, Numar persoane,318
 114854 ORAS SOVATA,55-59 ani, Masculin, Mures, Anul 2003, Numar persoane,309
 114854 ORAS SOVATA,55-59 ani, Masculin, Mures, Anul 2004, Numar persoane,312
 114854 ORAS SOVATA,55-59 ani, Masculin, Mures, Anul 2005, Numar persoane,297
 114854 ORAS SOVATA,60-64 ani, Masculin, Mures, Anul 1992, Numar persoane,298
 114854 ORAS SOVATA,60-64 ani, Masculin, Mures, Anul 1993, Numar persoane,299
 114854 ORAS SOVATA,60-64 ani, Masculin, Mures, Anul 1994, Numar persoane,274
 114854 ORAS SOVATA,60-64 ani, Masculin, Mures, Anul 1995, Numar persoane,262
 114854 ORAS SOVATA,60-64 ani, Masculin, Mures, Anul 1996, Numar persoane,251
 114854 ORAS SOVATA,60-64 ani, Masculin, Mures, Anul 1997, Numar persoane,242
 114854 ORAS SOVATA,60-64 ani, Masculin, Mures, Anul 1998, Numar persoane,232
 114854 ORAS SOVATA,60-64 ani, Masculin, Mures, Anul 1999, Numar persoane,247
 114854 ORAS SOVATA,60-64 ani, Masculin, Mures, Anul 2000, Numar persoane,256
 114854 ORAS SOVATA,60-64 ani, Masculin, Mures, Anul 2001, Numar persoane,262
 114854 ORAS SOVATA,60-64 ani, Masculin, Mures, Anul 2002, Numar persoane,273
 114854 ORAS SOVATA,60-64 ani, Masculin, Mures, Anul 2003, Numar persoane,292
 114854 ORAS SOVATA,60-64 ani, Masculin, Mures, Anul 2004, Numar persoane,297
 114854 ORAS SOVATA,60-64 ani, Masculin, Mures, Anul 2005, Numar persoane,284
 114854 ORAS SOVATA,65-69 ani, Masculin, Mures, Anul 1992, Numar persoane,219
 114854 ORAS SOVATA,65-69 ani, Masculin, Mures, Anul 1993, Numar persoane,209
 114854 ORAS SOVATA,65-69 ani, Masculin, Mures, Anul 1994, Numar persoane,219
 114854 ORAS SOVATA,65-69 ani, Masculin, Mures, Anul 1995, Numar persoane,233
 114854 ORAS SOVATA,65-69 ani, Masculin, Mures, Anul 1996, Numar persoane,250
 114854 ORAS SOVATA,65-69 ani, Masculin, Mures, Anul 1997, Numar persoane,252
 114854 ORAS SOVATA,65-69 ani, Masculin, Mures, Anul 1998, Numar persoane,255
 114854 ORAS SOVATA,65-69 ani, Masculin, Mures, Anul 1999, Numar persoane,232
 114854 ORAS SOVATA,65-69 ani, Masculin, Mures, Anul 2000, Numar persoane,218
 114854 ORAS SOVATA,65-69 ani, Masculin, Mures, Anul 2001, Numar persoane,212
 114854 ORAS SOVATA,65-69 ani, Masculin, Mures, Anul 2002, Numar persoane,201
 114854 ORAS SOVATA,65-69 ani, Masculin, Mures, Anul 2003, Numar persoane,202
 114854 ORAS SOVATA,65-69 ani, Masculin, Mures, Anul 2004, Numar persoane,212
 114854 ORAS SOVATA,65-69 ani, Masculin, Mures, Anul 2005, Numar persoane,203
 114854 ORAS SOVATA,70-74 ani, Masculin, Mures, Anul 1992, Numar persoane,132
 114854 ORAS SOVATA,70-74 ani, Masculin, Mures, Anul 1993, Numar persoane,156
 114854 ORAS SOVATA,70-74 ani, Masculin, Mures, Anul 1994, Numar persoane,177
 114854 ORAS SOVATA,70-74 ani, Masculin, Mures, Anul 1995, Numar persoane,166
 114854 ORAS SOVATA,70-74 ani, Masculin, Mures, Anul 1996, Numar persoane,167
 114854 ORAS SOVATA,70-74 ani, Masculin, Mures, Anul 1997, Numar persoane,162
 114854 ORAS SOVATA,70-74 ani, Masculin, Mures, Anul 1998, Numar persoane,158
 114854 ORAS SOVATA,70-74 ani, Masculin, Mures, Anul 1999, Numar persoane,168
 114854 ORAS SOVATA,70-74 ani, Masculin, Mures, Anul 2000, Numar persoane,174
 114854 ORAS SOVATA,70-74 ani, Masculin, Mures, Anul 2001, Numar persoane,190
 114854 ORAS SOVATA,70-74 ani, Masculin, Mures, Anul 2002, Numar persoane,200
 114854 ORAS SOVATA,70-74 ani, Masculin, Mures, Anul 2003, Numar persoane,200
 114854 ORAS SOVATA,70-74 ani, Masculin, Mures, Anul 2004, Numar persoane,175
 114854 ORAS SOVATA,70-74 ani, Masculin, Mures, Anul 2005, Numar persoane,151
 114854 ORAS SOVATA,75-79 ani, Masculin, Mures, Anul 1992, Numar persoane,69
 114854 ORAS SOVATA,75-79 ani, Masculin, Mures, Anul 1993, Numar persoane,61
 114854 ORAS SOVATA,75-79 ani, Masculin, Mures, Anul 1994, Numar persoane,47
 114854 ORAS SOVATA,75-79 ani, Masculin, Mures, Anul 1995, Numar persoane,64
 114854 ORAS SOVATA,75-79 ani, Masculin, Mures, Anul 1996, Numar persoane,79
 114854 ORAS SOVATA,75-79 ani, Masculin, Mures, Anul 1997, Numar persoane,102
 114854 ORAS SOVATA,75-79 ani, Masculin, Mures, Anul 1998, Numar persoane,112
 114854 ORAS SOVATA,75-79 ani, Masculin, Mures, Anul 1999, Numar persoane,120
 114854 ORAS SOVATA,75-79 ani, Masculin, Mures, Anul 2000, Numar persoane,115
 114854 ORAS SOVATA,75-79 ani, Masculin, Mures, Anul 2001, Numar persoane,114
 114854 ORAS SOVATA,75-79 ani, Masculin, Mures, Anul 2002, Numar persoane,112
 114854 ORAS SOVATA,75-79 ani, Masculin, Mures, Anul 2003, Numar persoane,115
 114854 ORAS SOVATA,75-79 ani, Masculin, Mures, Anul 2004, Numar persoane,116
 114854 ORAS SOVATA,75-79 ani, Masculin, Mures, Anul 2005, Numar persoane,113
 114854 ORAS SOVATA,80-84 ani, Masculin, Mures, Anul 1992, Numar persoane,56
 114854 ORAS SOVATA,80-84 ani, Masculin, Mures, Anul 1993, Numar persoane,46
 114854 ORAS SOVATA,80-84 ani, Masculin, Mures, Anul 1994, Numar persoane,49
 114854 ORAS SOVATA,80-84 ani, Masculin, Mures, Anul 1995, Numar persoane,44
 114854 ORAS SOVATA,80-84 ani, Masculin, Mures, Anul 1996, Numar persoane,35
 114854 ORAS SOVATA,80-84 ani, Masculin, Mures, Anul 1997, Numar persoane,27
 114854 ORAS SOVATA,80-84 ani, Masculin, Mures, Anul 1998, Numar persoane,28
 114854 ORAS SOVATA,80-84 ani, Masculin, Mures, Anul 1999, Numar persoane,28
 114854 ORAS SOVATA,80-84 ani, Masculin, Mures, Anul 2000, Numar persoane,37
 114854 ORAS SOVATA,80-84 ani, Masculin, Mures, Anul 2001, Numar persoane,43
 114854 ORAS SOVATA,80-84 ani, Masculin, Mures, Anul 2002, Numar persoane,53
 114854 ORAS SOVATA,80-84 ani, Masculin, Mures, Anul 2003, Numar persoane,63
 114854 ORAS SOVATA,80-84 ani, Masculin, Mures, Anul 2004, Numar persoane,77
 114854 ORAS SOVATA,80-84 ani, Masculin, Mures, Anul 2005, Numar persoane,60
 114854 ORAS SOVATA,85 ani si peste, Masculin, Mures, Anul 1992, Numar persoane,24
 114854 ORAS SOVATA,85 ani si peste, Masculin, Mures, Anul 1993, Numar persoane,29
 114854 ORAS SOVATA,85 ani si peste, Masculin, Mures, Anul 1994, Numar persoane,28
 114854 ORAS SOVATA,85 ani si peste, Masculin, Mures, Anul 1995, Numar persoane,28
 114854 ORAS SOVATA,85 ani si peste, Masculin, Mures, Anul 1996, Numar persoane,28
 114854 ORAS SOVATA,85 ani si peste, Masculin, Mures, Anul 1997, Numar persoane,28
 114854 ORAS SOVATA,85 ani si peste, Masculin, Mures, Anul 1998, Numar persoane,25
 114854 ORAS SOVATA,85 ani si peste, Masculin, Mures, Anul 1999, Numar persoane,28
 114854 ORAS SOVATA,85 ani si peste, Masculin, Mures, Anul 2000, Numar persoane,25
 114854 ORAS SOVATA,85 ani si peste, Masculin, Mures, Anul 2001, Numar persoane,26
 114854 ORAS SOVATA,85 ani si peste, Masculin, Mures, Anul 2002, Numar persoane,24
 114854 ORAS SOVATA,85 ani si peste, Masculin, Mures, Anul 2003, Numar persoane,18
 114854 ORAS SOVATA,85 ani si peste, Masculin, Mures, Anul 2004, Numar persoane,22
 114854 ORAS SOVATA,85 ani si peste, Masculin, Mures, Anul 2005, Numar persoane,20
 114854 ORAS SOVATA,0- 4 ani, Feminin, Mures, Anul 1992, Numar persoane,455
 114854 ORAS SOVATA,0- 4 ani, Feminin, Mures, Anul 1993, Numar persoane,431
 114854 ORAS SOVATA,0- 4 ani, Feminin, Mures, Anul 1994, Numar persoane,417
 114854 ORAS SOVATA,0- 4 ani, Feminin, Mures, Anul 1995, Numar persoane,381
 114854 ORAS SOVATA,0- 4 ani, Feminin, Mures, Anul 1996, Numar persoane,352
 114854 ORAS SOVATA,0- 4 ani, Feminin, Mures, Anul 1997, Numar persoane,333
 114854 ORAS SOVATA,0- 4 ani, Feminin, Mures, Anul 1998, Numar persoane,307
 114854 ORAS SOVATA,0- 4 ani, Feminin, Mures, Anul 1999, Numar persoane,316
 114854 ORAS SOVATA,0- 4 ani, Feminin, Mures, Anul 2000, Numar persoane,313
 114854 ORAS SOVATA,0- 4 ani, Feminin, Mures, Anul 2001, Numar persoane,311
 114854 ORAS SOVATA,0- 4 ani, Feminin, Mures, Anul 2002, Numar persoane,305
 114854 ORAS SOVATA,0- 4 ani, Feminin, Mures, Anul 2003, Numar persoane,324
