 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 114925 MUNICIPIUL TARNAVENI,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,1229
 114925 MUNICIPIUL TARNAVENI,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,1180
 114925 MUNICIPIUL TARNAVENI,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,1100
 114925 MUNICIPIUL TARNAVENI,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,976
 114925 MUNICIPIUL TARNAVENI,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,919
 114925 MUNICIPIUL TARNAVENI,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,864
 114925 MUNICIPIUL TARNAVENI,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,828
 114925 MUNICIPIUL TARNAVENI,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,804
 114925 MUNICIPIUL TARNAVENI,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,819
 114925 MUNICIPIUL TARNAVENI,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,788
 114925 MUNICIPIUL TARNAVENI,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,781
 114925 MUNICIPIUL TARNAVENI,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,765
 114925 MUNICIPIUL TARNAVENI,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,743
 114925 MUNICIPIUL TARNAVENI,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,752
 114925 MUNICIPIUL TARNAVENI,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,1202
 114925 MUNICIPIUL TARNAVENI,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,1211
 114925 MUNICIPIUL TARNAVENI,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,1274
 114925 MUNICIPIUL TARNAVENI,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,1298
 114925 MUNICIPIUL TARNAVENI,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,1280
 114925 MUNICIPIUL TARNAVENI,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,1222
 114925 MUNICIPIUL TARNAVENI,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,1147
 114925 MUNICIPIUL TARNAVENI,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,1067
 114925 MUNICIPIUL TARNAVENI,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,946
 114925 MUNICIPIUL TARNAVENI,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,883
 114925 MUNICIPIUL TARNAVENI,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,832
 114925 MUNICIPIUL TARNAVENI,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,805
 114925 MUNICIPIUL TARNAVENI,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,784
 114925 MUNICIPIUL TARNAVENI,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,799
 114925 MUNICIPIUL TARNAVENI,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,1369
 114925 MUNICIPIUL TARNAVENI,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,1307
 114925 MUNICIPIUL TARNAVENI,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,1260
 114925 MUNICIPIUL TARNAVENI,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,1210
 114925 MUNICIPIUL TARNAVENI,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,1161
 114925 MUNICIPIUL TARNAVENI,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,1188
 114925 MUNICIPIUL TARNAVENI,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,1182
 114925 MUNICIPIUL TARNAVENI,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,1226
