 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 115183 APOLD,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,150
 115183 APOLD,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,121
 115183 APOLD,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,116
 115183 APOLD,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,95
 115183 APOLD,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,104
 115183 APOLD,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,96
 115183 APOLD,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,109
 115183 APOLD,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,103
 115183 APOLD,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,101
 115183 APOLD,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,101
 115183 APOLD,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,112
 115183 APOLD,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,112
 115183 APOLD,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,118
 115183 APOLD,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,118
 115183 APOLD,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,116
 115183 APOLD,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,127
 115183 APOLD,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,123
 115183 APOLD,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,143
 115183 APOLD,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,153
 115183 APOLD,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,163
 115183 APOLD,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,138
 115183 APOLD,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,137
 115183 APOLD,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,116
 115183 APOLD,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,109
 115183 APOLD,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,97
 115183 APOLD,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,108
 115183 APOLD,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,102
 115183 APOLD,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,98
 115183 APOLD,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,118
 115183 APOLD,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,119
 115183 APOLD,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,129
 115183 APOLD,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,118
 115183 APOLD,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,124
 115183 APOLD,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,124
 115183 APOLD,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,136
 115183 APOLD,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,134
 115183 APOLD,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,154
 115183 APOLD,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,152
 115183 APOLD,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,162
 115183 APOLD,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,145
 115183 APOLD,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,145
 115183 APOLD,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,119
 115183 APOLD,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,113
 115183 APOLD,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,113
 115183 APOLD,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,114
 115183 APOLD,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,115
 115183 APOLD,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,127
 115183 APOLD,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,123
 115183 APOLD,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,124
 115183 APOLD,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,134
