 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 115389 BAND,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,322
 115389 BAND,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,319
 115389 BAND,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,306
 115389 BAND,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,310
 115389 BAND,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,283
 115389 BAND,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,292
 115389 BAND,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,310
 115389 BAND,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,308
 115389 BAND,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,292
 115389 BAND,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,343
 115389 BAND,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,337
 115389 BAND,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,320
 115389 BAND,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,334
 115389 BAND,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,304
 115389 BAND,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,281
 115389 BAND,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,303
 115389 BAND,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,300
 115389 BAND,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,303
 115389 BAND,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,313
 115389 BAND,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,312
 115389 BAND,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,301
 115389 BAND,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,300
 115389 BAND,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,303
 115389 BAND,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,276
 115389 BAND,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,290
 115389 BAND,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,313
 115389 BAND,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,302
 115389 BAND,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,236
 115389 BAND,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,357
 115389 BAND,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,349
 115389 BAND,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,315
 115389 BAND,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,308
 115389 BAND,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,296
 115389 BAND,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,293
 115389 BAND,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,316
 115389 BAND,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,307
 115389 BAND,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,314
 115389 BAND,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,311
 115389 BAND,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,313
 115389 BAND,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,292
 115389 BAND,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,300
 115389 BAND,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,245
 115389 BAND,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,412
 115389 BAND,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,394
 115389 BAND,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,391
 115389 BAND,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,377
 115389 BAND,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,375
 115389 BAND,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,361
 115389 BAND,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,352
 115389 BAND,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,322
 115389 BAND,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,312
 115389 BAND,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,306
 115389 BAND,15-19 ani, Masculin, Mures, Anul 2002, Numar persoane,304
 115389 BAND,15-19 ani, Masculin, Mures, Anul 2003, Numar persoane,320
 115389 BAND,15-19 ani, Masculin, Mures, Anul 2004, Numar persoane,309
 115389 BAND,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,249
 115389 BAND,20-24 ani, Masculin, Mures, Anul 1992, Numar persoane,370
 115389 BAND,20-24 ani, Masculin, Mures, Anul 1993, Numar persoane,374
 115389 BAND,20-24 ani, Masculin, Mures, Anul 1994, Numar persoane,378
 115389 BAND,20-24 ani, Masculin, Mures, Anul 1995, Numar persoane,396
 115389 BAND,20-24 ani, Masculin, Mures, Anul 1996, Numar persoane,394
 115389 BAND,20-24 ani, Masculin, Mures, Anul 1997, Numar persoane,409
 115389 BAND,20-24 ani, Masculin, Mures, Anul 1998, Numar persoane,388
 115389 BAND,20-24 ani, Masculin, Mures, Anul 1999, Numar persoane,389
 115389 BAND,20-24 ani, Masculin, Mures, Anul 2000, Numar persoane,382
 115389 BAND,20-24 ani, Masculin, Mures, Anul 2001, Numar persoane,375
 115389 BAND,20-24 ani, Masculin, Mures, Anul 2002, Numar persoane,363
 115389 BAND,20-24 ani, Masculin, Mures, Anul 2003, Numar persoane,355
 115389 BAND,20-24 ani, Masculin, Mures, Anul 2004, Numar persoane,328
 115389 BAND,20-24 ani, Masculin, Mures, Anul 2005, Numar persoane,247
