 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 115771 BICHIS,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,36
 115771 BICHIS,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,36
 115771 BICHIS,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,34
 115771 BICHIS,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,35
 115771 BICHIS,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,33
 115771 BICHIS,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,33
 115771 BICHIS,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,35
 115771 BICHIS,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,40
 115771 BICHIS,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,43
 115771 BICHIS,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,46
 115771 BICHIS,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,47
 115771 BICHIS,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,45
 115771 BICHIS,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,37
 115771 BICHIS,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,38
 115771 BICHIS,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,20
 115771 BICHIS,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,24
 115771 BICHIS,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,30
 115771 BICHIS,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,27
 115771 BICHIS,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,27
 115771 BICHIS,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,30
 115771 BICHIS,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,32
 115771 BICHIS,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,37
