 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 115897 BRINCOVENESTI,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,164
 115897 BRINCOVENESTI,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,147
 115897 BRINCOVENESTI,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,122
 115897 BRINCOVENESTI,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,96
 115897 BRINCOVENESTI,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,99
 115897 BRINCOVENESTI,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,95
 115897 BRINCOVENESTI,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,99
 115897 BRINCOVENESTI,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,106
 115897 BRINCOVENESTI,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,99
 115897 BRINCOVENESTI,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,99
 115897 BRINCOVENESTI,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,92
 115897 BRINCOVENESTI,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,87
 115897 BRINCOVENESTI,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,82
 115897 BRINCOVENESTI,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,99
 115897 BRINCOVENESTI,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,142
 115897 BRINCOVENESTI,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,164
 115897 BRINCOVENESTI,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,167
 115897 BRINCOVENESTI,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,184
 115897 BRINCOVENESTI,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,176
 115897 BRINCOVENESTI,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,164
 115897 BRINCOVENESTI,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,146
 115897 BRINCOVENESTI,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,128
 115897 BRINCOVENESTI,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,107
 115897 BRINCOVENESTI,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,102
 115897 BRINCOVENESTI,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,100
 115897 BRINCOVENESTI,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,101
 115897 BRINCOVENESTI,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,105
 115897 BRINCOVENESTI,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,97
 115897 BRINCOVENESTI,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,174
 115897 BRINCOVENESTI,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,149
 115897 BRINCOVENESTI,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,160
 115897 BRINCOVENESTI,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,139
 115897 BRINCOVENESTI,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,138
 115897 BRINCOVENESTI,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,143
 115897 BRINCOVENESTI,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,169
 115897 BRINCOVENESTI,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,169
 115897 BRINCOVENESTI,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,185
 115897 BRINCOVENESTI,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,176
 115897 BRINCOVENESTI,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,157
 115897 BRINCOVENESTI,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,144
 115897 BRINCOVENESTI,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,122
 115897 BRINCOVENESTI,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,106
 115897 BRINCOVENESTI,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,196
 115897 BRINCOVENESTI,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,204
 115897 BRINCOVENESTI,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,184
 115897 BRINCOVENESTI,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,180
 115897 BRINCOVENESTI,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,177
 115897 BRINCOVENESTI,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,181
 115897 BRINCOVENESTI,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,156
 115897 BRINCOVENESTI,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,167
 115897 BRINCOVENESTI,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,144
 115897 BRINCOVENESTI,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,141
 115897 BRINCOVENESTI,15-19 ani, Masculin, Mures, Anul 2002, Numar persoane,144
 115897 BRINCOVENESTI,15-19 ani, Masculin, Mures, Anul 2003, Numar persoane,166
 115897 BRINCOVENESTI,15-19 ani, Masculin, Mures, Anul 2004, Numar persoane,171
 115897 BRINCOVENESTI,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,183
 115897 BRINCOVENESTI,20-24 ani, Masculin, Mures, Anul 1992, Numar persoane,209
 115897 BRINCOVENESTI,20-24 ani, Masculin, Mures, Anul 1993, Numar persoane,198
 115897 BRINCOVENESTI,20-24 ani, Masculin, Mures, Anul 1994, Numar persoane,211
 115897 BRINCOVENESTI,20-24 ani, Masculin, Mures, Anul 1995, Numar persoane,204
 115897 BRINCOVENESTI,20-24 ani, Masculin, Mures, Anul 1996, Numar persoane,201
 115897 BRINCOVENESTI,20-24 ani, Masculin, Mures, Anul 1997, Numar persoane,197
 115897 BRINCOVENESTI,20-24 ani, Masculin, Mures, Anul 1998, Numar persoane,205
 115897 BRINCOVENESTI,20-24 ani, Masculin, Mures, Anul 1999, Numar persoane,187
 115897 BRINCOVENESTI,20-24 ani, Masculin, Mures, Anul 2000, Numar persoane,189
 115897 BRINCOVENESTI,20-24 ani, Masculin, Mures, Anul 2001, Numar persoane,183
 115897 BRINCOVENESTI,20-24 ani, Masculin, Mures, Anul 2002, Numar persoane,186
 115897 BRINCOVENESTI,20-24 ani, Masculin, Mures, Anul 2003, Numar persoane,163
 115897 BRINCOVENESTI,20-24 ani, Masculin, Mures, Anul 2004, Numar persoane,171
 115897 BRINCOVENESTI,20-24 ani, Masculin, Mures, Anul 2005, Numar persoane,144
 115897 BRINCOVENESTI,25-29 ani, Masculin, Mures, Anul 1992, Numar persoane,123
 115897 BRINCOVENESTI,25-29 ani, Masculin, Mures, Anul 1993, Numar persoane,143
 115897 BRINCOVENESTI,25-29 ani, Masculin, Mures, Anul 1994, Numar persoane,151
 115897 BRINCOVENESTI,25-29 ani, Masculin, Mures, Anul 1995, Numar persoane,167
 115897 BRINCOVENESTI,25-29 ani, Masculin, Mures, Anul 1996, Numar persoane,190
 115897 BRINCOVENESTI,25-29 ani, Masculin, Mures, Anul 1997, Numar persoane,201
 115897 BRINCOVENESTI,25-29 ani, Masculin, Mures, Anul 1998, Numar persoane,193
 115897 BRINCOVENESTI,25-29 ani, Masculin, Mures, Anul 1999, Numar persoane,201
 115897 BRINCOVENESTI,25-29 ani, Masculin, Mures, Anul 2000, Numar persoane,196
 115897 BRINCOVENESTI,25-29 ani, Masculin, Mures, Anul 2001, Numar persoane,193
 115897 BRINCOVENESTI,25-29 ani, Masculin, Mures, Anul 2002, Numar persoane,190
 115897 BRINCOVENESTI,25-29 ani, Masculin, Mures, Anul 2003, Numar persoane,196
 115897 BRINCOVENESTI,25-29 ani, Masculin, Mures, Anul 2004, Numar persoane,182
 115897 BRINCOVENESTI,25-29 ani, Masculin, Mures, Anul 2005, Numar persoane,192
 115897 BRINCOVENESTI,30-34 ani, Masculin, Mures, Anul 1992, Numar persoane,130
 115897 BRINCOVENESTI,30-34 ani, Masculin, Mures, Anul 1993, Numar persoane,126
 115897 BRINCOVENESTI,30-34 ani, Masculin, Mures, Anul 1994, Numar persoane,117
 115897 BRINCOVENESTI,30-34 ani, Masculin, Mures, Anul 1995, Numar persoane,121
 115897 BRINCOVENESTI,30-34 ani, Masculin, Mures, Anul 1996, Numar persoane,114
 115897 BRINCOVENESTI,30-34 ani, Masculin, Mures, Anul 1997, Numar persoane,120
 115897 BRINCOVENESTI,30-34 ani, Masculin, Mures, Anul 1998, Numar persoane,143
 115897 BRINCOVENESTI,30-34 ani, Masculin, Mures, Anul 1999, Numar persoane,150
 115897 BRINCOVENESTI,30-34 ani, Masculin, Mures, Anul 2000, Numar persoane,172
 115897 BRINCOVENESTI,30-34 ani, Masculin, Mures, Anul 2001, Numar persoane,192
 115897 BRINCOVENESTI,30-34 ani, Masculin, Mures, Anul 2002, Numar persoane,202
 115897 BRINCOVENESTI,30-34 ani, Masculin, Mures, Anul 2003, Numar persoane,192
 115897 BRINCOVENESTI,30-34 ani, Masculin, Mures, Anul 2004, Numar persoane,204
 115897 BRINCOVENESTI,30-34 ani, Masculin, Mures, Anul 2005, Numar persoane,193
 115897 BRINCOVENESTI,35-39 ani, Masculin, Mures, Anul 1992, Numar persoane,128
 115897 BRINCOVENESTI,35-39 ani, Masculin, Mures, Anul 1993, Numar persoane,129
 115897 BRINCOVENESTI,35-39 ani, Masculin, Mures, Anul 1994, Numar persoane,145
 115897 BRINCOVENESTI,35-39 ani, Masculin, Mures, Anul 1995, Numar persoane,139
 115897 BRINCOVENESTI,35-39 ani, Masculin, Mures, Anul 1996, Numar persoane,129
 115897 BRINCOVENESTI,35-39 ani, Masculin, Mures, Anul 1997, Numar persoane,127
 115897 BRINCOVENESTI,35-39 ani, Masculin, Mures, Anul 1998, Numar persoane,126
 115897 BRINCOVENESTI,35-39 ani, Masculin, Mures, Anul 1999, Numar persoane,115
 115897 BRINCOVENESTI,35-39 ani, Masculin, Mures, Anul 2000, Numar persoane,123
 115897 BRINCOVENESTI,35-39 ani, Masculin, Mures, Anul 2001, Numar persoane,117
 115897 BRINCOVENESTI,35-39 ani, Masculin, Mures, Anul 2002, Numar persoane,123
 115897 BRINCOVENESTI,35-39 ani, Masculin, Mures, Anul 2003, Numar persoane,145
 115897 BRINCOVENESTI,35-39 ani, Masculin, Mures, Anul 2004, Numar persoane,149
 115897 BRINCOVENESTI,35-39 ani, Masculin, Mures, Anul 2005, Numar persoane,171
 115897 BRINCOVENESTI,40-44 ani, Masculin, Mures, Anul 1992, Numar persoane,128
 115897 BRINCOVENESTI,40-44 ani, Masculin, Mures, Anul 1993, Numar persoane,121
 115897 BRINCOVENESTI,40-44 ani, Masculin, Mures, Anul 1994, Numar persoane,114
 115897 BRINCOVENESTI,40-44 ani, Masculin, Mures, Anul 1995, Numar persoane,115
 115897 BRINCOVENESTI,40-44 ani, Masculin, Mures, Anul 1996, Numar persoane,125
 115897 BRINCOVENESTI,40-44 ani, Masculin, Mures, Anul 1997, Numar persoane,122
 115897 BRINCOVENESTI,40-44 ani, Masculin, Mures, Anul 1998, Numar persoane,127
 115897 BRINCOVENESTI,40-44 ani, Masculin, Mures, Anul 1999, Numar persoane,145
 115897 BRINCOVENESTI,40-44 ani, Masculin, Mures, Anul 2000, Numar persoane,138
 115897 BRINCOVENESTI,40-44 ani, Masculin, Mures, Anul 2001, Numar persoane,133
 115897 BRINCOVENESTI,40-44 ani, Masculin, Mures, Anul 2002, Numar persoane,129
 115897 BRINCOVENESTI,40-44 ani, Masculin, Mures, Anul 2003, Numar persoane,124
 115897 BRINCOVENESTI,40-44 ani, Masculin, Mures, Anul 2004, Numar persoane,113
 115897 BRINCOVENESTI,40-44 ani, Masculin, Mures, Anul 2005, Numar persoane,119
 115897 BRINCOVENESTI,45-49 ani, Masculin, Mures, Anul 1992, Numar persoane,114
 115897 BRINCOVENESTI,45-49 ani, Masculin, Mures, Anul 1993, Numar persoane,112
 115897 BRINCOVENESTI,45-49 ani, Masculin, Mures, Anul 1994, Numar persoane,121
 115897 BRINCOVENESTI,45-49 ani, Masculin, Mures, Anul 1995, Numar persoane,116
 115897 BRINCOVENESTI,45-49 ani, Masculin, Mures, Anul 1996, Numar persoane,121
 115897 BRINCOVENESTI,45-49 ani, Masculin, Mures, Anul 1997, Numar persoane,123
 115897 BRINCOVENESTI,45-49 ani, Masculin, Mures, Anul 1998, Numar persoane,119
 115897 BRINCOVENESTI,45-49 ani, Masculin, Mures, Anul 1999, Numar persoane,116
 115897 BRINCOVENESTI,45-49 ani, Masculin, Mures, Anul 2000, Numar persoane,118
 115897 BRINCOVENESTI,45-49 ani, Masculin, Mures, Anul 2001, Numar persoane,126
 115897 BRINCOVENESTI,45-49 ani, Masculin, Mures, Anul 2002, Numar persoane,123
 115897 BRINCOVENESTI,45-49 ani, Masculin, Mures, Anul 2003, Numar persoane,126
 115897 BRINCOVENESTI,45-49 ani, Masculin, Mures, Anul 2004, Numar persoane,136
 115897 BRINCOVENESTI,45-49 ani, Masculin, Mures, Anul 2005, Numar persoane,131
 115897 BRINCOVENESTI,50-54 ani, Masculin, Mures, Anul 1992, Numar persoane,136
 115897 BRINCOVENESTI,50-54 ani, Masculin, Mures, Anul 1993, Numar persoane,142
 115897 BRINCOVENESTI,50-54 ani, Masculin, Mures, Anul 1994, Numar persoane,132
 115897 BRINCOVENESTI,50-54 ani, Masculin, Mures, Anul 1995, Numar persoane,120
 115897 BRINCOVENESTI,50-54 ani, Masculin, Mures, Anul 1996, Numar persoane,120
 115897 BRINCOVENESTI,50-54 ani, Masculin, Mures, Anul 1997, Numar persoane,115
 115897 BRINCOVENESTI,50-54 ani, Masculin, Mures, Anul 1998, Numar persoane,109
 115897 BRINCOVENESTI,50-54 ani, Masculin, Mures, Anul 1999, Numar persoane,112
 115897 BRINCOVENESTI,50-54 ani, Masculin, Mures, Anul 2000, Numar persoane,112
 115897 BRINCOVENESTI,50-54 ani, Masculin, Mures, Anul 2001, Numar persoane,117
 115897 BRINCOVENESTI,50-54 ani, Masculin, Mures, Anul 2002, Numar persoane,124
 115897 BRINCOVENESTI,50-54 ani, Masculin, Mures, Anul 2003, Numar persoane,121
 115897 BRINCOVENESTI,50-54 ani, Masculin, Mures, Anul 2004, Numar persoane,119
 115897 BRINCOVENESTI,50-54 ani, Masculin, Mures, Anul 2005, Numar persoane,117
