 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 116171 COROISINMARTIN,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,57
 116171 COROISINMARTIN,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,49
 116171 COROISINMARTIN,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,46
 116171 COROISINMARTIN,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,50
 116171 COROISINMARTIN,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,48
 116171 COROISINMARTIN,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,55
 116171 COROISINMARTIN,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,55
 116171 COROISINMARTIN,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,54
 116171 COROISINMARTIN,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,53
 116171 COROISINMARTIN,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,58
 116171 COROISINMARTIN,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,50
 116171 COROISINMARTIN,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,58
 116171 COROISINMARTIN,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,57
 116171 COROISINMARTIN,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,60
 116171 COROISINMARTIN,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,48
 116171 COROISINMARTIN,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,47
 116171 COROISINMARTIN,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,49
 116171 COROISINMARTIN,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,47
 116171 COROISINMARTIN,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,52
 116171 COROISINMARTIN,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,52
 116171 COROISINMARTIN,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,45
 116171 COROISINMARTIN,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,47
 116171 COROISINMARTIN,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,53
 116171 COROISINMARTIN,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,54
 116171 COROISINMARTIN,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,52
 116171 COROISINMARTIN,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,56
 116171 COROISINMARTIN,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,57
 116171 COROISINMARTIN,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,56
 116171 COROISINMARTIN,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,61
 116171 COROISINMARTIN,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,60
 116171 COROISINMARTIN,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,55
 116171 COROISINMARTIN,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,51
 116171 COROISINMARTIN,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,46
 116171 COROISINMARTIN,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,49
 116171 COROISINMARTIN,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,49
 116171 COROISINMARTIN,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,51
 116171 COROISINMARTIN,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,49
 116171 COROISINMARTIN,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,51
 116171 COROISINMARTIN,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,53
 116171 COROISINMARTIN,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,48
 116171 COROISINMARTIN,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,54
 116171 COROISINMARTIN,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,58
 116171 COROISINMARTIN,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,83
 116171 COROISINMARTIN,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,88
 116171 COROISINMARTIN,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,75
 116171 COROISINMARTIN,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,62
 116171 COROISINMARTIN,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,68
 116171 COROISINMARTIN,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,65
 116171 COROISINMARTIN,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,65
 116171 COROISINMARTIN,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,59
 116171 COROISINMARTIN,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,55
 116171 COROISINMARTIN,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,52
 116171 COROISINMARTIN,15-19 ani, Masculin, Mures, Anul 2002, Numar persoane,55
 116171 COROISINMARTIN,15-19 ani, Masculin, Mures, Anul 2003, Numar persoane,53
 116171 COROISINMARTIN,15-19 ani, Masculin, Mures, Anul 2004, Numar persoane,58
 116171 COROISINMARTIN,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,54
 116171 COROISINMARTIN,20-24 ani, Masculin, Mures, Anul 1992, Numar persoane,80
 116171 COROISINMARTIN,20-24 ani, Masculin, Mures, Anul 1993, Numar persoane,73
 116171 COROISINMARTIN,20-24 ani, Masculin, Mures, Anul 1994, Numar persoane,85
 116171 COROISINMARTIN,20-24 ani, Masculin, Mures, Anul 1995, Numar persoane,84
 116171 COROISINMARTIN,20-24 ani, Masculin, Mures, Anul 1996, Numar persoane,77
 116171 COROISINMARTIN,20-24 ani, Masculin, Mures, Anul 1997, Numar persoane,80
 116171 COROISINMARTIN,20-24 ani, Masculin, Mures, Anul 1998, Numar persoane,88
 116171 COROISINMARTIN,20-24 ani, Masculin, Mures, Anul 1999, Numar persoane,78
 116171 COROISINMARTIN,20-24 ani, Masculin, Mures, Anul 2000, Numar persoane,67
 116171 COROISINMARTIN,20-24 ani, Masculin, Mures, Anul 2001, Numar persoane,68
 116171 COROISINMARTIN,20-24 ani, Masculin, Mures, Anul 2002, Numar persoane,63
 116171 COROISINMARTIN,20-24 ani, Masculin, Mures, Anul 2003, Numar persoane,65
 116171 COROISINMARTIN,20-24 ani, Masculin, Mures, Anul 2004, Numar persoane,60
 116171 COROISINMARTIN,20-24 ani, Masculin, Mures, Anul 2005, Numar persoane,60
 116171 COROISINMARTIN,25-29 ani, Masculin, Mures, Anul 1992, Numar persoane,40
 116171 COROISINMARTIN,25-29 ani, Masculin, Mures, Anul 1993, Numar persoane,47
 116171 COROISINMARTIN,25-29 ani, Masculin, Mures, Anul 1994, Numar persoane,50
 116171 COROISINMARTIN,25-29 ani, Masculin, Mures, Anul 1995, Numar persoane,61
 116171 COROISINMARTIN,25-29 ani, Masculin, Mures, Anul 1996, Numar persoane,67
 116171 COROISINMARTIN,25-29 ani, Masculin, Mures, Anul 1997, Numar persoane,70
 116171 COROISINMARTIN,25-29 ani, Masculin, Mures, Anul 1998, Numar persoane,65
 116171 COROISINMARTIN,25-29 ani, Masculin, Mures, Anul 1999, Numar persoane,73
 116171 COROISINMARTIN,25-29 ani, Masculin, Mures, Anul 2000, Numar persoane,74
 116171 COROISINMARTIN,25-29 ani, Masculin, Mures, Anul 2001, Numar persoane,70
 116171 COROISINMARTIN,25-29 ani, Masculin, Mures, Anul 2002, Numar persoane,74
 116171 COROISINMARTIN,25-29 ani, Masculin, Mures, Anul 2003, Numar persoane,77
 116171 COROISINMARTIN,25-29 ani, Masculin, Mures, Anul 2004, Numar persoane,70
 116171 COROISINMARTIN,25-29 ani, Masculin, Mures, Anul 2005, Numar persoane,61
 116171 COROISINMARTIN,30-34 ani, Masculin, Mures, Anul 1992, Numar persoane,45
 116171 COROISINMARTIN,30-34 ani, Masculin, Mures, Anul 1993, Numar persoane,37
 116171 COROISINMARTIN,30-34 ani, Masculin, Mures, Anul 1994, Numar persoane,37
 116171 COROISINMARTIN,30-34 ani, Masculin, Mures, Anul 1995, Numar persoane,34
 116171 COROISINMARTIN,30-34 ani, Masculin, Mures, Anul 1996, Numar persoane,32
 116171 COROISINMARTIN,30-34 ani, Masculin, Mures, Anul 1997, Numar persoane,34
 116171 COROISINMARTIN,30-34 ani, Masculin, Mures, Anul 1998, Numar persoane,40
 116171 COROISINMARTIN,30-34 ani, Masculin, Mures, Anul 1999, Numar persoane,47
 116171 COROISINMARTIN,30-34 ani, Masculin, Mures, Anul 2000, Numar persoane,58
 116171 COROISINMARTIN,30-34 ani, Masculin, Mures, Anul 2001, Numar persoane,64
 116171 COROISINMARTIN,30-34 ani, Masculin, Mures, Anul 2002, Numar persoane,65
 116171 COROISINMARTIN,30-34 ani, Masculin, Mures, Anul 2003, Numar persoane,61
 116171 COROISINMARTIN,30-34 ani, Masculin, Mures, Anul 2004, Numar persoane,68
 116171 COROISINMARTIN,30-34 ani, Masculin, Mures, Anul 2005, Numar persoane,77
 116171 COROISINMARTIN,35-39 ani, Masculin, Mures, Anul 1992, Numar persoane,39
 116171 COROISINMARTIN,35-39 ani, Masculin, Mures, Anul 1993, Numar persoane,44
 116171 COROISINMARTIN,35-39 ani, Masculin, Mures, Anul 1994, Numar persoane,38
 116171 COROISINMARTIN,35-39 ani, Masculin, Mures, Anul 1995, Numar persoane,45
 116171 COROISINMARTIN,35-39 ani, Masculin, Mures, Anul 1996, Numar persoane,41
 116171 COROISINMARTIN,35-39 ani, Masculin, Mures, Anul 1997, Numar persoane,41
 116171 COROISINMARTIN,35-39 ani, Masculin, Mures, Anul 1998, Numar persoane,33
 116171 COROISINMARTIN,35-39 ani, Masculin, Mures, Anul 1999, Numar persoane,37
 116171 COROISINMARTIN,35-39 ani, Masculin, Mures, Anul 2000, Numar persoane,37
 116171 COROISINMARTIN,35-39 ani, Masculin, Mures, Anul 2001, Numar persoane,40
 116171 COROISINMARTIN,35-39 ani, Masculin, Mures, Anul 2002, Numar persoane,38
 116171 COROISINMARTIN,35-39 ani, Masculin, Mures, Anul 2003, Numar persoane,45
 116171 COROISINMARTIN,35-39 ani, Masculin, Mures, Anul 2004, Numar persoane,45
 116171 COROISINMARTIN,35-39 ani, Masculin, Mures, Anul 2005, Numar persoane,49
 116171 COROISINMARTIN,40-44 ani, Masculin, Mures, Anul 1992, Numar persoane,44
 116171 COROISINMARTIN,40-44 ani, Masculin, Mures, Anul 1993, Numar persoane,42
 116171 COROISINMARTIN,40-44 ani, Masculin, Mures, Anul 1994, Numar persoane,41
 116171 COROISINMARTIN,40-44 ani, Masculin, Mures, Anul 1995, Numar persoane,34
 116171 COROISINMARTIN,40-44 ani, Masculin, Mures, Anul 1996, Numar persoane,39
 116171 COROISINMARTIN,40-44 ani, Masculin, Mures, Anul 1997, Numar persoane,34
 116171 COROISINMARTIN,40-44 ani, Masculin, Mures, Anul 1998, Numar persoane,42
 116171 COROISINMARTIN,40-44 ani, Masculin, Mures, Anul 1999, Numar persoane,37
 116171 COROISINMARTIN,40-44 ani, Masculin, Mures, Anul 2000, Numar persoane,41
 116171 COROISINMARTIN,40-44 ani, Masculin, Mures, Anul 2001, Numar persoane,37
 116171 COROISINMARTIN,40-44 ani, Masculin, Mures, Anul 2002, Numar persoane,46
 116171 COROISINMARTIN,40-44 ani, Masculin, Mures, Anul 2003, Numar persoane,40
 116171 COROISINMARTIN,40-44 ani, Masculin, Mures, Anul 2004, Numar persoane,40
 116171 COROISINMARTIN,40-44 ani, Masculin, Mures, Anul 2005, Numar persoane,39
 116171 COROISINMARTIN,45-49 ani, Masculin, Mures, Anul 1992, Numar persoane,36
 116171 COROISINMARTIN,45-49 ani, Masculin, Mures, Anul 1993, Numar persoane,36
 116171 COROISINMARTIN,45-49 ani, Masculin, Mures, Anul 1994, Numar persoane,40
 116171 COROISINMARTIN,45-49 ani, Masculin, Mures, Anul 1995, Numar persoane,44
 116171 COROISINMARTIN,45-49 ani, Masculin, Mures, Anul 1996, Numar persoane,46
 116171 COROISINMARTIN,45-49 ani, Masculin, Mures, Anul 1997, Numar persoane,42
 116171 COROISINMARTIN,45-49 ani, Masculin, Mures, Anul 1998, Numar persoane,39
 116171 COROISINMARTIN,45-49 ani, Masculin, Mures, Anul 1999, Numar persoane,33
 116171 COROISINMARTIN,45-49 ani, Masculin, Mures, Anul 2000, Numar persoane,30
 116171 COROISINMARTIN,45-49 ani, Masculin, Mures, Anul 2001, Numar persoane,36
