 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 116288 CRACIUNESTI,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,216
 116288 CRACIUNESTI,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,212
 116288 CRACIUNESTI,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,212
 116288 CRACIUNESTI,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,197
 116288 CRACIUNESTI,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,198
 116288 CRACIUNESTI,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,178
 116288 CRACIUNESTI,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,177
 116288 CRACIUNESTI,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,173
 116288 CRACIUNESTI,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,170
 116288 CRACIUNESTI,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,158
 116288 CRACIUNESTI,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,174
 116288 CRACIUNESTI,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,171
 116288 CRACIUNESTI,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,184
 116288 CRACIUNESTI,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,182
 116288 CRACIUNESTI,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,159
 116288 CRACIUNESTI,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,163
 116288 CRACIUNESTI,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,164
 116288 CRACIUNESTI,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,198
 116288 CRACIUNESTI,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,203
 116288 CRACIUNESTI,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,207
 116288 CRACIUNESTI,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,210
 116288 CRACIUNESTI,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,204
 116288 CRACIUNESTI,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,198
 116288 CRACIUNESTI,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,201
 116288 CRACIUNESTI,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,187
 116288 CRACIUNESTI,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,185
 116288 CRACIUNESTI,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,183
 116288 CRACIUNESTI,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,170
 116288 CRACIUNESTI,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,169
 116288 CRACIUNESTI,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,173
 116288 CRACIUNESTI,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,161
 116288 CRACIUNESTI,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,142
 116288 CRACIUNESTI,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,137
 116288 CRACIUNESTI,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,140
 116288 CRACIUNESTI,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,144
 116288 CRACIUNESTI,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,161
 116288 CRACIUNESTI,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,194
 116288 CRACIUNESTI,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,200
 116288 CRACIUNESTI,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,214
 116288 CRACIUNESTI,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,212
 116288 CRACIUNESTI,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,203
 116288 CRACIUNESTI,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,192
 116288 CRACIUNESTI,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,207
 116288 CRACIUNESTI,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,198
 116288 CRACIUNESTI,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,186
 116288 CRACIUNESTI,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,187
 116288 CRACIUNESTI,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,170
 116288 CRACIUNESTI,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,163
 116288 CRACIUNESTI,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,162
 116288 CRACIUNESTI,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,155
 116288 CRACIUNESTI,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,141
 116288 CRACIUNESTI,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,142
 116288 CRACIUNESTI,15-19 ani, Masculin, Mures, Anul 2002, Numar persoane,145
 116288 CRACIUNESTI,15-19 ani, Masculin, Mures, Anul 2003, Numar persoane,144
 116288 CRACIUNESTI,15-19 ani, Masculin, Mures, Anul 2004, Numar persoane,165
 116288 CRACIUNESTI,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,187
 116288 CRACIUNESTI,20-24 ani, Masculin, Mures, Anul 1992, Numar persoane,236
 116288 CRACIUNESTI,20-24 ani, Masculin, Mures, Anul 1993, Numar persoane,234
 116288 CRACIUNESTI,20-24 ani, Masculin, Mures, Anul 1994, Numar persoane,233
 116288 CRACIUNESTI,20-24 ani, Masculin, Mures, Anul 1995, Numar persoane,214
 116288 CRACIUNESTI,20-24 ani, Masculin, Mures, Anul 1996, Numar persoane,220
 116288 CRACIUNESTI,20-24 ani, Masculin, Mures, Anul 1997, Numar persoane,205
 116288 CRACIUNESTI,20-24 ani, Masculin, Mures, Anul 1998, Numar persoane,196
 116288 CRACIUNESTI,20-24 ani, Masculin, Mures, Anul 1999, Numar persoane,191
 116288 CRACIUNESTI,20-24 ani, Masculin, Mures, Anul 2000, Numar persoane,184
 116288 CRACIUNESTI,20-24 ani, Masculin, Mures, Anul 2001, Numar persoane,173
