 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 116395 CUCERDEA,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,39
 116395 CUCERDEA,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,36
 116395 CUCERDEA,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,38
 116395 CUCERDEA,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,38
 116395 CUCERDEA,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,40
 116395 CUCERDEA,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,46
 116395 CUCERDEA,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,42
 116395 CUCERDEA,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,43
 116395 CUCERDEA,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,38
 116395 CUCERDEA,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,46
 116395 CUCERDEA,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,47
 116395 CUCERDEA,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,54
 116395 CUCERDEA,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,49
 116395 CUCERDEA,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,44
 116395 CUCERDEA,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,37
 116395 CUCERDEA,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,32
 116395 CUCERDEA,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,37
 116395 CUCERDEA,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,42
 116395 CUCERDEA,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,38
 116395 CUCERDEA,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,38
 116395 CUCERDEA,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,39
 116395 CUCERDEA,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,40
 116395 CUCERDEA,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,40
 116395 CUCERDEA,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,43
 116395 CUCERDEA,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,44
 116395 CUCERDEA,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,40
 116395 CUCERDEA,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,42
 116395 CUCERDEA,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,40
 116395 CUCERDEA,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,66
 116395 CUCERDEA,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,61
 116395 CUCERDEA,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,49
 116395 CUCERDEA,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,46
 116395 CUCERDEA,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,47
 116395 CUCERDEA,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,42
 116395 CUCERDEA,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,36
 116395 CUCERDEA,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,41
 116395 CUCERDEA,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,40
 116395 CUCERDEA,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,37
 116395 CUCERDEA,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,36
 116395 CUCERDEA,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,41
 116395 CUCERDEA,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,41
 116395 CUCERDEA,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,42
 116395 CUCERDEA,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,107
 116395 CUCERDEA,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,96
 116395 CUCERDEA,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,94
 116395 CUCERDEA,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,76
 116395 CUCERDEA,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,66
 116395 CUCERDEA,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,65
 116395 CUCERDEA,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,66
 116395 CUCERDEA,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,54
 116395 CUCERDEA,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,51
 116395 CUCERDEA,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,51
 116395 CUCERDEA,15-19 ani, Masculin, Mures, Anul 2002, Numar persoane,44
 116395 CUCERDEA,15-19 ani, Masculin, Mures, Anul 2003, Numar persoane,42
 116395 CUCERDEA,15-19 ani, Masculin, Mures, Anul 2004, Numar persoane,47
 116395 CUCERDEA,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,47
 116395 CUCERDEA,20-24 ani, Masculin, Mures, Anul 1992, Numar persoane,114
 116395 CUCERDEA,20-24 ani, Masculin, Mures, Anul 1993, Numar persoane,109
 116395 CUCERDEA,20-24 ani, Masculin, Mures, Anul 1994, Numar persoane,109
 116395 CUCERDEA,20-24 ani, Masculin, Mures, Anul 1995, Numar persoane,108
 116395 CUCERDEA,20-24 ani, Masculin, Mures, Anul 1996, Numar persoane,107
 116395 CUCERDEA,20-24 ani, Masculin, Mures, Anul 1997, Numar persoane,98
 116395 CUCERDEA,20-24 ani, Masculin, Mures, Anul 1998, Numar persoane,86
 116395 CUCERDEA,20-24 ani, Masculin, Mures, Anul 1999, Numar persoane,87
 116395 CUCERDEA,20-24 ani, Masculin, Mures, Anul 2000, Numar persoane,69
 116395 CUCERDEA,20-24 ani, Masculin, Mures, Anul 2001, Numar persoane,65
 116395 CUCERDEA,20-24 ani, Masculin, Mures, Anul 2002, Numar persoane,65
 116395 CUCERDEA,20-24 ani, Masculin, Mures, Anul 2003, Numar persoane,68
 116395 CUCERDEA,20-24 ani, Masculin, Mures, Anul 2004, Numar persoane,56
 116395 CUCERDEA,20-24 ani, Masculin, Mures, Anul 2005, Numar persoane,55
 116395 CUCERDEA,25-29 ani, Masculin, Mures, Anul 1992, Numar persoane,66
 116395 CUCERDEA,25-29 ani, Masculin, Mures, Anul 1993, Numar persoane,68
 116395 CUCERDEA,25-29 ani, Masculin, Mures, Anul 1994, Numar persoane,64
 116395 CUCERDEA,25-29 ani, Masculin, Mures, Anul 1995, Numar persoane,66
 116395 CUCERDEA,25-29 ani, Masculin, Mures, Anul 1996, Numar persoane,64
 116395 CUCERDEA,25-29 ani, Masculin, Mures, Anul 1997, Numar persoane,81
 116395 CUCERDEA,25-29 ani, Masculin, Mures, Anul 1998, Numar persoane,82
 116395 CUCERDEA,25-29 ani, Masculin, Mures, Anul 1999, Numar persoane,80
 116395 CUCERDEA,25-29 ani, Masculin, Mures, Anul 2000, Numar persoane,83
 116395 CUCERDEA,25-29 ani, Masculin, Mures, Anul 2001, Numar persoane,85
 116395 CUCERDEA,25-29 ani, Masculin, Mures, Anul 2002, Numar persoane,75
 116395 CUCERDEA,25-29 ani, Masculin, Mures, Anul 2003, Numar persoane,71
 116395 CUCERDEA,25-29 ani, Masculin, Mures, Anul 2004, Numar persoane,79
 116395 CUCERDEA,25-29 ani, Masculin, Mures, Anul 2005, Numar persoane,63
