 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 116493 DANES,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,238
 116493 DANES,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,249
 116493 DANES,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,242
 116493 DANES,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,240
 116493 DANES,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,238
 116493 DANES,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,230
 116493 DANES,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,196
 116493 DANES,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,185
 116493 DANES,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,176
 116493 DANES,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,166
 116493 DANES,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,172
 116493 DANES,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,164
 116493 DANES,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,170
 116493 DANES,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,183
 116493 DANES,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,228
 116493 DANES,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,232
 116493 DANES,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,246
 116493 DANES,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,234
 116493 DANES,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,229
 116493 DANES,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,225
 116493 DANES,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,240
 116493 DANES,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,237
 116493 DANES,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,238
 116493 DANES,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,238
 116493 DANES,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,227
 116493 DANES,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,197
 116493 DANES,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,181
 116493 DANES,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,166
 116493 DANES,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,246
 116493 DANES,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,227
 116493 DANES,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,226
 116493 DANES,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,215
 116493 DANES,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,208
 116493 DANES,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,227
 116493 DANES,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,235
 116493 DANES,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,244
 116493 DANES,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,230
 116493 DANES,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,232
 116493 DANES,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,225
 116493 DANES,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,241
 116493 DANES,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,240
 116493 DANES,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,237
 116493 DANES,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,256
 116493 DANES,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,252
 116493 DANES,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,242
 116493 DANES,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,247
 116493 DANES,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,247
 116493 DANES,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,240
 116493 DANES,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,220
 116493 DANES,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,221
 116493 DANES,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,216
 116493 DANES,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,208
 116493 DANES,15-19 ani, Masculin, Mures, Anul 2002, Numar persoane,225
 116493 DANES,15-19 ani, Masculin, Mures, Anul 2003, Numar persoane,237
 116493 DANES,15-19 ani, Masculin, Mures, Anul 2004, Numar persoane,244
 116493 DANES,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,230
 116493 DANES,20-24 ani, Masculin, Mures, Anul 1992, Numar persoane,273
 116493 DANES,20-24 ani, Masculin, Mures, Anul 1993, Numar persoane,274
 116493 DANES,20-24 ani, Masculin, Mures, Anul 1994, Numar persoane,253
 116493 DANES,20-24 ani, Masculin, Mures, Anul 1995, Numar persoane,261
 116493 DANES,20-24 ani, Masculin, Mures, Anul 1996, Numar persoane,260
