 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 117113 GLODENI,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,155
 117113 GLODENI,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,138
 117113 GLODENI,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,137
 117113 GLODENI,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,124
 117113 GLODENI,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,121
 117113 GLODENI,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,116
 117113 GLODENI,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,115
 117113 GLODENI,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,125
 117113 GLODENI,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,127
 117113 GLODENI,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,129
 117113 GLODENI,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,143
 117113 GLODENI,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,153
 117113 GLODENI,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,158
 117113 GLODENI,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,165
 117113 GLODENI,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,105
 117113 GLODENI,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,120
 117113 GLODENI,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,121
 117113 GLODENI,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,137
 117113 GLODENI,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,137
 117113 GLODENI,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,144
 117113 GLODENI,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,129
 117113 GLODENI,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,126
 117113 GLODENI,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,120
 117113 GLODENI,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,129
 117113 GLODENI,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,126
 117113 GLODENI,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,118
 117113 GLODENI,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,125
 117113 GLODENI,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,125
 117113 GLODENI,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,149
 117113 GLODENI,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,144
 117113 GLODENI,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,132
 117113 GLODENI,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,115
 117113 GLODENI,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,117
 117113 GLODENI,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,112
 117113 GLODENI,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,129
 117113 GLODENI,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,128
 117113 GLODENI,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,138
 117113 GLODENI,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,138
 117113 GLODENI,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,146
 117113 GLODENI,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,132
 117113 GLODENI,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,128
