 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 117550 IBANESTI,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,195
 117550 IBANESTI,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,185
 117550 IBANESTI,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,182
 117550 IBANESTI,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,167
 117550 IBANESTI,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,164
 117550 IBANESTI,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,145
 117550 IBANESTI,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,136
 117550 IBANESTI,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,124
 117550 IBANESTI,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,117
 117550 IBANESTI,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,113
 117550 IBANESTI,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,106
 117550 IBANESTI,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,111
 117550 IBANESTI,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,110
 117550 IBANESTI,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,111
 117550 IBANESTI,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,183
 117550 IBANESTI,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,190
 117550 IBANESTI,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,201
 117550 IBANESTI,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,218
 117550 IBANESTI,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,212
 117550 IBANESTI,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,201
 117550 IBANESTI,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,190
 117550 IBANESTI,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,179
 117550 IBANESTI,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,165
 117550 IBANESTI,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,155
 117550 IBANESTI,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,138
 117550 IBANESTI,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,131
 117550 IBANESTI,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,119
 117550 IBANESTI,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,112
 117550 IBANESTI,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,174
 117550 IBANESTI,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,172
 117550 IBANESTI,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,166
 117550 IBANESTI,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,162
 117550 IBANESTI,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,167
 117550 IBANESTI,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,175
 117550 IBANESTI,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,182
 117550 IBANESTI,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,199
 117550 IBANESTI,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,212
 117550 IBANESTI,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,212
 117550 IBANESTI,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,205
 117550 IBANESTI,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,189
 117550 IBANESTI,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,179
 117550 IBANESTI,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,160
 117550 IBANESTI,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,195
 117550 IBANESTI,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,179
 117550 IBANESTI,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,175
 117550 IBANESTI,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,173
 117550 IBANESTI,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,173
 117550 IBANESTI,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,174
