 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 117925 LIVEZENI,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,136
 117925 LIVEZENI,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,119
 117925 LIVEZENI,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,113
 117925 LIVEZENI,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,110
 117925 LIVEZENI,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,119
 117925 LIVEZENI,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,122
 117925 LIVEZENI,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,122
 117925 LIVEZENI,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,121
 117925 LIVEZENI,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,136
 117925 LIVEZENI,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,139
 117925 LIVEZENI,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,140
 117925 LIVEZENI,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,148
 117925 LIVEZENI,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,142
 117925 LIVEZENI,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,82
 117925 LIVEZENI,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,163
 117925 LIVEZENI,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,169
 117925 LIVEZENI,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,169
 117925 LIVEZENI,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,158
 117925 LIVEZENI,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,143
 117925 LIVEZENI,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,129
 117925 LIVEZENI,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,123
 117925 LIVEZENI,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,113
 117925 LIVEZENI,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,119
 117925 LIVEZENI,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,117
 117925 LIVEZENI,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,131
 117925 LIVEZENI,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,131
 117925 LIVEZENI,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,132
 117925 LIVEZENI,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,70
 117925 LIVEZENI,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,163
 117925 LIVEZENI,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,164
 117925 LIVEZENI,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,168
 117925 LIVEZENI,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,164
 117925 LIVEZENI,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,149
 117925 LIVEZENI,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,156
 117925 LIVEZENI,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,166
 117925 LIVEZENI,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,164
 117925 LIVEZENI,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,160
 117925 LIVEZENI,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,152
 117925 LIVEZENI,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,138
 117925 LIVEZENI,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,132
 117925 LIVEZENI,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,127
 117925 LIVEZENI,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,79
 117925 LIVEZENI,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,155
 117925 LIVEZENI,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,146
 117925 LIVEZENI,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,141
 117925 LIVEZENI,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,154
 117925 LIVEZENI,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,164
 117925 LIVEZENI,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,172
 117925 LIVEZENI,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,167
 117925 LIVEZENI,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,167
 117925 LIVEZENI,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,159
 117925 LIVEZENI,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,152
 117925 LIVEZENI,15-19 ani, Masculin, Mures, Anul 2002, Numar persoane,160
 117925 LIVEZENI,15-19 ani, Masculin, Mures, Anul 2003, Numar persoane,165
 117925 LIVEZENI,15-19 ani, Masculin, Mures, Anul 2004, Numar persoane,167
 117925 LIVEZENI,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,105
 117925 LIVEZENI,20-24 ani, Masculin, Mures, Anul 1992, Numar persoane,168
 117925 LIVEZENI,20-24 ani, Masculin, Mures, Anul 1993, Numar persoane,163
 117925 LIVEZENI,20-24 ani, Masculin, Mures, Anul 1994, Numar persoane,156
 117925 LIVEZENI,20-24 ani, Masculin, Mures, Anul 1995, Numar persoane,154
 117925 LIVEZENI,20-24 ani, Masculin, Mures, Anul 1996, Numar persoane,158
