 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 118058 LUNCA BRADULUI,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,80
 118058 LUNCA BRADULUI,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,80
 118058 LUNCA BRADULUI,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,66
 118058 LUNCA BRADULUI,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,69
 118058 LUNCA BRADULUI,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,83
 118058 LUNCA BRADULUI,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,75
 118058 LUNCA BRADULUI,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,69
 118058 LUNCA BRADULUI,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,84
 118058 LUNCA BRADULUI,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,81
 118058 LUNCA BRADULUI,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,79
 118058 LUNCA BRADULUI,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,76
 118058 LUNCA BRADULUI,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,79
 118058 LUNCA BRADULUI,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,76
 118058 LUNCA BRADULUI,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,81
 118058 LUNCA BRADULUI,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,85
 118058 LUNCA BRADULUI,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,90
 118058 LUNCA BRADULUI,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,98
 118058 LUNCA BRADULUI,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,94
 118058 LUNCA BRADULUI,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,85
 118058 LUNCA BRADULUI,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,89
 118058 LUNCA BRADULUI,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,89
 118058 LUNCA BRADULUI,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,73
 118058 LUNCA BRADULUI,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,72
 118058 LUNCA BRADULUI,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,78
 118058 LUNCA BRADULUI,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,71
 118058 LUNCA BRADULUI,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,67
 118058 LUNCA BRADULUI,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,80
 118058 LUNCA BRADULUI,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,75
