 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 118575 OGRA,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,70
 118575 OGRA,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,80
 118575 OGRA,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,84
 118575 OGRA,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,90
 118575 OGRA,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,96
 118575 OGRA,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,84
 118575 OGRA,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,87
 118575 OGRA,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,86
 118575 OGRA,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,85
 118575 OGRA,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,97
 118575 OGRA,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,114
 118575 OGRA,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,117
 118575 OGRA,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,111
 118575 OGRA,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,115
 118575 OGRA,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,49
 118575 OGRA,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,53
 118575 OGRA,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,61
 118575 OGRA,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,69
 118575 OGRA,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,86
 118575 OGRA,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,91
 118575 OGRA,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,101
 118575 OGRA,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,101
 118575 OGRA,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,108
 118575 OGRA,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,103
 118575 OGRA,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,99
 118575 OGRA,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,99
 118575 OGRA,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,96
 118575 OGRA,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,89
 118575 OGRA,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,69
 118575 OGRA,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,69
 118575 OGRA,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,60
 118575 OGRA,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,58
 118575 OGRA,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,48
 118575 OGRA,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,66
 118575 OGRA,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,68
 118575 OGRA,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,77
 118575 OGRA,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,82
 118575 OGRA,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,102
 118575 OGRA,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,99
 118575 OGRA,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,112
 118575 OGRA,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,113
 118575 OGRA,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,113
 118575 OGRA,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,85
 118575 OGRA,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,76
 118575 OGRA,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,77
 118575 OGRA,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,76
 118575 OGRA,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,79
 118575 OGRA,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,73
 118575 OGRA,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,77
 118575 OGRA,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,68
 118575 OGRA,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,65
