 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 118931 RASTOLITA,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,76
 118931 RASTOLITA,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,74
 118931 RASTOLITA,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,67
 118931 RASTOLITA,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,60
 118931 RASTOLITA,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,59
 118931 RASTOLITA,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,57
 118931 RASTOLITA,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,58
 118931 RASTOLITA,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,54
 118931 RASTOLITA,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,65
 118931 RASTOLITA,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,73
 118931 RASTOLITA,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,75
 118931 RASTOLITA,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,79
 118931 RASTOLITA,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,75
 118931 RASTOLITA,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,63
 118931 RASTOLITA,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,78
 118931 RASTOLITA,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,79
 118931 RASTOLITA,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,73
 118931 RASTOLITA,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,74
 118931 RASTOLITA,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,73
 118931 RASTOLITA,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,77
 118931 RASTOLITA,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,72
 118931 RASTOLITA,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,74
 118931 RASTOLITA,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,65
 118931 RASTOLITA,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,64
 118931 RASTOLITA,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,57
 118931 RASTOLITA,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,58
 118931 RASTOLITA,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,55
 118931 RASTOLITA,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,66
 118931 RASTOLITA,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,62
 118931 RASTOLITA,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,64
 118931 RASTOLITA,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,70
 118931 RASTOLITA,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,68
 118931 RASTOLITA,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,72
 118931 RASTOLITA,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,76
 118931 RASTOLITA,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,76
 118931 RASTOLITA,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,69
 118931 RASTOLITA,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,74
 118931 RASTOLITA,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,73
 118931 RASTOLITA,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,74
 118931 RASTOLITA,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,73
 118931 RASTOLITA,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,78
