 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 119206 SASCHIZ,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,108
 119206 SASCHIZ,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,107
 119206 SASCHIZ,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,94
 119206 SASCHIZ,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,96
 119206 SASCHIZ,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,91
 119206 SASCHIZ,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,92
 119206 SASCHIZ,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,88
 119206 SASCHIZ,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,75
 119206 SASCHIZ,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,72
 119206 SASCHIZ,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,74
 119206 SASCHIZ,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,69
 119206 SASCHIZ,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,66
 119206 SASCHIZ,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,77
 119206 SASCHIZ,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,68
 119206 SASCHIZ,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,75
 119206 SASCHIZ,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,83
 119206 SASCHIZ,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,103
 119206 SASCHIZ,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,104
 119206 SASCHIZ,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,107
 119206 SASCHIZ,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,113
 119206 SASCHIZ,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,110
 119206 SASCHIZ,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,89
 119206 SASCHIZ,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,95
 119206 SASCHIZ,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,92
 119206 SASCHIZ,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,91
 119206 SASCHIZ,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,91
 119206 SASCHIZ,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,80
 119206 SASCHIZ,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,79
 119206 SASCHIZ,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,92
 119206 SASCHIZ,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,89
 119206 SASCHIZ,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,86
 119206 SASCHIZ,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,89
 119206 SASCHIZ,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,84
 119206 SASCHIZ,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,76
 119206 SASCHIZ,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,91
 119206 SASCHIZ,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,112
 119206 SASCHIZ,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,107
 119206 SASCHIZ,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,107
 119206 SASCHIZ,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,105
 119206 SASCHIZ,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,108
 119206 SASCHIZ,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,87
 119206 SASCHIZ,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,94
 119206 SASCHIZ,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,85
 119206 SASCHIZ,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,70
 119206 SASCHIZ,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,74
 119206 SASCHIZ,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,69
 119206 SASCHIZ,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,79
 119206 SASCHIZ,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,94
 119206 SASCHIZ,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,96
 119206 SASCHIZ,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,95
 119206 SASCHIZ,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,95
 119206 SASCHIZ,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,89
 119206 SASCHIZ,15-19 ani, Masculin, Mures, Anul 2002, Numar persoane,76
 119206 SASCHIZ,15-19 ani, Masculin, Mures, Anul 2003, Numar persoane,86
 119206 SASCHIZ,15-19 ani, Masculin, Mures, Anul 2004, Numar persoane,113
 119206 SASCHIZ,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,111
 119206 SASCHIZ,20-24 ani, Masculin, Mures, Anul 1992, Numar persoane,121
 119206 SASCHIZ,20-24 ani, Masculin, Mures, Anul 1993, Numar persoane,119
 119206 SASCHIZ,20-24 ani, Masculin, Mures, Anul 1994, Numar persoane,100
 119206 SASCHIZ,20-24 ani, Masculin, Mures, Anul 1995, Numar persoane,95
 119206 SASCHIZ,20-24 ani, Masculin, Mures, Anul 1996, Numar persoane,89
 119206 SASCHIZ,20-24 ani, Masculin, Mures, Anul 1997, Numar persoane,87
 119206 SASCHIZ,20-24 ani, Masculin, Mures, Anul 1998, Numar persoane,77
 119206 SASCHIZ,20-24 ani, Masculin, Mures, Anul 1999, Numar persoane,80
 119206 SASCHIZ,20-24 ani, Masculin, Mures, Anul 2000, Numar persoane,79
 119206 SASCHIZ,20-24 ani, Masculin, Mures, Anul 2001, Numar persoane,85
 119206 SASCHIZ,20-24 ani, Masculin, Mures, Anul 2002, Numar persoane,99
 119206 SASCHIZ,20-24 ani, Masculin, Mures, Anul 2003, Numar persoane,97
 119206 SASCHIZ,20-24 ani, Masculin, Mures, Anul 2004, Numar persoane,95
 119206 SASCHIZ,20-24 ani, Masculin, Mures, Anul 2005, Numar persoane,90
 119206 SASCHIZ,25-29 ani, Masculin, Mures, Anul 1992, Numar persoane,67
 119206 SASCHIZ,25-29 ani, Masculin, Mures, Anul 1993, Numar persoane,83
 119206 SASCHIZ,25-29 ani, Masculin, Mures, Anul 1994, Numar persoane,87
 119206 SASCHIZ,25-29 ani, Masculin, Mures, Anul 1995, Numar persoane,95
 119206 SASCHIZ,25-29 ani, Masculin, Mures, Anul 1996, Numar persoane,107
 119206 SASCHIZ,25-29 ani, Masculin, Mures, Anul 1997, Numar persoane,118
 119206 SASCHIZ,25-29 ani, Masculin, Mures, Anul 1998, Numar persoane,118
 119206 SASCHIZ,25-29 ani, Masculin, Mures, Anul 1999, Numar persoane,104
 119206 SASCHIZ,25-29 ani, Masculin, Mures, Anul 2000, Numar persoane,97
 119206 SASCHIZ,25-29 ani, Masculin, Mures, Anul 2001, Numar persoane,94
 119206 SASCHIZ,25-29 ani, Masculin, Mures, Anul 2002, Numar persoane,87
 119206 SASCHIZ,25-29 ani, Masculin, Mures, Anul 2003, Numar persoane,75
 119206 SASCHIZ,25-29 ani, Masculin, Mures, Anul 2004, Numar persoane,75
 119206 SASCHIZ,25-29 ani, Masculin, Mures, Anul 2005, Numar persoane,84
 119206 SASCHIZ,30-34 ani, Masculin, Mures, Anul 1992, Numar persoane,62
 119206 SASCHIZ,30-34 ani, Masculin, Mures, Anul 1993, Numar persoane,49
 119206 SASCHIZ,30-34 ani, Masculin, Mures, Anul 1994, Numar persoane,63
 119206 SASCHIZ,30-34 ani, Masculin, Mures, Anul 1995, Numar persoane,59
 119206 SASCHIZ,30-34 ani, Masculin, Mures, Anul 1996, Numar persoane,58
 119206 SASCHIZ,30-34 ani, Masculin, Mures, Anul 1997, Numar persoane,64
 119206 SASCHIZ,30-34 ani, Masculin, Mures, Anul 1998, Numar persoane,81
 119206 SASCHIZ,30-34 ani, Masculin, Mures, Anul 1999, Numar persoane,86
 119206 SASCHIZ,30-34 ani, Masculin, Mures, Anul 2000, Numar persoane,93
 119206 SASCHIZ,30-34 ani, Masculin, Mures, Anul 2001, Numar persoane,101
 119206 SASCHIZ,30-34 ani, Masculin, Mures, Anul 2002, Numar persoane,114
 119206 SASCHIZ,30-34 ani, Masculin, Mures, Anul 2003, Numar persoane,115
 119206 SASCHIZ,30-34 ani, Masculin, Mures, Anul 2004, Numar persoane,103
 119206 SASCHIZ,30-34 ani, Masculin, Mures, Anul 2005, Numar persoane,94
 119206 SASCHIZ,35-39 ani, Masculin, Mures, Anul 1992, Numar persoane,62
 119206 SASCHIZ,35-39 ani, Masculin, Mures, Anul 1993, Numar persoane,63
 119206 SASCHIZ,35-39 ani, Masculin, Mures, Anul 1994, Numar persoane,60
 119206 SASCHIZ,35-39 ani, Masculin, Mures, Anul 1995, Numar persoane,58
 119206 SASCHIZ,35-39 ani, Masculin, Mures, Anul 1996, Numar persoane,63
 119206 SASCHIZ,35-39 ani, Masculin, Mures, Anul 1997, Numar persoane,61
 119206 SASCHIZ,35-39 ani, Masculin, Mures, Anul 1998, Numar persoane,51
 119206 SASCHIZ,35-39 ani, Masculin, Mures, Anul 1999, Numar persoane,60
 119206 SASCHIZ,35-39 ani, Masculin, Mures, Anul 2000, Numar persoane,60
 119206 SASCHIZ,35-39 ani, Masculin, Mures, Anul 2001, Numar persoane,58
 119206 SASCHIZ,35-39 ani, Masculin, Mures, Anul 2002, Numar persoane,64
 119206 SASCHIZ,35-39 ani, Masculin, Mures, Anul 2003, Numar persoane,84
 119206 SASCHIZ,35-39 ani, Masculin, Mures, Anul 2004, Numar persoane,93
 119206 SASCHIZ,35-39 ani, Masculin, Mures, Anul 2005, Numar persoane,103
 119206 SASCHIZ,40-44 ani, Masculin, Mures, Anul 1992, Numar persoane,73
 119206 SASCHIZ,40-44 ani, Masculin, Mures, Anul 1993, Numar persoane,77
 119206 SASCHIZ,40-44 ani, Masculin, Mures, Anul 1994, Numar persoane,76
 119206 SASCHIZ,40-44 ani, Masculin, Mures, Anul 1995, Numar persoane,71
 119206 SASCHIZ,40-44 ani, Masculin, Mures, Anul 1996, Numar persoane,62
 119206 SASCHIZ,40-44 ani, Masculin, Mures, Anul 1997, Numar persoane,58
 119206 SASCHIZ,40-44 ani, Masculin, Mures, Anul 1998, Numar persoane,62
 119206 SASCHIZ,40-44 ani, Masculin, Mures, Anul 1999, Numar persoane,66
 119206 SASCHIZ,40-44 ani, Masculin, Mures, Anul 2000, Numar persoane,65
 119206 SASCHIZ,40-44 ani, Masculin, Mures, Anul 2001, Numar persoane,65
 119206 SASCHIZ,40-44 ani, Masculin, Mures, Anul 2002, Numar persoane,65
 119206 SASCHIZ,40-44 ani, Masculin, Mures, Anul 2003, Numar persoane,51
 119206 SASCHIZ,40-44 ani, Masculin, Mures, Anul 2004, Numar persoane,60
 119206 SASCHIZ,40-44 ani, Masculin, Mures, Anul 2005, Numar persoane,62
 119206 SASCHIZ,45-49 ani, Masculin, Mures, Anul 1992, Numar persoane,47
 119206 SASCHIZ,45-49 ani, Masculin, Mures, Anul 1993, Numar persoane,46
 119206 SASCHIZ,45-49 ani, Masculin, Mures, Anul 1994, Numar persoane,45
 119206 SASCHIZ,45-49 ani, Masculin, Mures, Anul 1995, Numar persoane,54
 119206 SASCHIZ,45-49 ani, Masculin, Mures, Anul 1996, Numar persoane,63
 119206 SASCHIZ,45-49 ani, Masculin, Mures, Anul 1997, Numar persoane,73
 119206 SASCHIZ,45-49 ani, Masculin, Mures, Anul 1998, Numar persoane,78
 119206 SASCHIZ,45-49 ani, Masculin, Mures, Anul 1999, Numar persoane,78
 119206 SASCHIZ,45-49 ani, Masculin, Mures, Anul 2000, Numar persoane,74
 119206 SASCHIZ,45-49 ani, Masculin, Mures, Anul 2001, Numar persoane,64
 119206 SASCHIZ,45-49 ani, Masculin, Mures, Anul 2002, Numar persoane,57
 119206 SASCHIZ,45-49 ani, Masculin, Mures, Anul 2003, Numar persoane,64
 119206 SASCHIZ,45-49 ani, Masculin, Mures, Anul 2004, Numar persoane,65
 119206 SASCHIZ,45-49 ani, Masculin, Mures, Anul 2005, Numar persoane,66
 119206 SASCHIZ,50-54 ani, Masculin, Mures, Anul 1992, Numar persoane,44
 119206 SASCHIZ,50-54 ani, Masculin, Mures, Anul 1993, Numar persoane,41
 119206 SASCHIZ,50-54 ani, Masculin, Mures, Anul 1994, Numar persoane,45
 119206 SASCHIZ,50-54 ani, Masculin, Mures, Anul 1995, Numar persoane,42
 119206 SASCHIZ,50-54 ani, Masculin, Mures, Anul 1996, Numar persoane,38
 119206 SASCHIZ,50-54 ani, Masculin, Mures, Anul 1997, Numar persoane,37
 119206 SASCHIZ,50-54 ani, Masculin, Mures, Anul 1998, Numar persoane,42
 119206 SASCHIZ,50-54 ani, Masculin, Mures, Anul 1999, Numar persoane,43
 119206 SASCHIZ,50-54 ani, Masculin, Mures, Anul 2000, Numar persoane,52
 119206 SASCHIZ,50-54 ani, Masculin, Mures, Anul 2001, Numar persoane,63
 119206 SASCHIZ,50-54 ani, Masculin, Mures, Anul 2002, Numar persoane,73
 119206 SASCHIZ,50-54 ani, Masculin, Mures, Anul 2003, Numar persoane,74
 119206 SASCHIZ,50-54 ani, Masculin, Mures, Anul 2004, Numar persoane,72
 119206 SASCHIZ,50-54 ani, Masculin, Mures, Anul 2005, Numar persoane,72
 119206 SASCHIZ,55-59 ani, Masculin, Mures, Anul 1992, Numar persoane,54
 119206 SASCHIZ,55-59 ani, Masculin, Mures, Anul 1993, Numar persoane,39
 119206 SASCHIZ,55-59 ani, Masculin, Mures, Anul 1994, Numar persoane,37
 119206 SASCHIZ,55-59 ani, Masculin, Mures, Anul 1995, Numar persoane,39
 119206 SASCHIZ,55-59 ani, Masculin, Mures, Anul 1996, Numar persoane,46
 119206 SASCHIZ,55-59 ani, Masculin, Mures, Anul 1997, Numar persoane,40
 119206 SASCHIZ,55-59 ani, Masculin, Mures, Anul 1998, Numar persoane,35
 119206 SASCHIZ,55-59 ani, Masculin, Mures, Anul 1999, Numar persoane,40
 119206 SASCHIZ,55-59 ani, Masculin, Mures, Anul 2000, Numar persoane,40
 119206 SASCHIZ,55-59 ani, Masculin, Mures, Anul 2001, Numar persoane,35
 119206 SASCHIZ,55-59 ani, Masculin, Mures, Anul 2002, Numar persoane,35
 119206 SASCHIZ,55-59 ani, Masculin, Mures, Anul 2003, Numar persoane,39
 119206 SASCHIZ,55-59 ani, Masculin, Mures, Anul 2004, Numar persoane,39
 119206 SASCHIZ,55-59 ani, Masculin, Mures, Anul 2005, Numar persoane,46
