 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 119386 SANGER,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,71
 119386 SANGER,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,74
 119386 SANGER,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,71
 119386 SANGER,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,74
 119386 SANGER,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,80
 119386 SANGER,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,87
 119386 SANGER,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,93
 119386 SANGER,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,95
 119386 SANGER,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,103
 119386 SANGER,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,98
 119386 SANGER,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,93
 119386 SANGER,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,82
 119386 SANGER,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,81
 119386 SANGER,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,80
 119386 SANGER,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,76
 119386 SANGER,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,68
 119386 SANGER,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,69
 119386 SANGER,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,72
 119386 SANGER,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,71
 119386 SANGER,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,66
 119386 SANGER,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,73
 119386 SANGER,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,69
 119386 SANGER,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,75
 119386 SANGER,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,80
 119386 SANGER,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,91
 119386 SANGER,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,101
 119386 SANGER,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,95
 119386 SANGER,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,102
 119386 SANGER,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,101
 119386 SANGER,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,103
 119386 SANGER,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,101
 119386 SANGER,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,88
 119386 SANGER,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,85
 119386 SANGER,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,82
 119386 SANGER,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,78
 119386 SANGER,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,84
 119386 SANGER,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,78
 119386 SANGER,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,80
 119386 SANGER,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,76
 119386 SANGER,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,81
 119386 SANGER,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,78
 119386 SANGER,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,84
 119386 SANGER,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,121
 119386 SANGER,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,110
 119386 SANGER,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,105
 119386 SANGER,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,95
 119386 SANGER,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,93
 119386 SANGER,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,95
 119386 SANGER,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,104
 119386 SANGER,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,100
 119386 SANGER,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,94
 119386 SANGER,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,95
 119386 SANGER,15-19 ani, Masculin, Mures, Anul 2002, Numar persoane,90
 119386 SANGER,15-19 ani, Masculin, Mures, Anul 2003, Numar persoane,80
 119386 SANGER,15-19 ani, Masculin, Mures, Anul 2004, Numar persoane,86
 119386 SANGER,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,84
 119386 SANGER,20-24 ani, Masculin, Mures, Anul 1992, Numar persoane,156
 119386 SANGER,20-24 ani, Masculin, Mures, Anul 1993, Numar persoane,142
 119386 SANGER,20-24 ani, Masculin, Mures, Anul 1994, Numar persoane,128
 119386 SANGER,20-24 ani, Masculin, Mures, Anul 1995, Numar persoane,130
 119386 SANGER,20-24 ani, Masculin, Mures, Anul 1996, Numar persoane,125
 119386 SANGER,20-24 ani, Masculin, Mures, Anul 1997, Numar persoane,117
