 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 119527 SINPETRU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,123
 119527 SINPETRU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,114
 119527 SINPETRU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,101
 119527 SINPETRU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,100
 119527 SINPETRU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,76
 119527 SINPETRU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,77
 119527 SINPETRU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,79
 119527 SINPETRU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,90
 119527 SINPETRU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,88
 119527 SINPETRU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,104
 119527 SINPETRU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,109
 119527 SINPETRU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,119
 119527 SINPETRU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,101
 119527 SINPETRU DE CIMPIE,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,103
 119527 SINPETRU DE CIMPIE,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,93
 119527 SINPETRU DE CIMPIE,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,91
 119527 SINPETRU DE CIMPIE,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,104
 119527 SINPETRU DE CIMPIE,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,93
 119527 SINPETRU DE CIMPIE,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,102
 119527 SINPETRU DE CIMPIE,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,93
 119527 SINPETRU DE CIMPIE,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,93
 119527 SINPETRU DE CIMPIE,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,86
 119527 SINPETRU DE CIMPIE,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,86
 119527 SINPETRU DE CIMPIE,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,81
 119527 SINPETRU DE CIMPIE,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,84
 119527 SINPETRU DE CIMPIE,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,90
 119527 SINPETRU DE CIMPIE,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,90
 119527 SINPETRU DE CIMPIE,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,85
 119527 SINPETRU DE CIMPIE,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,130
 119527 SINPETRU DE CIMPIE,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,117
 119527 SINPETRU DE CIMPIE,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,99
 119527 SINPETRU DE CIMPIE,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,87
 119527 SINPETRU DE CIMPIE,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,82
 119527 SINPETRU DE CIMPIE,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,82
 119527 SINPETRU DE CIMPIE,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,83
 119527 SINPETRU DE CIMPIE,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,97
 119527 SINPETRU DE CIMPIE,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,94
 119527 SINPETRU DE CIMPIE,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,99
 119527 SINPETRU DE CIMPIE,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,95
 119527 SINPETRU DE CIMPIE,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,93
 119527 SINPETRU DE CIMPIE,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,86
 119527 SINPETRU DE CIMPIE,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,81
 119527 SINPETRU DE CIMPIE,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,230
 119527 SINPETRU DE CIMPIE,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,203
 119527 SINPETRU DE CIMPIE,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,191
 119527 SINPETRU DE CIMPIE,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,177
 119527 SINPETRU DE CIMPIE,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,145
 119527 SINPETRU DE CIMPIE,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,125
 119527 SINPETRU DE CIMPIE,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,115
 119527 SINPETRU DE CIMPIE,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,98
 119527 SINPETRU DE CIMPIE,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,92
 119527 SINPETRU DE CIMPIE,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,84
