 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 119590 SOLOVASTRU,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,89
 119590 SOLOVASTRU,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,94
 119590 SOLOVASTRU,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,91
 119590 SOLOVASTRU,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,92
 119590 SOLOVASTRU,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,92
 119590 SOLOVASTRU,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,94
 119590 SOLOVASTRU,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,89
 119590 SOLOVASTRU,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,84
 119590 SOLOVASTRU,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,84
 119590 SOLOVASTRU,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,75
 119590 SOLOVASTRU,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,74
 119590 SOLOVASTRU,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,76
 119590 SOLOVASTRU,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,72
 119590 SOLOVASTRU,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,68
 119590 SOLOVASTRU,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,74
 119590 SOLOVASTRU,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,81
 119590 SOLOVASTRU,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,89
 119590 SOLOVASTRU,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,88
 119590 SOLOVASTRU,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,95
 119590 SOLOVASTRU,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,90
 119590 SOLOVASTRU,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,97
 119590 SOLOVASTRU,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,97
 119590 SOLOVASTRU,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,97
 119590 SOLOVASTRU,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,95
 119590 SOLOVASTRU,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,93
 119590 SOLOVASTRU,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,90
 119590 SOLOVASTRU,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,83
 119590 SOLOVASTRU,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,84
 119590 SOLOVASTRU,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,95
 119590 SOLOVASTRU,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,96
 119590 SOLOVASTRU,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,80
 119590 SOLOVASTRU,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,79
 119590 SOLOVASTRU,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,76
 119590 SOLOVASTRU,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,82
