 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 119661 SUPLAC,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,83
 119661 SUPLAC,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,63
 119661 SUPLAC,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,48
 119661 SUPLAC,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,57
 119661 SUPLAC,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,53
 119661 SUPLAC,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,58
 119661 SUPLAC,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,65
 119661 SUPLAC,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,69
 119661 SUPLAC,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,57
 119661 SUPLAC,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,65
 119661 SUPLAC,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,63
 119661 SUPLAC,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,59
 119661 SUPLAC,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,55
 119661 SUPLAC,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,59
 119661 SUPLAC,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,78
 119661 SUPLAC,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,83
 119661 SUPLAC,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,95
 119661 SUPLAC,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,86
 119661 SUPLAC,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,84
 119661 SUPLAC,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,75
 119661 SUPLAC,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,68
 119661 SUPLAC,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,55
 119661 SUPLAC,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,65
 119661 SUPLAC,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,66
 119661 SUPLAC,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,69
 119661 SUPLAC,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,73
 119661 SUPLAC,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,72
 119661 SUPLAC,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,66
 119661 SUPLAC,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,83
 119661 SUPLAC,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,77
 119661 SUPLAC,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,68
 119661 SUPLAC,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,65
 119661 SUPLAC,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,65
 119661 SUPLAC,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,87
 119661 SUPLAC,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,91
