 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 119723 SUSENI,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,65
 119723 SUSENI,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,56
 119723 SUSENI,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,47
 119723 SUSENI,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,54
 119723 SUSENI,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,55
 119723 SUSENI,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,56
 119723 SUSENI,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,51
 119723 SUSENI,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,51
 119723 SUSENI,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,43
 119723 SUSENI,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,46
 119723 SUSENI,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,49
 119723 SUSENI,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,51
 119723 SUSENI,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,58
 119723 SUSENI,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,55
 119723 SUSENI,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,70
 119723 SUSENI,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,83
 119723 SUSENI,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,81
 119723 SUSENI,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,84
 119723 SUSENI,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,77
 119723 SUSENI,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,70
 119723 SUSENI,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,62
 119723 SUSENI,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,57
 119723 SUSENI,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,61
 119723 SUSENI,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,64
 119723 SUSENI,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,59
 119723 SUSENI,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,56
 119723 SUSENI,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,53
 119723 SUSENI,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,47
 119723 SUSENI,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,81
