 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 119803 SINCAI,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,82
 119803 SINCAI,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,67
 119803 SINCAI,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,65
 119803 SINCAI,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,49
 119803 SINCAI,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,43
 119803 SINCAI,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,43
 119803 SINCAI,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,50
 119803 SINCAI,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,51
 119803 SINCAI,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,56
 119803 SINCAI,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,52
 119803 SINCAI,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,61
 119803 SINCAI,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,57
 119803 SINCAI,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,62
 119803 SINCAI,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,63
 119803 SINCAI,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,41
 119803 SINCAI,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,53
 119803 SINCAI,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,58
 119803 SINCAI,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,69
 119803 SINCAI,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,69
 119803 SINCAI,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,69
 119803 SINCAI,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,63
 119803 SINCAI,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,61
 119803 SINCAI,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,50
 119803 SINCAI,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,47
 119803 SINCAI,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,47
 119803 SINCAI,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,54
 119803 SINCAI,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,51
 119803 SINCAI,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,58
 119803 SINCAI,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,84
 119803 SINCAI,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,75
 119803 SINCAI,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,63
 119803 SINCAI,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,50
 119803 SINCAI,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,50
 119803 SINCAI,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,47
 119803 SINCAI,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,54
 119803 SINCAI,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,55
 119803 SINCAI,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,65
 119803 SINCAI,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,69
 119803 SINCAI,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,70
 119803 SINCAI,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,68
 119803 SINCAI,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,61
 119803 SINCAI,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,49
 119803 SINCAI,15-19 ani, Masculin, Mures, Anul 1992, Numar persoane,80
 119803 SINCAI,15-19 ani, Masculin, Mures, Anul 1993, Numar persoane,84
 119803 SINCAI,15-19 ani, Masculin, Mures, Anul 1994, Numar persoane,81
 119803 SINCAI,15-19 ani, Masculin, Mures, Anul 1995, Numar persoane,82
 119803 SINCAI,15-19 ani, Masculin, Mures, Anul 1996, Numar persoane,83
 119803 SINCAI,15-19 ani, Masculin, Mures, Anul 1997, Numar persoane,85
 119803 SINCAI,15-19 ani, Masculin, Mures, Anul 1998, Numar persoane,76
 119803 SINCAI,15-19 ani, Masculin, Mures, Anul 1999, Numar persoane,65
 119803 SINCAI,15-19 ani, Masculin, Mures, Anul 2000, Numar persoane,54
 119803 SINCAI,15-19 ani, Masculin, Mures, Anul 2001, Numar persoane,54
 119803 SINCAI,15-19 ani, Masculin, Mures, Anul 2002, Numar persoane,50
 119803 SINCAI,15-19 ani, Masculin, Mures, Anul 2003, Numar persoane,54
 119803 SINCAI,15-19 ani, Masculin, Mures, Anul 2004, Numar persoane,56
 119803 SINCAI,15-19 ani, Masculin, Mures, Anul 2005, Numar persoane,62
 119803 SINCAI,20-24 ani, Masculin, Mures, Anul 1992, Numar persoane,96
 119803 SINCAI,20-24 ani, Masculin, Mures, Anul 1993, Numar persoane,94
 119803 SINCAI,20-24 ani, Masculin, Mures, Anul 1994, Numar persoane,92
 119803 SINCAI,20-24 ani, Masculin, Mures, Anul 1995, Numar persoane,92
 119803 SINCAI,20-24 ani, Masculin, Mures, Anul 1996, Numar persoane,81
 119803 SINCAI,20-24 ani, Masculin, Mures, Anul 1997, Numar persoane,77
 119803 SINCAI,20-24 ani, Masculin, Mures, Anul 1998, Numar persoane,87
 119803 SINCAI,20-24 ani, Masculin, Mures, Anul 1999, Numar persoane,85
 119803 SINCAI,20-24 ani, Masculin, Mures, Anul 2000, Numar persoane,81
 119803 SINCAI,20-24 ani, Masculin, Mures, Anul 2001, Numar persoane,81
