 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 119858 TAURENI,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,52
 119858 TAURENI,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,51
 119858 TAURENI,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,44
 119858 TAURENI,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,45
 119858 TAURENI,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,40
 119858 TAURENI,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,39
 119858 TAURENI,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,35
 119858 TAURENI,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,36
 119858 TAURENI,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,35
 119858 TAURENI,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,50
 119858 TAURENI,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,55
 119858 TAURENI,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,53
 119858 TAURENI,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,61
 119858 TAURENI,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,59
 119858 TAURENI,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,38
 119858 TAURENI,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,40
 119858 TAURENI,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,43
 119858 TAURENI,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,41
 119858 TAURENI,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,41
 119858 TAURENI,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,43
 119858 TAURENI,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,42
 119858 TAURENI,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,34
 119858 TAURENI,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,37
 119858 TAURENI,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,33
 119858 TAURENI,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,38
 119858 TAURENI,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,33
 119858 TAURENI,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,36
 119858 TAURENI,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,39
