 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 120254 VINATORI,0- 4 ani, Masculin, Mures, Anul 1992, Numar persoane,182
 120254 VINATORI,0- 4 ani, Masculin, Mures, Anul 1993, Numar persoane,173
 120254 VINATORI,0- 4 ani, Masculin, Mures, Anul 1994, Numar persoane,169
 120254 VINATORI,0- 4 ani, Masculin, Mures, Anul 1995, Numar persoane,160
 120254 VINATORI,0- 4 ani, Masculin, Mures, Anul 1996, Numar persoane,146
 120254 VINATORI,0- 4 ani, Masculin, Mures, Anul 1997, Numar persoane,154
 120254 VINATORI,0- 4 ani, Masculin, Mures, Anul 1998, Numar persoane,149
 120254 VINATORI,0- 4 ani, Masculin, Mures, Anul 1999, Numar persoane,146
 120254 VINATORI,0- 4 ani, Masculin, Mures, Anul 2000, Numar persoane,136
 120254 VINATORI,0- 4 ani, Masculin, Mures, Anul 2001, Numar persoane,141
 120254 VINATORI,0- 4 ani, Masculin, Mures, Anul 2002, Numar persoane,132
 120254 VINATORI,0- 4 ani, Masculin, Mures, Anul 2003, Numar persoane,132
 120254 VINATORI,0- 4 ani, Masculin, Mures, Anul 2004, Numar persoane,144
 120254 VINATORI,0- 4 ani, Masculin, Mures, Anul 2005, Numar persoane,153
 120254 VINATORI,5- 9 ani, Masculin, Mures, Anul 1992, Numar persoane,165
 120254 VINATORI,5- 9 ani, Masculin, Mures, Anul 1993, Numar persoane,181
 120254 VINATORI,5- 9 ani, Masculin, Mures, Anul 1994, Numar persoane,191
 120254 VINATORI,5- 9 ani, Masculin, Mures, Anul 1995, Numar persoane,189
 120254 VINATORI,5- 9 ani, Masculin, Mures, Anul 1996, Numar persoane,180
 120254 VINATORI,5- 9 ani, Masculin, Mures, Anul 1997, Numar persoane,177
 120254 VINATORI,5- 9 ani, Masculin, Mures, Anul 1998, Numar persoane,167
 120254 VINATORI,5- 9 ani, Masculin, Mures, Anul 1999, Numar persoane,158
 120254 VINATORI,5- 9 ani, Masculin, Mures, Anul 2000, Numar persoane,155
 120254 VINATORI,5- 9 ani, Masculin, Mures, Anul 2001, Numar persoane,147
 120254 VINATORI,5- 9 ani, Masculin, Mures, Anul 2002, Numar persoane,152
 120254 VINATORI,5- 9 ani, Masculin, Mures, Anul 2003, Numar persoane,149
 120254 VINATORI,5- 9 ani, Masculin, Mures, Anul 2004, Numar persoane,138
 120254 VINATORI,5- 9 ani, Masculin, Mures, Anul 2005, Numar persoane,126
 120254 VINATORI,10-14 ani, Masculin, Mures, Anul 1992, Numar persoane,168
 120254 VINATORI,10-14 ani, Masculin, Mures, Anul 1993, Numar persoane,159
 120254 VINATORI,10-14 ani, Masculin, Mures, Anul 1994, Numar persoane,156
 120254 VINATORI,10-14 ani, Masculin, Mures, Anul 1995, Numar persoane,166
 120254 VINATORI,10-14 ani, Masculin, Mures, Anul 1996, Numar persoane,162
 120254 VINATORI,10-14 ani, Masculin, Mures, Anul 1997, Numar persoane,159
 120254 VINATORI,10-14 ani, Masculin, Mures, Anul 1998, Numar persoane,168
 120254 VINATORI,10-14 ani, Masculin, Mures, Anul 1999, Numar persoane,181
 120254 VINATORI,10-14 ani, Masculin, Mures, Anul 2000, Numar persoane,180
 120254 VINATORI,10-14 ani, Masculin, Mures, Anul 2001, Numar persoane,174
 120254 VINATORI,10-14 ani, Masculin, Mures, Anul 2002, Numar persoane,171
 120254 VINATORI,10-14 ani, Masculin, Mures, Anul 2003, Numar persoane,162
 120254 VINATORI,10-14 ani, Masculin, Mures, Anul 2004, Numar persoane,156
 120254 VINATORI,10-14 ani, Masculin, Mures, Anul 2005, Numar persoane,149
