 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 136526 MUNICIPIUL CAREI,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,1045
 136526 MUNICIPIUL CAREI,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,960
 136526 MUNICIPIUL CAREI,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,863
 136526 MUNICIPIUL CAREI,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,756
 136526 MUNICIPIUL CAREI,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,681
 136526 MUNICIPIUL CAREI,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,612
 136526 MUNICIPIUL CAREI,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,579
 136526 MUNICIPIUL CAREI,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,552
 136526 MUNICIPIUL CAREI,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,552
 136526 MUNICIPIUL CAREI,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,536
 136526 MUNICIPIUL CAREI,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,526
 136526 MUNICIPIUL CAREI,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,514
 136526 MUNICIPIUL CAREI,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,1018
 136526 MUNICIPIUL CAREI,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,927
 136526 MUNICIPIUL CAREI,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,786
 136526 MUNICIPIUL CAREI,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,685
 136526 MUNICIPIUL CAREI,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,638
 136526 MUNICIPIUL CAREI,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,597
 136526 MUNICIPIUL CAREI,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,574
 136526 MUNICIPIUL CAREI,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,572
 136526 MUNICIPIUL CAREI,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,566
 136526 MUNICIPIUL CAREI,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,565
 136526 MUNICIPIUL CAREI,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,549
 136526 MUNICIPIUL CAREI,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,519
 136526 MUNICIPIUL CAREI,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,1196
 136526 MUNICIPIUL CAREI,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,1183
 136526 MUNICIPIUL CAREI,5- 9 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,1175
 136526 MUNICIPIUL CAREI,5- 9 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,1131
 136526 MUNICIPIUL CAREI,5- 9 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,1076
 136526 MUNICIPIUL CAREI,5- 9 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,989
 136526 MUNICIPIUL CAREI,5- 9 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,916
 136526 MUNICIPIUL CAREI,5- 9 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,825
 136526 MUNICIPIUL CAREI,5- 9 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,729
 136526 MUNICIPIUL CAREI,5- 9 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,664
 136526 MUNICIPIUL CAREI,5- 9 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,593
 136526 MUNICIPIUL CAREI,5- 9 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,566
 136526 MUNICIPIUL CAREI,5- 9 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,1098
 136526 MUNICIPIUL CAREI,5- 9 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,1092
 136526 MUNICIPIUL CAREI,5- 9 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,1138
 136526 MUNICIPIUL CAREI,5- 9 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,1123
 136526 MUNICIPIUL CAREI,5- 9 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,1074
 136526 MUNICIPIUL CAREI,5- 9 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,973
 136526 MUNICIPIUL CAREI,5- 9 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,896
 136526 MUNICIPIUL CAREI,5- 9 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,758
 136526 MUNICIPIUL CAREI,5- 9 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,677
