 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 136713 ACIS,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,162
 136713 ACIS,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,153
 136713 ACIS,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,142
 136713 ACIS,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,124
 136713 ACIS,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,115
 136713 ACIS,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,120
 136713 ACIS,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,117
 136713 ACIS,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,114
 136713 ACIS,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,127
 136713 ACIS,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,129
 136713 ACIS,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,129
 136713 ACIS,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,132
 136713 ACIS,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,141
 136713 ACIS,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,136
 136713 ACIS,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,124
 136713 ACIS,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,117
 136713 ACIS,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,124
 136713 ACIS,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,123
 136713 ACIS,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,117
 136713 ACIS,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,111
 136713 ACIS,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,105
 136713 ACIS,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,107
 136713 ACIS,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,103
 136713 ACIS,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,92
 136713 ACIS,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,135
 136713 ACIS,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,144
 136713 ACIS,5- 9 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,157
 136713 ACIS,5- 9 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,154
 136713 ACIS,5- 9 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,154
 136713 ACIS,5- 9 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,149
 136713 ACIS,5- 9 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,143
 136713 ACIS,5- 9 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,135
 136713 ACIS,5- 9 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,125
 136713 ACIS,5- 9 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,114
 136713 ACIS,5- 9 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,113
 136713 ACIS,5- 9 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,109
 136713 ACIS,5- 9 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,121
 136713 ACIS,5- 9 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,128
 136713 ACIS,5- 9 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,137
 136713 ACIS,5- 9 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,131
 136713 ACIS,5- 9 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,122
 136713 ACIS,5- 9 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,132
 136713 ACIS,5- 9 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,132
 136713 ACIS,5- 9 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,121
 136713 ACIS,5- 9 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,123
 136713 ACIS,5- 9 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,123
 136713 ACIS,5- 9 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,123
 136713 ACIS,5- 9 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,118
 136713 ACIS,10-14 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,142
 136713 ACIS,10-14 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,132
 136713 ACIS,10-14 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,118
 136713 ACIS,10-14 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,113
