 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 137229 CALINESTI-OAS,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,284
 137229 CALINESTI-OAS,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,279
 137229 CALINESTI-OAS,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,261
 137229 CALINESTI-OAS,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,239
 137229 CALINESTI-OAS,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,227
 137229 CALINESTI-OAS,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,210
 137229 CALINESTI-OAS,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,183
 137229 CALINESTI-OAS,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,190
 137229 CALINESTI-OAS,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,186
 137229 CALINESTI-OAS,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,184
 137229 CALINESTI-OAS,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,169
 137229 CALINESTI-OAS,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,177
 137229 CALINESTI-OAS,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,274
 137229 CALINESTI-OAS,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,264
 137229 CALINESTI-OAS,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,256
 137229 CALINESTI-OAS,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,228
 137229 CALINESTI-OAS,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,206
 137229 CALINESTI-OAS,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,202
 137229 CALINESTI-OAS,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,194
 137229 CALINESTI-OAS,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,194
 137229 CALINESTI-OAS,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,182
 137229 CALINESTI-OAS,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,174
 137229 CALINESTI-OAS,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,170
 137229 CALINESTI-OAS,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,159
 137229 CALINESTI-OAS,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,269
 137229 CALINESTI-OAS,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,270
 137229 CALINESTI-OAS,5- 9 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,274
 137229 CALINESTI-OAS,5- 9 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,288
