 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 137363 CEHAL,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,69
 137363 CEHAL,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,69
 137363 CEHAL,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,62
 137363 CEHAL,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,60
 137363 CEHAL,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,63
 137363 CEHAL,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,66
 137363 CEHAL,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,61
 137363 CEHAL,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,73
 137363 CEHAL,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,72
 137363 CEHAL,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,70
 137363 CEHAL,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,61
 137363 CEHAL,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,57
 137363 CEHAL,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,77
 137363 CEHAL,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,68
 137363 CEHAL,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,64
 137363 CEHAL,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,63
 137363 CEHAL,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,58
 137363 CEHAL,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,56
 137363 CEHAL,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,66
 137363 CEHAL,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,59
 137363 CEHAL,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,60
 137363 CEHAL,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,58
 137363 CEHAL,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,53
 137363 CEHAL,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,39
 137363 CEHAL,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,86
 137363 CEHAL,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,81
 137363 CEHAL,5- 9 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,80
 137363 CEHAL,5- 9 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,85
 137363 CEHAL,5- 9 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,74
 137363 CEHAL,5- 9 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,62
 137363 CEHAL,5- 9 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,62
 137363 CEHAL,5- 9 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,53
 137363 CEHAL,5- 9 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,53
 137363 CEHAL,5- 9 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,58
 137363 CEHAL,5- 9 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,65
 137363 CEHAL,5- 9 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,63
 137363 CEHAL,5- 9 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,66
 137363 CEHAL,5- 9 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,70
 137363 CEHAL,5- 9 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,70
 137363 CEHAL,5- 9 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,76
 137363 CEHAL,5- 9 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,71
 137363 CEHAL,5- 9 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,70
 137363 CEHAL,5- 9 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,59
 137363 CEHAL,5- 9 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,61
 137363 CEHAL,5- 9 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,56
 137363 CEHAL,5- 9 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,61
 137363 CEHAL,5- 9 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,57
 137363 CEHAL,5- 9 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,64
 137363 CEHAL,10-14 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,105
 137363 CEHAL,10-14 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,109
 137363 CEHAL,10-14 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,95
 137363 CEHAL,10-14 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,88
 137363 CEHAL,10-14 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,88
 137363 CEHAL,10-14 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,82
 137363 CEHAL,10-14 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,76
 137363 CEHAL,10-14 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,77
 137363 CEHAL,10-14 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,84
 137363 CEHAL,10-14 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,71
 137363 CEHAL,10-14 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,56
 137363 CEHAL,10-14 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,60
 137363 CEHAL,10-14 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,102
 137363 CEHAL,10-14 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,87
 137363 CEHAL,10-14 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,75
 137363 CEHAL,10-14 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,61
 137363 CEHAL,10-14 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,52
 137363 CEHAL,10-14 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,58
 137363 CEHAL,10-14 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,63
 137363 CEHAL,10-14 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,65
 137363 CEHAL,10-14 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,71
 137363 CEHAL,10-14 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,67
 137363 CEHAL,10-14 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,66
 137363 CEHAL,10-14 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,60
 137363 CEHAL,15-19 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,142
 137363 CEHAL,15-19 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,131
 137363 CEHAL,15-19 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,123
 137363 CEHAL,15-19 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,117
 137363 CEHAL,15-19 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,106
 137363 CEHAL,15-19 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,103
 137363 CEHAL,15-19 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,104
 137363 CEHAL,15-19 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,93
 137363 CEHAL,15-19 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,87
 137363 CEHAL,15-19 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,89
 137363 CEHAL,15-19 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,85
 137363 CEHAL,15-19 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,76
 137363 CEHAL,15-19 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,101
 137363 CEHAL,15-19 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,104
 137363 CEHAL,15-19 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,104
 137363 CEHAL,15-19 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,105
 137363 CEHAL,15-19 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,103
 137363 CEHAL,15-19 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,93
 137363 CEHAL,15-19 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,78
 137363 CEHAL,15-19 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,68
 137363 CEHAL,15-19 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,58
 137363 CEHAL,15-19 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,48
 137363 CEHAL,15-19 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,56
 137363 CEHAL,15-19 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,62
 137363 CEHAL,20-24 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,148
 137363 CEHAL,20-24 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,139
 137363 CEHAL,20-24 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,134
 137363 CEHAL,20-24 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,128
 137363 CEHAL,20-24 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,128
 137363 CEHAL,20-24 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,129
 137363 CEHAL,20-24 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,124
 137363 CEHAL,20-24 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,119
 137363 CEHAL,20-24 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,107
 137363 CEHAL,20-24 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,101
 137363 CEHAL,20-24 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,100
 137363 CEHAL,20-24 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,107
 137363 CEHAL,20-24 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,111
 137363 CEHAL,20-24 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,107
 137363 CEHAL,20-24 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,107
 137363 CEHAL,20-24 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,94
 137363 CEHAL,20-24 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,91
 137363 CEHAL,20-24 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,86
 137363 CEHAL,20-24 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,88
 137363 CEHAL,20-24 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,98
 137363 CEHAL,20-24 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,100
 137363 CEHAL,20-24 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,99
 137363 CEHAL,20-24 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,84
 137363 CEHAL,20-24 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,76
 137363 CEHAL,25-29 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,89
 137363 CEHAL,25-29 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,98
 137363 CEHAL,25-29 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,112
 137363 CEHAL,25-29 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,107
 137363 CEHAL,25-29 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,112
 137363 CEHAL,25-29 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,114
 137363 CEHAL,25-29 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,111
 137363 CEHAL,25-29 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,118
 137363 CEHAL,25-29 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,116
 137363 CEHAL,25-29 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,117
 137363 CEHAL,25-29 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,117
