 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 137540 CULCIU,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,105
 137540 CULCIU,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,105
 137540 CULCIU,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,103
 137540 CULCIU,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,110
 137540 CULCIU,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,108
 137540 CULCIU,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,103
 137540 CULCIU,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,106
 137540 CULCIU,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,112
 137540 CULCIU,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,114
 137540 CULCIU,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,125
 137540 CULCIU,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,131
 137540 CULCIU,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,143
 137540 CULCIU,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,94
 137540 CULCIU,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,101
 137540 CULCIU,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,97
 137540 CULCIU,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,102
 137540 CULCIU,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,97
 137540 CULCIU,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,101
 137540 CULCIU,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,104
 137540 CULCIU,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,113
 137540 CULCIU,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,110
 137540 CULCIU,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,124
 137540 CULCIU,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,133
 137540 CULCIU,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,120
 137540 CULCIU,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,124
 137540 CULCIU,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,122
 137540 CULCIU,5- 9 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,122
 137540 CULCIU,5- 9 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,108
 137540 CULCIU,5- 9 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,105
 137540 CULCIU,5- 9 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,108
 137540 CULCIU,5- 9 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,110
 137540 CULCIU,5- 9 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,103
 137540 CULCIU,5- 9 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,110
 137540 CULCIU,5- 9 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,110
 137540 CULCIU,5- 9 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,107
 137540 CULCIU,5- 9 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,106
 137540 CULCIU,5- 9 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,106
 137540 CULCIU,5- 9 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,102
 137540 CULCIU,5- 9 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,98
 137540 CULCIU,5- 9 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,99
 137540 CULCIU,5- 9 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,102
 137540 CULCIU,5- 9 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,105
 137540 CULCIU,5- 9 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,116
 137540 CULCIU,5- 9 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,106
 137540 CULCIU,5- 9 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,105
 137540 CULCIU,5- 9 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,104
 137540 CULCIU,5- 9 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,106
 137540 CULCIU,5- 9 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,110
 137540 CULCIU,10-14 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,146
 137540 CULCIU,10-14 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,132
 137540 CULCIU,10-14 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,129
 137540 CULCIU,10-14 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,131
 137540 CULCIU,10-14 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,117
 137540 CULCIU,10-14 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,122
 137540 CULCIU,10-14 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,123
 137540 CULCIU,10-14 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,131
 137540 CULCIU,10-14 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,123
 137540 CULCIU,10-14 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,120
 137540 CULCIU,10-14 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,122
 137540 CULCIU,10-14 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,123
 137540 CULCIU,10-14 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,134
 137540 CULCIU,10-14 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,122
 137540 CULCIU,10-14 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,120
 137540 CULCIU,10-14 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,113
 137540 CULCIU,10-14 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,110
 137540 CULCIU,10-14 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,113
 137540 CULCIU,10-14 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,110
 137540 CULCIU,10-14 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,108
 137540 CULCIU,10-14 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,106
 137540 CULCIU,10-14 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,110
 137540 CULCIU,10-14 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,111
 137540 CULCIU,10-14 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,121
 137540 CULCIU,15-19 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,176
 137540 CULCIU,15-19 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,160
 137540 CULCIU,15-19 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,153
 137540 CULCIU,15-19 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,145
 137540 CULCIU,15-19 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,150
 137540 CULCIU,15-19 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,143
 137540 CULCIU,15-19 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,130
 137540 CULCIU,15-19 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,133
 137540 CULCIU,15-19 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,136
 137540 CULCIU,15-19 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,127
 137540 CULCIU,15-19 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,128
 137540 CULCIU,15-19 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,134
 137540 CULCIU,15-19 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,173
 137540 CULCIU,15-19 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,174
 137540 CULCIU,15-19 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,166
 137540 CULCIU,15-19 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,150
 137540 CULCIU,15-19 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,147
 137540 CULCIU,15-19 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,138
 137540 CULCIU,15-19 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,126
 137540 CULCIU,15-19 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,125
 137540 CULCIU,15-19 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,124
 137540 CULCIU,15-19 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,124
 137540 CULCIU,15-19 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,123
 137540 CULCIU,15-19 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,120
 137540 CULCIU,20-24 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,242
 137540 CULCIU,20-24 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,257
 137540 CULCIU,20-24 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,218
 137540 CULCIU,20-24 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,207
 137540 CULCIU,20-24 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,197
 137540 CULCIU,20-24 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,165
 137540 CULCIU,20-24 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,155
 137540 CULCIU,20-24 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,146
 137540 CULCIU,20-24 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,147
 137540 CULCIU,20-24 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,153
 137540 CULCIU,20-24 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,154
 137540 CULCIU,20-24 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,142
 137540 CULCIU,20-24 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,170
 137540 CULCIU,20-24 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,167
 137540 CULCIU,20-24 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,175
 137540 CULCIU,20-24 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,182
 137540 CULCIU,20-24 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,179
 137540 CULCIU,20-24 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,180
 137540 CULCIU,20-24 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,186
 137540 CULCIU,20-24 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,173
 137540 CULCIU,20-24 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,153
 137540 CULCIU,20-24 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,144
 137540 CULCIU,20-24 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,137
 137540 CULCIU,20-24 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,127
 137540 CULCIU,25-29 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,141
 137540 CULCIU,25-29 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,146
 137540 CULCIU,25-29 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,179
 137540 CULCIU,25-29 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,189
 137540 CULCIU,25-29 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,199
 137540 CULCIU,25-29 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,232
 137540 CULCIU,25-29 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,246
 137540 CULCIU,25-29 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,212
 137540 CULCIU,25-29 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,198
 137540 CULCIU,25-29 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,195
 137540 CULCIU,25-29 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,159
 137540 CULCIU,25-29 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,147
 137540 CULCIU,25-29 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,55
 137540 CULCIU,25-29 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,67
 137540 CULCIU,25-29 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,83
 137540 CULCIU,25-29 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,114
 137540 CULCIU,25-29 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,130
 137540 CULCIU,25-29 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,157
 137540 CULCIU,25-29 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,164
 137540 CULCIU,25-29 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,180
 137540 CULCIU,25-29 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,182
 137540 CULCIU,25-29 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,183
 137540 CULCIU,25-29 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,179
 137540 CULCIU,25-29 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,180
 137540 CULCIU,30-34 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,102
 137540 CULCIU,30-34 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,100
 137540 CULCIU,30-34 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,104
 137540 CULCIU,30-34 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,111
 137540 CULCIU,30-34 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,119
 137540 CULCIU,30-34 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,127
 137540 CULCIU,30-34 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,135
 137540 CULCIU,30-34 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,165
 137540 CULCIU,30-34 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,180
 137540 CULCIU,30-34 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,191
 137540 CULCIU,30-34 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,222
 137540 CULCIU,30-34 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,234
 137540 CULCIU,30-34 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,90
 137540 CULCIU,30-34 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,82
 137540 CULCIU,30-34 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,79
 137540 CULCIU,30-34 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,70
 137540 CULCIU,30-34 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,65
 137540 CULCIU,30-34 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,58
 137540 CULCIU,30-34 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,71
 137540 CULCIU,30-34 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,92
 137540 CULCIU,30-34 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,123
 137540 CULCIU,30-34 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,141
 137540 CULCIU,30-34 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,158
 137540 CULCIU,30-34 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,160
 137540 CULCIU,35-39 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,104
 137540 CULCIU,35-39 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,110
 137540 CULCIU,35-39 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,110
 137540 CULCIU,35-39 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,114
 137540 CULCIU,35-39 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,101
 137540 CULCIU,35-39 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,102
 137540 CULCIU,35-39 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,103
 137540 CULCIU,35-39 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,102
 137540 CULCIU,35-39 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,106
 137540 CULCIU,35-39 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,111
 137540 CULCIU,35-39 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,119
 137540 CULCIU,35-39 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,126
 137540 CULCIU,35-39 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,96
 137540 CULCIU,35-39 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,94
 137540 CULCIU,35-39 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,84
 137540 CULCIU,35-39 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,86
 137540 CULCIU,35-39 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,85
 137540 CULCIU,35-39 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,85
 137540 CULCIU,35-39 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,81
 137540 CULCIU,35-39 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,81
 137540 CULCIU,35-39 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,77
 137540 CULCIU,35-39 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,80
 137540 CULCIU,35-39 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,75
 137540 CULCIU,35-39 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,90
 137540 CULCIU,40-44 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,118
 137540 CULCIU,40-44 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,107
 137540 CULCIU,40-44 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,104
 137540 CULCIU,40-44 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,102
 137540 CULCIU,40-44 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,100
 137540 CULCIU,40-44 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,104
 137540 CULCIU,40-44 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,103
 137540 CULCIU,40-44 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,104
 137540 CULCIU,40-44 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,113
 137540 CULCIU,40-44 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,105
 137540 CULCIU,40-44 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,105
 137540 CULCIU,40-44 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,102
 137540 CULCIU,40-44 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,131
 137540 CULCIU,40-44 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,126
 137540 CULCIU,40-44 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,120
 137540 CULCIU,40-44 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,111
 137540 CULCIU,40-44 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,97
 137540 CULCIU,40-44 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,95
 137540 CULCIU,40-44 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,93
 137540 CULCIU,40-44 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,82
 137540 CULCIU,40-44 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,84
 137540 CULCIU,40-44 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,81
 137540 CULCIU,40-44 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,84
 137540 CULCIU,40-44 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,85
 137540 CULCIU,45-49 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,123
 137540 CULCIU,45-49 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,111
 137540 CULCIU,45-49 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,111
 137540 CULCIU,45-49 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,99
 137540 CULCIU,45-49 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,111
 137540 CULCIU,45-49 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,107
 137540 CULCIU,45-49 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,104
 137540 CULCIU,45-49 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,99
 137540 CULCIU,45-49 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,98
