 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 137675 DOROLT,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,181
 137675 DOROLT,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,180
 137675 DOROLT,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,161
 137675 DOROLT,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,153
 137675 DOROLT,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,141
 137675 DOROLT,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,133
 137675 DOROLT,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,129
 137675 DOROLT,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,134
 137675 DOROLT,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,126
 137675 DOROLT,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,129
 137675 DOROLT,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,128
 137675 DOROLT,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,131
 137675 DOROLT,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,168
 137675 DOROLT,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,156
 137675 DOROLT,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,146
 137675 DOROLT,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,129
 137675 DOROLT,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,118
 137675 DOROLT,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,118
 137675 DOROLT,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,107
 137675 DOROLT,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,98
 137675 DOROLT,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,104
 137675 DOROLT,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,109
 137675 DOROLT,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,108
 137675 DOROLT,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,113
 137675 DOROLT,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,184
 137675 DOROLT,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,170
 137675 DOROLT,5- 9 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,186
 137675 DOROLT,5- 9 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,178
 137675 DOROLT,5- 9 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,185
 137675 DOROLT,5- 9 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,175
 137675 DOROLT,5- 9 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,178
 137675 DOROLT,5- 9 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,160
 137675 DOROLT,5- 9 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,158
 137675 DOROLT,5- 9 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,145
 137675 DOROLT,5- 9 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,139
 137675 DOROLT,5- 9 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,132
 137675 DOROLT,5- 9 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,150
 137675 DOROLT,5- 9 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,157
 137675 DOROLT,5- 9 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,164
 137675 DOROLT,5- 9 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,176
 137675 DOROLT,5- 9 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,176
 137675 DOROLT,5- 9 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,167
 137675 DOROLT,5- 9 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,158
 137675 DOROLT,5- 9 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,146
 137675 DOROLT,5- 9 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,136
 137675 DOROLT,5- 9 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,125
 137675 DOROLT,5- 9 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,126
 137675 DOROLT,5- 9 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,112
 137675 DOROLT,10-14 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,193
 137675 DOROLT,10-14 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,190
 137675 DOROLT,10-14 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,184
 137675 DOROLT,10-14 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,189
 137675 DOROLT,10-14 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,183
 137675 DOROLT,10-14 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,184
 137675 DOROLT,10-14 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,170
 137675 DOROLT,10-14 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,186
 137675 DOROLT,10-14 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,181
 137675 DOROLT,10-14 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,187
 137675 DOROLT,10-14 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,181
 137675 DOROLT,10-14 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,187
 137675 DOROLT,10-14 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,155
 137675 DOROLT,10-14 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,144
