 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 137728 FOIENI,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,48
 137728 FOIENI,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,49
 137728 FOIENI,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,52
 137728 FOIENI,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,49
 137728 FOIENI,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,57
 137728 FOIENI,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,54
 137728 FOIENI,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,50
 137728 FOIENI,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,46
 137728 FOIENI,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,53
 137728 FOIENI,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,44
 137728 FOIENI,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,43
 137728 FOIENI,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,46
 137728 FOIENI,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,66
 137728 FOIENI,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,57
 137728 FOIENI,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,56
 137728 FOIENI,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,47
 137728 FOIENI,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,52
 137728 FOIENI,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,47
 137728 FOIENI,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,52
 137728 FOIENI,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,47
 137728 FOIENI,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,47
 137728 FOIENI,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,47
 137728 FOIENI,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,45
 137728 FOIENI,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,42
 137728 FOIENI,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,58
 137728 FOIENI,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,57
 137728 FOIENI,5- 9 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,52
 137728 FOIENI,5- 9 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,50
 137728 FOIENI,5- 9 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,51
 137728 FOIENI,5- 9 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,55
 137728 FOIENI,5- 9 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,57
 137728 FOIENI,5- 9 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,61
 137728 FOIENI,5- 9 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,57
 137728 FOIENI,5- 9 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,60
 137728 FOIENI,5- 9 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,54
 137728 FOIENI,5- 9 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,49
 137728 FOIENI,5- 9 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,61
 137728 FOIENI,5- 9 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,74
 137728 FOIENI,5- 9 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,71
 137728 FOIENI,5- 9 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,74
 137728 FOIENI,5- 9 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,68
 137728 FOIENI,5- 9 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,70
 137728 FOIENI,5- 9 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,61
 137728 FOIENI,5- 9 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,62
 137728 FOIENI,5- 9 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,51
 137728 FOIENI,5- 9 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,56
 137728 FOIENI,5- 9 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,50
 137728 FOIENI,5- 9 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,55
 137728 FOIENI,10-14 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,75
 137728 FOIENI,10-14 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,73
 137728 FOIENI,10-14 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,73
 137728 FOIENI,10-14 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,65
 137728 FOIENI,10-14 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,60
 137728 FOIENI,10-14 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,57
 137728 FOIENI,10-14 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,57
 137728 FOIENI,10-14 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,50
 137728 FOIENI,10-14 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,50
 137728 FOIENI,10-14 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,53
 137728 FOIENI,10-14 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,55
 137728 FOIENI,10-14 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,57
 137728 FOIENI,10-14 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,91
 137728 FOIENI,10-14 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,81
 137728 FOIENI,10-14 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,86
 137728 FOIENI,10-14 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,77
 137728 FOIENI,10-14 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,67
 137728 FOIENI,10-14 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,64
 137728 FOIENI,10-14 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,74
 137728 FOIENI,10-14 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,73
 137728 FOIENI,10-14 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,74
 137728 FOIENI,10-14 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,69
 137728 FOIENI,10-14 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,69
 137728 FOIENI,10-14 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,60
 137728 FOIENI,15-19 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,92
 137728 FOIENI,15-19 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,89
 137728 FOIENI,15-19 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,83
 137728 FOIENI,15-19 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,89
 137728 FOIENI,15-19 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,84
 137728 FOIENI,15-19 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,76
 137728 FOIENI,15-19 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,74
 137728 FOIENI,15-19 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,75
 137728 FOIENI,15-19 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,69
 137728 FOIENI,15-19 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,63
 137728 FOIENI,15-19 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,59
 137728 FOIENI,15-19 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,57
 137728 FOIENI,15-19 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,78
 137728 FOIENI,15-19 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,75
 137728 FOIENI,15-19 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,72
 137728 FOIENI,15-19 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,73
 137728 FOIENI,15-19 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,78
 137728 FOIENI,15-19 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,88
 137728 FOIENI,15-19 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,83
 137728 FOIENI,15-19 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,85
 137728 FOIENI,15-19 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,80
 137728 FOIENI,15-19 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,72
 137728 FOIENI,15-19 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,63
 137728 FOIENI,15-19 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,73
 137728 FOIENI,20-24 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,83
 137728 FOIENI,20-24 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,77
 137728 FOIENI,20-24 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,87
 137728 FOIENI,20-24 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,85
 137728 FOIENI,20-24 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,84
 137728 FOIENI,20-24 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,93
 137728 FOIENI,20-24 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,88
 137728 FOIENI,20-24 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,84
 137728 FOIENI,20-24 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,89
 137728 FOIENI,20-24 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,86
 137728 FOIENI,20-24 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,79
