 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 137960 LAZURI,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,265
 137960 LAZURI,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,261
 137960 LAZURI,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,257
 137960 LAZURI,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,229
 137960 LAZURI,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,200
 137960 LAZURI,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,180
 137960 LAZURI,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,171
 137960 LAZURI,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,154
 137960 LAZURI,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,149
 137960 LAZURI,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,161
 137960 LAZURI,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,175
 137960 LAZURI,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,171
 137960 LAZURI,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,234
 137960 LAZURI,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,219
 137960 LAZURI,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,187
 137960 LAZURI,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,168
 137960 LAZURI,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,158
 137960 LAZURI,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,167
 137960 LAZURI,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,171
 137960 LAZURI,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,169
 137960 LAZURI,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,163
 137960 LAZURI,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,164
 137960 LAZURI,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,173
 137960 LAZURI,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,168
 137960 LAZURI,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,223
 137960 LAZURI,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,222
 137960 LAZURI,5- 9 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,229
 137960 LAZURI,5- 9 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,247
 137960 LAZURI,5- 9 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,264
 137960 LAZURI,5- 9 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,244
 137960 LAZURI,5- 9 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,253
 137960 LAZURI,5- 9 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,249
 137960 LAZURI,5- 9 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,222
 137960 LAZURI,5- 9 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,197
 137960 LAZURI,5- 9 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,180
 137960 LAZURI,5- 9 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,174
 137960 LAZURI,5- 9 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,221
 137960 LAZURI,5- 9 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,223
 137960 LAZURI,5- 9 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,252
 137960 LAZURI,5- 9 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,258
 137960 LAZURI,5- 9 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,249
