 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 138351 ORASU NOU,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,277
 138351 ORASU NOU,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,266
 138351 ORASU NOU,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,253
 138351 ORASU NOU,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,258
 138351 ORASU NOU,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,250
 138351 ORASU NOU,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,254
 138351 ORASU NOU,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,230
 138351 ORASU NOU,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,232
 138351 ORASU NOU,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,223
 138351 ORASU NOU,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,217
 138351 ORASU NOU,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,205
 138351 ORASU NOU,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,215
 138351 ORASU NOU,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,279
 138351 ORASU NOU,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,283
 138351 ORASU NOU,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,253
 138351 ORASU NOU,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,243
 138351 ORASU NOU,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,231
 138351 ORASU NOU,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,236
 138351 ORASU NOU,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,211
 138351 ORASU NOU,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,223
 138351 ORASU NOU,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,222
 138351 ORASU NOU,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,220
 138351 ORASU NOU,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,204
 138351 ORASU NOU,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,218
 138351 ORASU NOU,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,316
