 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 138618 POMI,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,86
 138618 POMI,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,85
 138618 POMI,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,70
 138618 POMI,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,58
 138618 POMI,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,51
 138618 POMI,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,46
 138618 POMI,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,56
 138618 POMI,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,53
 138618 POMI,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,66
 138618 POMI,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,68
 138618 POMI,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,69
 138618 POMI,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,63
 138618 POMI,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,86
 138618 POMI,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,89
 138618 POMI,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,83
 138618 POMI,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,75
 138618 POMI,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,64
 138618 POMI,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,58
 138618 POMI,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,56
 138618 POMI,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,65
 138618 POMI,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,65
 138618 POMI,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,60
 138618 POMI,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,62
 138618 POMI,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,65
 138618 POMI,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,75
 138618 POMI,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,72
 138618 POMI,5- 9 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,83
 138618 POMI,5- 9 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,90
 138618 POMI,5- 9 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,92
 138618 POMI,5- 9 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,90
 138618 POMI,5- 9 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,82
 138618 POMI,5- 9 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,68
 138618 POMI,5- 9 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,58
 138618 POMI,5- 9 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,45
 138618 POMI,5- 9 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,41
 138618 POMI,5- 9 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,52
 138618 POMI,5- 9 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,74
 138618 POMI,5- 9 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,76
 138618 POMI,5- 9 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,67
 138618 POMI,5- 9 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,76
 138618 POMI,5- 9 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,79
 138618 POMI,5- 9 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,84
 138618 POMI,5- 9 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,84
 138618 POMI,5- 9 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,79
 138618 POMI,5- 9 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,69
 138618 POMI,5- 9 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,61
 138618 POMI,5- 9 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,54
 138618 POMI,5- 9 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,58
 138618 POMI,10-14 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,106
