 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 138869 SOCOND,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,113
 138869 SOCOND,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,130
 138869 SOCOND,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,140
 138869 SOCOND,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,137
 138869 SOCOND,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,136
 138869 SOCOND,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,132
 138869 SOCOND,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,113
 138869 SOCOND,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,100
 138869 SOCOND,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,101
 138869 SOCOND,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,96
 138869 SOCOND,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,100
 138869 SOCOND,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,104
 138869 SOCOND,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,126
 138869 SOCOND,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,123
 138869 SOCOND,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,116
 138869 SOCOND,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,115
 138869 SOCOND,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,115
 138869 SOCOND,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,111
 138869 SOCOND,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,106
 138869 SOCOND,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,113
 138869 SOCOND,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,101
 138869 SOCOND,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,112
 138869 SOCOND,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,112
 138869 SOCOND,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,121
 138869 SOCOND,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,110
 138869 SOCOND,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,107
 138869 SOCOND,5- 9 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,115
 138869 SOCOND,5- 9 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,111
 138869 SOCOND,5- 9 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,122
 138869 SOCOND,5- 9 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,115
 138869 SOCOND,5- 9 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,133
 138869 SOCOND,5- 9 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,138
 138869 SOCOND,5- 9 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,136
 138869 SOCOND,5- 9 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,123
 138869 SOCOND,5- 9 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,120
 138869 SOCOND,5- 9 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,103
 138869 SOCOND,5- 9 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,114
 138869 SOCOND,5- 9 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,108
 138869 SOCOND,5- 9 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,112
 138869 SOCOND,5- 9 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,111
 138869 SOCOND,5- 9 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,119
 138869 SOCOND,5- 9 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,112
 138869 SOCOND,5- 9 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,113
 138869 SOCOND,5- 9 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,108
 138869 SOCOND,5- 9 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,109
 138869 SOCOND,5- 9 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,105
 138869 SOCOND,5- 9 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,104
