 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 139143 TIRSOLT,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,211
 139143 TIRSOLT,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,213
 139143 TIRSOLT,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,201
 139143 TIRSOLT,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,194
 139143 TIRSOLT,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,178
 139143 TIRSOLT,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,172
 139143 TIRSOLT,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,149
 139143 TIRSOLT,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,132
 139143 TIRSOLT,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,122
 139143 TIRSOLT,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,113
 139143 TIRSOLT,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,115
 139143 TIRSOLT,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,118
 139143 TIRSOLT,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,193
 139143 TIRSOLT,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,190
 139143 TIRSOLT,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,190
 139143 TIRSOLT,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,186
 139143 TIRSOLT,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,168
 139143 TIRSOLT,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,158
 139143 TIRSOLT,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,136
 139143 TIRSOLT,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,132
 139143 TIRSOLT,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,109
 139143 TIRSOLT,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,102
 139143 TIRSOLT,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,94
 139143 TIRSOLT,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,102
 139143 TIRSOLT,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,203
 139143 TIRSOLT,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,187
 139143 TIRSOLT,5- 9 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,204
 139143 TIRSOLT,5- 9 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,208
 139143 TIRSOLT,5- 9 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,213
 139143 TIRSOLT,5- 9 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,200
 139143 TIRSOLT,5- 9 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,207
 139143 TIRSOLT,5- 9 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,196
 139143 TIRSOLT,5- 9 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,185
 139143 TIRSOLT,5- 9 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,168
 139143 TIRSOLT,5- 9 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,163
 139143 TIRSOLT,5- 9 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,144
 139143 TIRSOLT,5- 9 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,163
 139143 TIRSOLT,5- 9 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,165
 139143 TIRSOLT,5- 9 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,162
 139143 TIRSOLT,5- 9 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,163
 139143 TIRSOLT,5- 9 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,182
 139143 TIRSOLT,5- 9 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,189
 139143 TIRSOLT,5- 9 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,188
 139143 TIRSOLT,5- 9 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,185
 139143 TIRSOLT,5- 9 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,179
 139143 TIRSOLT,5- 9 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,165
 139143 TIRSOLT,5- 9 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,154
 139143 TIRSOLT,5- 9 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,132
 139143 TIRSOLT,10-14 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,157
 139143 TIRSOLT,10-14 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,166
 139143 TIRSOLT,10-14 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,165
 139143 TIRSOLT,10-14 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,154
 139143 TIRSOLT,10-14 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,166
 139143 TIRSOLT,10-14 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,182
 139143 TIRSOLT,10-14 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,179
 139143 TIRSOLT,10-14 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,197
 139143 TIRSOLT,10-14 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,203
 139143 TIRSOLT,10-14 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,205
 139143 TIRSOLT,10-14 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,191
 139143 TIRSOLT,10-14 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,192
 139143 TIRSOLT,10-14 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,169
 139143 TIRSOLT,10-14 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,173
 139143 TIRSOLT,10-14 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,164
 139143 TIRSOLT,10-14 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,152
 139143 TIRSOLT,10-14 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,154
 139143 TIRSOLT,10-14 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,150
 139143 TIRSOLT,10-14 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,162
 139143 TIRSOLT,10-14 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,158
 139143 TIRSOLT,10-14 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,163
 139143 TIRSOLT,10-14 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,176
 139143 TIRSOLT,10-14 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,184
 139143 TIRSOLT,10-14 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,177
 139143 TIRSOLT,15-19 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,182
 139143 TIRSOLT,15-19 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,164
 139143 TIRSOLT,15-19 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,167
 139143 TIRSOLT,15-19 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,177
 139143 TIRSOLT,15-19 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,165
 139143 TIRSOLT,15-19 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,152
 139143 TIRSOLT,15-19 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,162
 139143 TIRSOLT,15-19 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,157
 139143 TIRSOLT,15-19 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,148
 139143 TIRSOLT,15-19 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,160
 139143 TIRSOLT,15-19 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,175
 139143 TIRSOLT,15-19 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,171
 139143 TIRSOLT,15-19 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,166
 139143 TIRSOLT,15-19 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,163
 139143 TIRSOLT,15-19 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,160
 139143 TIRSOLT,15-19 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,170
 139143 TIRSOLT,15-19 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,166
 139143 TIRSOLT,15-19 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,165
 139143 TIRSOLT,15-19 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,166
 139143 TIRSOLT,15-19 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,157
 139143 TIRSOLT,15-19 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,145
 139143 TIRSOLT,15-19 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,149
 139143 TIRSOLT,15-19 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,145
 139143 TIRSOLT,15-19 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,157
 139143 TIRSOLT,20-24 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,193
 139143 TIRSOLT,20-24 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,195
 139143 TIRSOLT,20-24 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,185
 139143 TIRSOLT,20-24 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,183
 139143 TIRSOLT,20-24 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,177
 139143 TIRSOLT,20-24 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,168
 139143 TIRSOLT,20-24 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,156
 139143 TIRSOLT,20-24 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,163
 139143 TIRSOLT,20-24 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,165
 139143 TIRSOLT,20-24 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,153
 139143 TIRSOLT,20-24 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,145
 139143 TIRSOLT,20-24 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,154
 139143 TIRSOLT,20-24 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,157
 139143 TIRSOLT,20-24 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,149
 139143 TIRSOLT,20-24 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,164
 139143 TIRSOLT,20-24 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,158
 139143 TIRSOLT,20-24 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,152
 139143 TIRSOLT,20-24 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,144
 139143 TIRSOLT,20-24 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,144
 139143 TIRSOLT,20-24 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,147
 139143 TIRSOLT,20-24 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,156
 139143 TIRSOLT,20-24 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,151
 139143 TIRSOLT,20-24 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,143
 139143 TIRSOLT,20-24 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,148
 139143 TIRSOLT,25-29 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,143
 139143 TIRSOLT,25-29 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,154
 139143 TIRSOLT,25-29 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,165
 139143 TIRSOLT,25-29 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,159
 139143 TIRSOLT,25-29 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,161
 139143 TIRSOLT,25-29 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,166
 139143 TIRSOLT,25-29 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,178
 139143 TIRSOLT,25-29 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,169
