 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 139250 URZICENI,0- 4 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,43
 139250 URZICENI,0- 4 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,38
 139250 URZICENI,0- 4 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,44
 139250 URZICENI,0- 4 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,44
 139250 URZICENI,0- 4 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,40
 139250 URZICENI,0- 4 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,35
 139250 URZICENI,0- 4 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,31
 139250 URZICENI,0- 4 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,33
 139250 URZICENI,0- 4 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,31
 139250 URZICENI,0- 4 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,32
 139250 URZICENI,0- 4 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,30
 139250 URZICENI,0- 4 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,30
 139250 URZICENI,0- 4 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,46
 139250 URZICENI,0- 4 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,45
 139250 URZICENI,0- 4 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,44
 139250 URZICENI,0- 4 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,48
 139250 URZICENI,0- 4 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,44
 139250 URZICENI,0- 4 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,41
 139250 URZICENI,0- 4 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,39
 139250 URZICENI,0- 4 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,38
 139250 URZICENI,0- 4 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,32
 139250 URZICENI,0- 4 ani, Feminin, Satu Mare, Anul 2001, Numar persoane,27
 139250 URZICENI,0- 4 ani, Feminin, Satu Mare, Anul 2002, Numar persoane,28
 139250 URZICENI,0- 4 ani, Feminin, Satu Mare, Anul 2003, Numar persoane,22
 139250 URZICENI,5- 9 ani, Masculin, Satu Mare, Anul 1992, Numar persoane,48
 139250 URZICENI,5- 9 ani, Masculin, Satu Mare, Anul 1993, Numar persoane,55
 139250 URZICENI,5- 9 ani, Masculin, Satu Mare, Anul 1994, Numar persoane,42
 139250 URZICENI,5- 9 ani, Masculin, Satu Mare, Anul 1995, Numar persoane,50
 139250 URZICENI,5- 9 ani, Masculin, Satu Mare, Anul 1996, Numar persoane,50
 139250 URZICENI,5- 9 ani, Masculin, Satu Mare, Anul 1997, Numar persoane,56
 139250 URZICENI,5- 9 ani, Masculin, Satu Mare, Anul 1998, Numar persoane,50
 139250 URZICENI,5- 9 ani, Masculin, Satu Mare, Anul 1999, Numar persoane,55
 139250 URZICENI,5- 9 ani, Masculin, Satu Mare, Anul 2000, Numar persoane,48
 139250 URZICENI,5- 9 ani, Masculin, Satu Mare, Anul 2001, Numar persoane,42
 139250 URZICENI,5- 9 ani, Masculin, Satu Mare, Anul 2002, Numar persoane,35
 139250 URZICENI,5- 9 ani, Masculin, Satu Mare, Anul 2003, Numar persoane,33
 139250 URZICENI,5- 9 ani, Feminin, Satu Mare, Anul 1992, Numar persoane,41
 139250 URZICENI,5- 9 ani, Feminin, Satu Mare, Anul 1993, Numar persoane,46
 139250 URZICENI,5- 9 ani, Feminin, Satu Mare, Anul 1994, Numar persoane,51
 139250 URZICENI,5- 9 ani, Feminin, Satu Mare, Anul 1995, Numar persoane,65
 139250 URZICENI,5- 9 ani, Feminin, Satu Mare, Anul 1996, Numar persoane,61
 139250 URZICENI,5- 9 ani, Feminin, Satu Mare, Anul 1997, Numar persoane,56
 139250 URZICENI,5- 9 ani, Feminin, Satu Mare, Anul 1998, Numar persoane,52
 139250 URZICENI,5- 9 ani, Feminin, Satu Mare, Anul 1999, Numar persoane,49
 139250 URZICENI,5- 9 ani, Feminin, Satu Mare, Anul 2000, Numar persoane,48
