 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 155494 ORAS JIMBOLIA,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,594
 155494 ORAS JIMBOLIA,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,546
 155494 ORAS JIMBOLIA,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,501
 155494 ORAS JIMBOLIA,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,467
 155494 ORAS JIMBOLIA,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,438
 155494 ORAS JIMBOLIA,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,410
 155494 ORAS JIMBOLIA,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,394
 155494 ORAS JIMBOLIA,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,539
 155494 ORAS JIMBOLIA,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,489
 155494 ORAS JIMBOLIA,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,453
 155494 ORAS JIMBOLIA,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,408
 155494 ORAS JIMBOLIA,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,379
 155494 ORAS JIMBOLIA,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,371
 155494 ORAS JIMBOLIA,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,360
 155494 ORAS JIMBOLIA,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,550
 155494 ORAS JIMBOLIA,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,585
 155494 ORAS JIMBOLIA,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,633
 155494 ORAS JIMBOLIA,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,644
 155494 ORAS JIMBOLIA,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,624
 155494 ORAS JIMBOLIA,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,584
 155494 ORAS JIMBOLIA,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,535
 155494 ORAS JIMBOLIA,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,539
 155494 ORAS JIMBOLIA,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,568
 155494 ORAS JIMBOLIA,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,577
 155494 ORAS JIMBOLIA,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,609
 155494 ORAS JIMBOLIA,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,593
 155494 ORAS JIMBOLIA,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,547
 155494 ORAS JIMBOLIA,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,504
 155494 ORAS JIMBOLIA,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,594
 155494 ORAS JIMBOLIA,10-14 ani, Masculin, Timis, Anul 1993, Numar persoane,549
 155494 ORAS JIMBOLIA,10-14 ani, Masculin, Timis, Anul 1994, Numar persoane,527
 155494 ORAS JIMBOLIA,10-14 ani, Masculin, Timis, Anul 1995, Numar persoane,538
 155494 ORAS JIMBOLIA,10-14 ani, Masculin, Timis, Anul 1996, Numar persoane,539
 155494 ORAS JIMBOLIA,10-14 ani, Masculin, Timis, Anul 1997, Numar persoane,548
 155494 ORAS JIMBOLIA,10-14 ani, Masculin, Timis, Anul 1998, Numar persoane,573
 155494 ORAS JIMBOLIA,10-14 ani, Feminin, Timis, Anul 1992, Numar persoane,611
 155494 ORAS JIMBOLIA,10-14 ani, Feminin, Timis, Anul 1993, Numar persoane,574
 155494 ORAS JIMBOLIA,10-14 ani, Feminin, Timis, Anul 1994, Numar persoane,547
 155494 ORAS JIMBOLIA,10-14 ani, Feminin, Timis, Anul 1995, Numar persoane,536
 155494 ORAS JIMBOLIA,10-14 ani, Feminin, Timis, Anul 1996, Numar persoane,538
 155494 ORAS JIMBOLIA,10-14 ani, Feminin, Timis, Anul 1997, Numar persoane,541
 155494 ORAS JIMBOLIA,10-14 ani, Feminin, Timis, Anul 1998, Numar persoane,560
 155494 ORAS JIMBOLIA,15-19 ani, Masculin, Timis, Anul 1992, Numar persoane,572
 155494 ORAS JIMBOLIA,15-19 ani, Masculin, Timis, Anul 1993, Numar persoane,604
 155494 ORAS JIMBOLIA,15-19 ani, Masculin, Timis, Anul 1994, Numar persoane,622
 155494 ORAS JIMBOLIA,15-19 ani, Masculin, Timis, Anul 1995, Numar persoane,600
 155494 ORAS JIMBOLIA,15-19 ani, Masculin, Timis, Anul 1996, Numar persoane,579
 155494 ORAS JIMBOLIA,15-19 ani, Masculin, Timis, Anul 1997, Numar persoane,581
 155494 ORAS JIMBOLIA,15-19 ani, Masculin, Timis, Anul 1998, Numar persoane,551
 155494 ORAS JIMBOLIA,15-19 ani, Feminin, Timis, Anul 1992, Numar persoane,595
 155494 ORAS JIMBOLIA,15-19 ani, Feminin, Timis, Anul 1993, Numar persoane,620
 155494 ORAS JIMBOLIA,15-19 ani, Feminin, Timis, Anul 1994, Numar persoane,632
 155494 ORAS JIMBOLIA,15-19 ani, Feminin, Timis, Anul 1995, Numar persoane,631
 155494 ORAS JIMBOLIA,15-19 ani, Feminin, Timis, Anul 1996, Numar persoane,588
 155494 ORAS JIMBOLIA,15-19 ani, Feminin, Timis, Anul 1997, Numar persoane,602
 155494 ORAS JIMBOLIA,15-19 ani, Feminin, Timis, Anul 1998, Numar persoane,585
 155494 ORAS JIMBOLIA,20-24 ani, Masculin, Timis, Anul 1992, Numar persoane,625
 155494 ORAS JIMBOLIA,20-24 ani, Masculin, Timis, Anul 1993, Numar persoane,616
 155494 ORAS JIMBOLIA,20-24 ani, Masculin, Timis, Anul 1994, Numar persoane,599
 155494 ORAS JIMBOLIA,20-24 ani, Masculin, Timis, Anul 1995, Numar persoane,589
 155494 ORAS JIMBOLIA,20-24 ani, Masculin, Timis, Anul 1996, Numar persoane,598
 155494 ORAS JIMBOLIA,20-24 ani, Masculin, Timis, Anul 1997, Numar persoane,592
 155494 ORAS JIMBOLIA,20-24 ani, Masculin, Timis, Anul 1998, Numar persoane,617
 155494 ORAS JIMBOLIA,20-24 ani, Feminin, Timis, Anul 1992, Numar persoane,629
 155494 ORAS JIMBOLIA,20-24 ani, Feminin, Timis, Anul 1993, Numar persoane,638
 155494 ORAS JIMBOLIA,20-24 ani, Feminin, Timis, Anul 1994, Numar persoane,644
 155494 ORAS JIMBOLIA,20-24 ani, Feminin, Timis, Anul 1995, Numar persoane,637
 155494 ORAS JIMBOLIA,20-24 ani, Feminin, Timis, Anul 1996, Numar persoane,641
 155494 ORAS JIMBOLIA,20-24 ani, Feminin, Timis, Anul 1997, Numar persoane,623
 155494 ORAS JIMBOLIA,20-24 ani, Feminin, Timis, Anul 1998, Numar persoane,640
 155494 ORAS JIMBOLIA,25-29 ani, Masculin, Timis, Anul 1992, Numar persoane,367
 155494 ORAS JIMBOLIA,25-29 ani, Masculin, Timis, Anul 1993, Numar persoane,437
 155494 ORAS JIMBOLIA,25-29 ani, Masculin, Timis, Anul 1994, Numar persoane,529
 155494 ORAS JIMBOLIA,25-29 ani, Masculin, Timis, Anul 1995, Numar persoane,586
 155494 ORAS JIMBOLIA,25-29 ani, Masculin, Timis, Anul 1996, Numar persoane,635
 155494 ORAS JIMBOLIA,25-29 ani, Masculin, Timis, Anul 1997, Numar persoane,683
 155494 ORAS JIMBOLIA,25-29 ani, Masculin, Timis, Anul 1998, Numar persoane,662
 155494 ORAS JIMBOLIA,25-29 ani, Feminin, Timis, Anul 1992, Numar persoane,328
 155494 ORAS JIMBOLIA,25-29 ani, Feminin, Timis, Anul 1993, Numar persoane,387
 155494 ORAS JIMBOLIA,25-29 ani, Feminin, Timis, Anul 1994, Numar persoane,479
 155494 ORAS JIMBOLIA,25-29 ani, Feminin, Timis, Anul 1995, Numar persoane,540
 155494 ORAS JIMBOLIA,25-29 ani, Feminin, Timis, Anul 1996, Numar persoane,621
 155494 ORAS JIMBOLIA,25-29 ani, Feminin, Timis, Anul 1997, Numar persoane,669
 155494 ORAS JIMBOLIA,25-29 ani, Feminin, Timis, Anul 1998, Numar persoane,640
 155494 ORAS JIMBOLIA,30-34 ani, Masculin, Timis, Anul 1992, Numar persoane,487
 155494 ORAS JIMBOLIA,30-34 ani, Masculin, Timis, Anul 1993, Numar persoane,456
 155494 ORAS JIMBOLIA,30-34 ani, Masculin, Timis, Anul 1994, Numar persoane,445
 155494 ORAS JIMBOLIA,30-34 ani, Masculin, Timis, Anul 1995, Numar persoane,414
 155494 ORAS JIMBOLIA,30-34 ani, Masculin, Timis, Anul 1996, Numar persoane,407
 155494 ORAS JIMBOLIA,30-34 ani, Masculin, Timis, Anul 1997, Numar persoane,384
 155494 ORAS JIMBOLIA,30-34 ani, Masculin, Timis, Anul 1998, Numar persoane,450
 155494 ORAS JIMBOLIA,30-34 ani, Feminin, Timis, Anul 1992, Numar persoane,483
 155494 ORAS JIMBOLIA,30-34 ani, Feminin, Timis, Anul 1993, Numar persoane,420
 155494 ORAS JIMBOLIA,30-34 ani, Feminin, Timis, Anul 1994, Numar persoane,389
 155494 ORAS JIMBOLIA,30-34 ani, Feminin, Timis, Anul 1995, Numar persoane,364
 155494 ORAS JIMBOLIA,30-34 ani, Feminin, Timis, Anul 1996, Numar persoane,350
 155494 ORAS JIMBOLIA,30-34 ani, Feminin, Timis, Anul 1997, Numar persoane,341
 155494 ORAS JIMBOLIA,30-34 ani, Feminin, Timis, Anul 1998, Numar persoane,399
 155494 ORAS JIMBOLIA,35-39 ani, Masculin, Timis, Anul 1992, Numar persoane,560
 155494 ORAS JIMBOLIA,35-39 ani, Masculin, Timis, Anul 1993, Numar persoane,572
 155494 ORAS JIMBOLIA,35-39 ani, Masculin, Timis, Anul 1994, Numar persoane,544
 155494 ORAS JIMBOLIA,35-39 ani, Masculin, Timis, Anul 1995, Numar persoane,558
 155494 ORAS JIMBOLIA,35-39 ani, Masculin, Timis, Anul 1996, Numar persoane,493
 155494 ORAS JIMBOLIA,35-39 ani, Masculin, Timis, Anul 1997, Numar persoane,479
 155494 ORAS JIMBOLIA,35-39 ani, Masculin, Timis, Anul 1998, Numar persoane,443
 155494 ORAS JIMBOLIA,35-39 ani, Feminin, Timis, Anul 1992, Numar persoane,612
 155494 ORAS JIMBOLIA,35-39 ani, Feminin, Timis, Anul 1993, Numar persoane,597
 155494 ORAS JIMBOLIA,35-39 ani, Feminin, Timis, Anul 1994, Numar persoane,556
 155494 ORAS JIMBOLIA,35-39 ani, Feminin, Timis, Anul 1995, Numar persoane,550
 155494 ORAS JIMBOLIA,35-39 ani, Feminin, Timis, Anul 1996, Numar persoane,500
 155494 ORAS JIMBOLIA,35-39 ani, Feminin, Timis, Anul 1997, Numar persoane,484
 155494 ORAS JIMBOLIA,35-39 ani, Feminin, Timis, Anul 1998, Numar persoane,431
 155494 ORAS JIMBOLIA,40-44 ani, Masculin, Timis, Anul 1992, Numar persoane,491
 155494 ORAS JIMBOLIA,40-44 ani, Masculin, Timis, Anul 1993, Numar persoane,527
 155494 ORAS JIMBOLIA,40-44 ani, Masculin, Timis, Anul 1994, Numar persoane,495
 155494 ORAS JIMBOLIA,40-44 ani, Masculin, Timis, Anul 1995, Numar persoane,479
 155494 ORAS JIMBOLIA,40-44 ani, Masculin, Timis, Anul 1996, Numar persoane,497
 155494 ORAS JIMBOLIA,40-44 ani, Masculin, Timis, Anul 1997, Numar persoane,503
 155494 ORAS JIMBOLIA,40-44 ani, Masculin, Timis, Anul 1998, Numar persoane,521
 155494 ORAS JIMBOLIA,40-44 ani, Feminin, Timis, Anul 1992, Numar persoane,437
 155494 ORAS JIMBOLIA,40-44 ani, Feminin, Timis, Anul 1993, Numar persoane,500
 155494 ORAS JIMBOLIA,40-44 ani, Feminin, Timis, Anul 1994, Numar persoane,478
 155494 ORAS JIMBOLIA,40-44 ani, Feminin, Timis, Anul 1995, Numar persoane,494
 155494 ORAS JIMBOLIA,40-44 ani, Feminin, Timis, Anul 1996, Numar persoane,519
 155494 ORAS JIMBOLIA,40-44 ani, Feminin, Timis, Anul 1997, Numar persoane,512
 155494 ORAS JIMBOLIA,40-44 ani, Feminin, Timis, Anul 1998, Numar persoane,542
 155494 ORAS JIMBOLIA,45-49 ani, Masculin, Timis, Anul 1992, Numar persoane,283
 155494 ORAS JIMBOLIA,45-49 ani, Masculin, Timis, Anul 1993, Numar persoane,282
 155494 ORAS JIMBOLIA,45-49 ani, Masculin, Timis, Anul 1994, Numar persoane,318
 155494 ORAS JIMBOLIA,45-49 ani, Masculin, Timis, Anul 1995, Numar persoane,361
 155494 ORAS JIMBOLIA,45-49 ani, Masculin, Timis, Anul 1996, Numar persoane,408
 155494 ORAS JIMBOLIA,45-49 ani, Masculin, Timis, Anul 1997, Numar persoane,432
 155494 ORAS JIMBOLIA,45-49 ani, Masculin, Timis, Anul 1998, Numar persoane,461
 155494 ORAS JIMBOLIA,45-49 ani, Feminin, Timis, Anul 1992, Numar persoane,276
 155494 ORAS JIMBOLIA,45-49 ani, Feminin, Timis, Anul 1993, Numar persoane,288
 155494 ORAS JIMBOLIA,45-49 ani, Feminin, Timis, Anul 1994, Numar persoane,305
 155494 ORAS JIMBOLIA,45-49 ani, Feminin, Timis, Anul 1995, Numar persoane,322
 155494 ORAS JIMBOLIA,45-49 ani, Feminin, Timis, Anul 1996, Numar persoane,366
 155494 ORAS JIMBOLIA,45-49 ani, Feminin, Timis, Anul 1997, Numar persoane,408
