 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 155724 BEBA VECHE,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,98
 155724 BEBA VECHE,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,95
 155724 BEBA VECHE,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,87
 155724 BEBA VECHE,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,82
 155724 BEBA VECHE,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,76
 155724 BEBA VECHE,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,77
 155724 BEBA VECHE,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,78
 155724 BEBA VECHE,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,87
 155724 BEBA VECHE,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,82
 155724 BEBA VECHE,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,72
 155724 BEBA VECHE,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,75
 155724 BEBA VECHE,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,65
 155724 BEBA VECHE,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,60
 155724 BEBA VECHE,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,57
 155724 BEBA VECHE,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,77
 155724 BEBA VECHE,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,81
 155724 BEBA VECHE,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,85
 155724 BEBA VECHE,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,87
 155724 BEBA VECHE,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,87
 155724 BEBA VECHE,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,89
 155724 BEBA VECHE,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,86
 155724 BEBA VECHE,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,53
 155724 BEBA VECHE,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,67
 155724 BEBA VECHE,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,79
 155724 BEBA VECHE,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,84
 155724 BEBA VECHE,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,82
 155724 BEBA VECHE,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,87
 155724 BEBA VECHE,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,83
 155724 BEBA VECHE,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,56
 155724 BEBA VECHE,10-14 ani, Masculin, Timis, Anul 1993, Numar persoane,51
 155724 BEBA VECHE,10-14 ani, Masculin, Timis, Anul 1994, Numar persoane,59
 155724 BEBA VECHE,10-14 ani, Masculin, Timis, Anul 1995, Numar persoane,64
 155724 BEBA VECHE,10-14 ani, Masculin, Timis, Anul 1996, Numar persoane,63
 155724 BEBA VECHE,10-14 ani, Masculin, Timis, Anul 1997, Numar persoane,70
 155724 BEBA VECHE,10-14 ani, Masculin, Timis, Anul 1998, Numar persoane,71
 155724 BEBA VECHE,10-14 ani, Feminin, Timis, Anul 1992, Numar persoane,63
 155724 BEBA VECHE,10-14 ani, Feminin, Timis, Anul 1993, Numar persoane,55
 155724 BEBA VECHE,10-14 ani, Feminin, Timis, Anul 1994, Numar persoane,55
 155724 BEBA VECHE,10-14 ani, Feminin, Timis, Anul 1995, Numar persoane,54
 155724 BEBA VECHE,10-14 ani, Feminin, Timis, Anul 1996, Numar persoane,53
 155724 BEBA VECHE,10-14 ani, Feminin, Timis, Anul 1997, Numar persoane,52
 155724 BEBA VECHE,10-14 ani, Feminin, Timis, Anul 1998, Numar persoane,63
 155724 BEBA VECHE,15-19 ani, Masculin, Timis, Anul 1992, Numar persoane,74
 155724 BEBA VECHE,15-19 ani, Masculin, Timis, Anul 1993, Numar persoane,80
 155724 BEBA VECHE,15-19 ani, Masculin, Timis, Anul 1994, Numar persoane,80
 155724 BEBA VECHE,15-19 ani, Masculin, Timis, Anul 1995, Numar persoane,69
 155724 BEBA VECHE,15-19 ani, Masculin, Timis, Anul 1996, Numar persoane,66
 155724 BEBA VECHE,15-19 ani, Masculin, Timis, Anul 1997, Numar persoane,57
 155724 BEBA VECHE,15-19 ani, Masculin, Timis, Anul 1998, Numar persoane,52
 155724 BEBA VECHE,15-19 ani, Feminin, Timis, Anul 1992, Numar persoane,72
 155724 BEBA VECHE,15-19 ani, Feminin, Timis, Anul 1993, Numar persoane,71
 155724 BEBA VECHE,15-19 ani, Feminin, Timis, Anul 1994, Numar persoane,69
 155724 BEBA VECHE,15-19 ani, Feminin, Timis, Anul 1995, Numar persoane,64
 155724 BEBA VECHE,15-19 ani, Feminin, Timis, Anul 1996, Numar persoane,66
 155724 BEBA VECHE,15-19 ani, Feminin, Timis, Anul 1997, Numar persoane,62
 155724 BEBA VECHE,15-19 ani, Feminin, Timis, Anul 1998, Numar persoane,54
 155724 BEBA VECHE,20-24 ani, Masculin, Timis, Anul 1992, Numar persoane,76
 155724 BEBA VECHE,20-24 ani, Masculin, Timis, Anul 1993, Numar persoane,74
 155724 BEBA VECHE,20-24 ani, Masculin, Timis, Anul 1994, Numar persoane,70
 155724 BEBA VECHE,20-24 ani, Masculin, Timis, Anul 1995, Numar persoane,71
 155724 BEBA VECHE,20-24 ani, Masculin, Timis, Anul 1996, Numar persoane,70
 155724 BEBA VECHE,20-24 ani, Masculin, Timis, Anul 1997, Numar persoane,75
 155724 BEBA VECHE,20-24 ani, Masculin, Timis, Anul 1998, Numar persoane,78
 155724 BEBA VECHE,20-24 ani, Feminin, Timis, Anul 1992, Numar persoane,87
 155724 BEBA VECHE,20-24 ani, Feminin, Timis, Anul 1993, Numar persoane,86
 155724 BEBA VECHE,20-24 ani, Feminin, Timis, Anul 1994, Numar persoane,79
 155724 BEBA VECHE,20-24 ani, Feminin, Timis, Anul 1995, Numar persoane,85
 155724 BEBA VECHE,20-24 ani, Feminin, Timis, Anul 1996, Numar persoane,86
 155724 BEBA VECHE,20-24 ani, Feminin, Timis, Anul 1997, Numar persoane,81
 155724 BEBA VECHE,20-24 ani, Feminin, Timis, Anul 1998, Numar persoane,75
 155724 BEBA VECHE,25-29 ani, Masculin, Timis, Anul 1992, Numar persoane,59
 155724 BEBA VECHE,25-29 ani, Masculin, Timis, Anul 1993, Numar persoane,62
 155724 BEBA VECHE,25-29 ani, Masculin, Timis, Anul 1994, Numar persoane,61
 155724 BEBA VECHE,25-29 ani, Masculin, Timis, Anul 1995, Numar persoane,73
 155724 BEBA VECHE,25-29 ani, Masculin, Timis, Anul 1996, Numar persoane,80
 155724 BEBA VECHE,25-29 ani, Masculin, Timis, Anul 1997, Numar persoane,79
 155724 BEBA VECHE,25-29 ani, Masculin, Timis, Anul 1998, Numar persoane,80
 155724 BEBA VECHE,25-29 ani, Feminin, Timis, Anul 1992, Numar persoane,38
 155724 BEBA VECHE,25-29 ani, Feminin, Timis, Anul 1993, Numar persoane,40
 155724 BEBA VECHE,25-29 ani, Feminin, Timis, Anul 1994, Numar persoane,56
 155724 BEBA VECHE,25-29 ani, Feminin, Timis, Anul 1995, Numar persoane,56
 155724 BEBA VECHE,25-29 ani, Feminin, Timis, Anul 1996, Numar persoane,53
 155724 BEBA VECHE,25-29 ani, Feminin, Timis, Anul 1997, Numar persoane,71
 155724 BEBA VECHE,25-29 ani, Feminin, Timis, Anul 1998, Numar persoane,79
 155724 BEBA VECHE,30-34 ani, Masculin, Timis, Anul 1992, Numar persoane,55
 155724 BEBA VECHE,30-34 ani, Masculin, Timis, Anul 1993, Numar persoane,54
 155724 BEBA VECHE,30-34 ani, Masculin, Timis, Anul 1994, Numar persoane,50
 155724 BEBA VECHE,30-34 ani, Masculin, Timis, Anul 1995, Numar persoane,53
 155724 BEBA VECHE,30-34 ani, Masculin, Timis, Anul 1996, Numar persoane,53
 155724 BEBA VECHE,30-34 ani, Masculin, Timis, Anul 1997, Numar persoane,56
 155724 BEBA VECHE,30-34 ani, Masculin, Timis, Anul 1998, Numar persoane,62
 155724 BEBA VECHE,30-34 ani, Feminin, Timis, Anul 1992, Numar persoane,38
 155724 BEBA VECHE,30-34 ani, Feminin, Timis, Anul 1993, Numar persoane,43
 155724 BEBA VECHE,30-34 ani, Feminin, Timis, Anul 1994, Numar persoane,38
 155724 BEBA VECHE,30-34 ani, Feminin, Timis, Anul 1995, Numar persoane,38
 155724 BEBA VECHE,30-34 ani, Feminin, Timis, Anul 1996, Numar persoane,40
 155724 BEBA VECHE,30-34 ani, Feminin, Timis, Anul 1997, Numar persoane,37
 155724 BEBA VECHE,30-34 ani, Feminin, Timis, Anul 1998, Numar persoane,37
 155724 BEBA VECHE,35-39 ani, Masculin, Timis, Anul 1992, Numar persoane,47
 155724 BEBA VECHE,35-39 ani, Masculin, Timis, Anul 1993, Numar persoane,51
 155724 BEBA VECHE,35-39 ani, Masculin, Timis, Anul 1994, Numar persoane,60
 155724 BEBA VECHE,35-39 ani, Masculin, Timis, Anul 1995, Numar persoane,50
 155724 BEBA VECHE,35-39 ani, Masculin, Timis, Anul 1996, Numar persoane,48
 155724 BEBA VECHE,35-39 ani, Masculin, Timis, Anul 1997, Numar persoane,50
 155724 BEBA VECHE,35-39 ani, Masculin, Timis, Anul 1998, Numar persoane,48
 155724 BEBA VECHE,35-39 ani, Feminin, Timis, Anul 1992, Numar persoane,47
 155724 BEBA VECHE,35-39 ani, Feminin, Timis, Anul 1993, Numar persoane,44
 155724 BEBA VECHE,35-39 ani, Feminin, Timis, Anul 1994, Numar persoane,38
 155724 BEBA VECHE,35-39 ani, Feminin, Timis, Anul 1995, Numar persoane,39
 155724 BEBA VECHE,35-39 ani, Feminin, Timis, Anul 1996, Numar persoane,39
