 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 155840 BETHAUSEN,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,77
 155840 BETHAUSEN,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,83
 155840 BETHAUSEN,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,85
 155840 BETHAUSEN,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,83
 155840 BETHAUSEN,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,76
 155840 BETHAUSEN,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,82
 155840 BETHAUSEN,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,83
 155840 BETHAUSEN,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,116
 155840 BETHAUSEN,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,106
 155840 BETHAUSEN,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,103
 155840 BETHAUSEN,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,95
 155840 BETHAUSEN,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,83
 155840 BETHAUSEN,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,82
 155840 BETHAUSEN,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,78
 155840 BETHAUSEN,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,107
 155840 BETHAUSEN,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,100
 155840 BETHAUSEN,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,101
 155840 BETHAUSEN,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,101
 155840 BETHAUSEN,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,91
 155840 BETHAUSEN,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,83
 155840 BETHAUSEN,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,89
 155840 BETHAUSEN,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,91
