 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 156106 BOLDUR,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,60
 156106 BOLDUR,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,57
 156106 BOLDUR,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,56
 156106 BOLDUR,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,61
 156106 BOLDUR,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,56
 156106 BOLDUR,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,52
 156106 BOLDUR,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,52
 156106 BOLDUR,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,53
 156106 BOLDUR,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,55
 156106 BOLDUR,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,59
 156106 BOLDUR,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,64
 156106 BOLDUR,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,61
 156106 BOLDUR,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,58
 156106 BOLDUR,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,52
 156106 BOLDUR,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,55
 156106 BOLDUR,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,59
 156106 BOLDUR,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,58
 156106 BOLDUR,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,55
 156106 BOLDUR,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,58
 156106 BOLDUR,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,57
 156106 BOLDUR,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,58
 156106 BOLDUR,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,57
 156106 BOLDUR,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,60
 156106 BOLDUR,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,56
 156106 BOLDUR,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,51
 156106 BOLDUR,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,60
 156106 BOLDUR,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,61
 156106 BOLDUR,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,64
 156106 BOLDUR,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,57
 156106 BOLDUR,10-14 ani, Masculin, Timis, Anul 1993, Numar persoane,53
 156106 BOLDUR,10-14 ani, Masculin, Timis, Anul 1994, Numar persoane,56
 156106 BOLDUR,10-14 ani, Masculin, Timis, Anul 1995, Numar persoane,46
 156106 BOLDUR,10-14 ani, Masculin, Timis, Anul 1996, Numar persoane,49
 156106 BOLDUR,10-14 ani, Masculin, Timis, Anul 1997, Numar persoane,49
 156106 BOLDUR,10-14 ani, Masculin, Timis, Anul 1998, Numar persoane,51
 156106 BOLDUR,10-14 ani, Feminin, Timis, Anul 1992, Numar persoane,55
 156106 BOLDUR,10-14 ani, Feminin, Timis, Anul 1993, Numar persoane,49
 156106 BOLDUR,10-14 ani, Feminin, Timis, Anul 1994, Numar persoane,55
 156106 BOLDUR,10-14 ani, Feminin, Timis, Anul 1995, Numar persoane,59
 156106 BOLDUR,10-14 ani, Feminin, Timis, Anul 1996, Numar persoane,62
 156106 BOLDUR,10-14 ani, Feminin, Timis, Anul 1997, Numar persoane,60
 156106 BOLDUR,10-14 ani, Feminin, Timis, Anul 1998, Numar persoane,61
 156106 BOLDUR,15-19 ani, Masculin, Timis, Anul 1992, Numar persoane,65
 156106 BOLDUR,15-19 ani, Masculin, Timis, Anul 1993, Numar persoane,64
 156106 BOLDUR,15-19 ani, Masculin, Timis, Anul 1994, Numar persoane,59
 156106 BOLDUR,15-19 ani, Masculin, Timis, Anul 1995, Numar persoane,63
 156106 BOLDUR,15-19 ani, Masculin, Timis, Anul 1996, Numar persoane,59
 156106 BOLDUR,15-19 ani, Masculin, Timis, Anul 1997, Numar persoane,61
 156106 BOLDUR,15-19 ani, Masculin, Timis, Anul 1998, Numar persoane,53
 156106 BOLDUR,15-19 ani, Feminin, Timis, Anul 1992, Numar persoane,69
 156106 BOLDUR,15-19 ani, Feminin, Timis, Anul 1993, Numar persoane,71
 156106 BOLDUR,15-19 ani, Feminin, Timis, Anul 1994, Numar persoane,63
 156106 BOLDUR,15-19 ani, Feminin, Timis, Anul 1995, Numar persoane,58
 156106 BOLDUR,15-19 ani, Feminin, Timis, Anul 1996, Numar persoane,56
 156106 BOLDUR,15-19 ani, Feminin, Timis, Anul 1997, Numar persoane,65
 156106 BOLDUR,15-19 ani, Feminin, Timis, Anul 1998, Numar persoane,57
 156106 BOLDUR,20-24 ani, Masculin, Timis, Anul 1992, Numar persoane,96
 156106 BOLDUR,20-24 ani, Masculin, Timis, Anul 1993, Numar persoane,85
 156106 BOLDUR,20-24 ani, Masculin, Timis, Anul 1994, Numar persoane,76
 156106 BOLDUR,20-24 ani, Masculin, Timis, Anul 1995, Numar persoane,73
 156106 BOLDUR,20-24 ani, Masculin, Timis, Anul 1996, Numar persoane,72
 156106 BOLDUR,20-24 ani, Masculin, Timis, Anul 1997, Numar persoane,74
 156106 BOLDUR,20-24 ani, Masculin, Timis, Anul 1998, Numar persoane,71
 156106 BOLDUR,20-24 ani, Feminin, Timis, Anul 1992, Numar persoane,64
 156106 BOLDUR,20-24 ani, Feminin, Timis, Anul 1993, Numar persoane,60
 156106 BOLDUR,20-24 ani, Feminin, Timis, Anul 1994, Numar persoane,62
 156106 BOLDUR,20-24 ani, Feminin, Timis, Anul 1995, Numar persoane,80
 156106 BOLDUR,20-24 ani, Feminin, Timis, Anul 1996, Numar persoane,87
 156106 BOLDUR,20-24 ani, Feminin, Timis, Anul 1997, Numar persoane,75
 156106 BOLDUR,20-24 ani, Feminin, Timis, Anul 1998, Numar persoane,87
 156106 BOLDUR,25-29 ani, Masculin, Timis, Anul 1992, Numar persoane,46
 156106 BOLDUR,25-29 ani, Masculin, Timis, Anul 1993, Numar persoane,58
 156106 BOLDUR,25-29 ani, Masculin, Timis, Anul 1994, Numar persoane,68
 156106 BOLDUR,25-29 ani, Masculin, Timis, Anul 1995, Numar persoane,78
 156106 BOLDUR,25-29 ani, Masculin, Timis, Anul 1996, Numar persoane,82
 156106 BOLDUR,25-29 ani, Masculin, Timis, Anul 1997, Numar persoane,92
 156106 BOLDUR,25-29 ani, Masculin, Timis, Anul 1998, Numar persoane,87
 156106 BOLDUR,25-29 ani, Feminin, Timis, Anul 1992, Numar persoane,57
 156106 BOLDUR,25-29 ani, Feminin, Timis, Anul 1993, Numar persoane,57
 156106 BOLDUR,25-29 ani, Feminin, Timis, Anul 1994, Numar persoane,61
 156106 BOLDUR,25-29 ani, Feminin, Timis, Anul 1995, Numar persoane,58
 156106 BOLDUR,25-29 ani, Feminin, Timis, Anul 1996, Numar persoane,58
 156106 BOLDUR,25-29 ani, Feminin, Timis, Anul 1997, Numar persoane,70
 156106 BOLDUR,25-29 ani, Feminin, Timis, Anul 1998, Numar persoane,75
