 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 156259 CENAD,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,172
 156259 CENAD,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,163
 156259 CENAD,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,138
 156259 CENAD,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,123
 156259 CENAD,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,119
 156259 CENAD,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,111
 156259 CENAD,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,108
 156259 CENAD,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,170
 156259 CENAD,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,167
 156259 CENAD,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,148
 156259 CENAD,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,132
 156259 CENAD,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,136
 156259 CENAD,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,138
 156259 CENAD,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,133
 156259 CENAD,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,176
 156259 CENAD,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,168
 156259 CENAD,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,182
 156259 CENAD,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,193
 156259 CENAD,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,177
 156259 CENAD,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,176
 156259 CENAD,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,167
 156259 CENAD,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,153
 156259 CENAD,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,165
 156259 CENAD,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,176
 156259 CENAD,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,195
 156259 CENAD,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,189
 156259 CENAD,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,174
 156259 CENAD,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,172
 156259 CENAD,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,184
 156259 CENAD,10-14 ani, Masculin, Timis, Anul 1993, Numar persoane,183
 156259 CENAD,10-14 ani, Masculin, Timis, Anul 1994, Numar persoane,176
 156259 CENAD,10-14 ani, Masculin, Timis, Anul 1995, Numar persoane,161
 156259 CENAD,10-14 ani, Masculin, Timis, Anul 1996, Numar persoane,174
 156259 CENAD,10-14 ani, Masculin, Timis, Anul 1997, Numar persoane,177
 156259 CENAD,10-14 ani, Masculin, Timis, Anul 1998, Numar persoane,174
 156259 CENAD,10-14 ani, Feminin, Timis, Anul 1992, Numar persoane,146
 156259 CENAD,10-14 ani, Feminin, Timis, Anul 1993, Numar persoane,141
 156259 CENAD,10-14 ani, Feminin, Timis, Anul 1994, Numar persoane,138
 156259 CENAD,10-14 ani, Feminin, Timis, Anul 1995, Numar persoane,143
 156259 CENAD,10-14 ani, Feminin, Timis, Anul 1996, Numar persoane,145
 156259 CENAD,10-14 ani, Feminin, Timis, Anul 1997, Numar persoane,158
 156259 CENAD,10-14 ani, Feminin, Timis, Anul 1998, Numar persoane,164
 156259 CENAD,15-19 ani, Masculin, Timis, Anul 1992, Numar persoane,184
 156259 CENAD,15-19 ani, Masculin, Timis, Anul 1993, Numar persoane,200
 156259 CENAD,15-19 ani, Masculin, Timis, Anul 1994, Numar persoane,193
 156259 CENAD,15-19 ani, Masculin, Timis, Anul 1995, Numar persoane,199
 156259 CENAD,15-19 ani, Masculin, Timis, Anul 1996, Numar persoane,180
 156259 CENAD,15-19 ani, Masculin, Timis, Anul 1997, Numar persoane,181
 156259 CENAD,15-19 ani, Masculin, Timis, Anul 1998, Numar persoane,185
 156259 CENAD,15-19 ani, Feminin, Timis, Anul 1992, Numar persoane,165
 156259 CENAD,15-19 ani, Feminin, Timis, Anul 1993, Numar persoane,168
 156259 CENAD,15-19 ani, Feminin, Timis, Anul 1994, Numar persoane,172
 156259 CENAD,15-19 ani, Feminin, Timis, Anul 1995, Numar persoane,167
 156259 CENAD,15-19 ani, Feminin, Timis, Anul 1996, Numar persoane,159
 156259 CENAD,15-19 ani, Feminin, Timis, Anul 1997, Numar persoane,148
 156259 CENAD,15-19 ani, Feminin, Timis, Anul 1998, Numar persoane,148
 156259 CENAD,20-24 ani, Masculin, Timis, Anul 1992, Numar persoane,182
 156259 CENAD,20-24 ani, Masculin, Timis, Anul 1993, Numar persoane,168
 156259 CENAD,20-24 ani, Masculin, Timis, Anul 1994, Numar persoane,167
 156259 CENAD,20-24 ani, Masculin, Timis, Anul 1995, Numar persoane,173
 156259 CENAD,20-24 ani, Masculin, Timis, Anul 1996, Numar persoane,187
 156259 CENAD,20-24 ani, Masculin, Timis, Anul 1997, Numar persoane,190
 156259 CENAD,20-24 ani, Masculin, Timis, Anul 1998, Numar persoane,207
 156259 CENAD,20-24 ani, Feminin, Timis, Anul 1992, Numar persoane,181
 156259 CENAD,20-24 ani, Feminin, Timis, Anul 1993, Numar persoane,163
 156259 CENAD,20-24 ani, Feminin, Timis, Anul 1994, Numar persoane,158
 156259 CENAD,20-24 ani, Feminin, Timis, Anul 1995, Numar persoane,153
 156259 CENAD,20-24 ani, Feminin, Timis, Anul 1996, Numar persoane,147
 156259 CENAD,20-24 ani, Feminin, Timis, Anul 1997, Numar persoane,156
 156259 CENAD,20-24 ani, Feminin, Timis, Anul 1998, Numar persoane,166
 156259 CENAD,25-29 ani, Masculin, Timis, Anul 1992, Numar persoane,96
 156259 CENAD,25-29 ani, Masculin, Timis, Anul 1993, Numar persoane,115
 156259 CENAD,25-29 ani, Masculin, Timis, Anul 1994, Numar persoane,141
 156259 CENAD,25-29 ani, Masculin, Timis, Anul 1995, Numar persoane,151
 156259 CENAD,25-29 ani, Masculin, Timis, Anul 1996, Numar persoane,162
 156259 CENAD,25-29 ani, Masculin, Timis, Anul 1997, Numar persoane,180
 156259 CENAD,25-29 ani, Masculin, Timis, Anul 1998, Numar persoane,170
 156259 CENAD,25-29 ani, Feminin, Timis, Anul 1992, Numar persoane,103
 156259 CENAD,25-29 ani, Feminin, Timis, Anul 1993, Numar persoane,128
 156259 CENAD,25-29 ani, Feminin, Timis, Anul 1994, Numar persoane,138
 156259 CENAD,25-29 ani, Feminin, Timis, Anul 1995, Numar persoane,153
 156259 CENAD,25-29 ani, Feminin, Timis, Anul 1996, Numar persoane,172
 156259 CENAD,25-29 ani, Feminin, Timis, Anul 1997, Numar persoane,185
 156259 CENAD,25-29 ani, Feminin, Timis, Anul 1998, Numar persoane,170
 156259 CENAD,30-34 ani, Masculin, Timis, Anul 1992, Numar persoane,154
 156259 CENAD,30-34 ani, Masculin, Timis, Anul 1993, Numar persoane,139
 156259 CENAD,30-34 ani, Masculin, Timis, Anul 1994, Numar persoane,132
 156259 CENAD,30-34 ani, Masculin, Timis, Anul 1995, Numar persoane,117
 156259 CENAD,30-34 ani, Masculin, Timis, Anul 1996, Numar persoane,109
 156259 CENAD,30-34 ani, Masculin, Timis, Anul 1997, Numar persoane,103
 156259 CENAD,30-34 ani, Masculin, Timis, Anul 1998, Numar persoane,122
 156259 CENAD,30-34 ani, Feminin, Timis, Anul 1992, Numar persoane,140
 156259 CENAD,30-34 ani, Feminin, Timis, Anul 1993, Numar persoane,120
 156259 CENAD,30-34 ani, Feminin, Timis, Anul 1994, Numar persoane,112
 156259 CENAD,30-34 ani, Feminin, Timis, Anul 1995, Numar persoane,99
 156259 CENAD,30-34 ani, Feminin, Timis, Anul 1996, Numar persoane,98
 156259 CENAD,30-34 ani, Feminin, Timis, Anul 1997, Numar persoane,100
 156259 CENAD,30-34 ani, Feminin, Timis, Anul 1998, Numar persoane,131
 156259 CENAD,35-39 ani, Masculin, Timis, Anul 1992, Numar persoane,154
 156259 CENAD,35-39 ani, Masculin, Timis, Anul 1993, Numar persoane,153
 156259 CENAD,35-39 ani, Masculin, Timis, Anul 1994, Numar persoane,158
 156259 CENAD,35-39 ani, Masculin, Timis, Anul 1995, Numar persoane,158
 156259 CENAD,35-39 ani, Masculin, Timis, Anul 1996, Numar persoane,150
 156259 CENAD,35-39 ani, Masculin, Timis, Anul 1997, Numar persoane,142
 156259 CENAD,35-39 ani, Masculin, Timis, Anul 1998, Numar persoane,142
 156259 CENAD,35-39 ani, Feminin, Timis, Anul 1992, Numar persoane,130
 156259 CENAD,35-39 ani, Feminin, Timis, Anul 1993, Numar persoane,148
 156259 CENAD,35-39 ani, Feminin, Timis, Anul 1994, Numar persoane,151
 156259 CENAD,35-39 ani, Feminin, Timis, Anul 1995, Numar persoane,149
 156259 CENAD,35-39 ani, Feminin, Timis, Anul 1996, Numar persoane,150
 156259 CENAD,35-39 ani, Feminin, Timis, Anul 1997, Numar persoane,142
 156259 CENAD,35-39 ani, Feminin, Timis, Anul 1998, Numar persoane,126
 156259 CENAD,40-44 ani, Masculin, Timis, Anul 1992, Numar persoane,138
 156259 CENAD,40-44 ani, Masculin, Timis, Anul 1993, Numar persoane,140
 156259 CENAD,40-44 ani, Masculin, Timis, Anul 1994, Numar persoane,138
 156259 CENAD,40-44 ani, Masculin, Timis, Anul 1995, Numar persoane,149
 156259 CENAD,40-44 ani, Masculin, Timis, Anul 1996, Numar persoane,153
 156259 CENAD,40-44 ani, Masculin, Timis, Anul 1997, Numar persoane,155
 156259 CENAD,40-44 ani, Masculin, Timis, Anul 1998, Numar persoane,152
