 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 156277 CENEI,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,181
 156277 CENEI,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,169
 156277 CENEI,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,161
 156277 CENEI,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,125
 156277 CENEI,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,122
 156277 CENEI,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,118
 156277 CENEI,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,128
 156277 CENEI,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,184
 156277 CENEI,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,175
 156277 CENEI,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,162
 156277 CENEI,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,150
 156277 CENEI,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,123
 156277 CENEI,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,123
 156277 CENEI,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,125
 156277 CENEI,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,197
 156277 CENEI,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,198
 156277 CENEI,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,203
 156277 CENEI,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,212
 156277 CENEI,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,202
 156277 CENEI,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,182
 156277 CENEI,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,166
 156277 CENEI,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,171
 156277 CENEI,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,180
 156277 CENEI,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,186
 156277 CENEI,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,196
 156277 CENEI,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,201
 156277 CENEI,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,190
 156277 CENEI,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,175
 156277 CENEI,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,169
 156277 CENEI,10-14 ani, Masculin, Timis, Anul 1993, Numar persoane,167
 156277 CENEI,10-14 ani, Masculin, Timis, Anul 1994, Numar persoane,163
 156277 CENEI,10-14 ani, Masculin, Timis, Anul 1995, Numar persoane,179
 156277 CENEI,10-14 ani, Masculin, Timis, Anul 1996, Numar persoane,181
 156277 CENEI,10-14 ani, Masculin, Timis, Anul 1997, Numar persoane,195
 156277 CENEI,10-14 ani, Masculin, Timis, Anul 1998, Numar persoane,199
 156277 CENEI,10-14 ani, Feminin, Timis, Anul 1992, Numar persoane,181
 156277 CENEI,10-14 ani, Feminin, Timis, Anul 1993, Numar persoane,170
 156277 CENEI,10-14 ani, Feminin, Timis, Anul 1994, Numar persoane,159
 156277 CENEI,10-14 ani, Feminin, Timis, Anul 1995, Numar persoane,151
 156277 CENEI,10-14 ani, Feminin, Timis, Anul 1996, Numar persoane,152
 156277 CENEI,10-14 ani, Feminin, Timis, Anul 1997, Numar persoane,169
 156277 CENEI,10-14 ani, Feminin, Timis, Anul 1998, Numar persoane,183
 156277 CENEI,15-19 ani, Masculin, Timis, Anul 1992, Numar persoane,171
 156277 CENEI,15-19 ani, Masculin, Timis, Anul 1993, Numar persoane,180
 156277 CENEI,15-19 ani, Masculin, Timis, Anul 1994, Numar persoane,184
 156277 CENEI,15-19 ani, Masculin, Timis, Anul 1995, Numar persoane,162
 156277 CENEI,15-19 ani, Masculin, Timis, Anul 1996, Numar persoane,165
 156277 CENEI,15-19 ani, Masculin, Timis, Anul 1997, Numar persoane,174
 156277 CENEI,15-19 ani, Masculin, Timis, Anul 1998, Numar persoane,180
 156277 CENEI,15-19 ani, Feminin, Timis, Anul 1992, Numar persoane,140
 156277 CENEI,15-19 ani, Feminin, Timis, Anul 1993, Numar persoane,159
 156277 CENEI,15-19 ani, Feminin, Timis, Anul 1994, Numar persoane,174
 156277 CENEI,15-19 ani, Feminin, Timis, Anul 1995, Numar persoane,190
 156277 CENEI,15-19 ani, Feminin, Timis, Anul 1996, Numar persoane,196
 156277 CENEI,15-19 ani, Feminin, Timis, Anul 1997, Numar persoane,189
 156277 CENEI,15-19 ani, Feminin, Timis, Anul 1998, Numar persoane,176
 156277 CENEI,20-24 ani, Masculin, Timis, Anul 1992, Numar persoane,209
 156277 CENEI,20-24 ani, Masculin, Timis, Anul 1993, Numar persoane,185
 156277 CENEI,20-24 ani, Masculin, Timis, Anul 1994, Numar persoane,165
 156277 CENEI,20-24 ani, Masculin, Timis, Anul 1995, Numar persoane,176
 156277 CENEI,20-24 ani, Masculin, Timis, Anul 1996, Numar persoane,176
 156277 CENEI,20-24 ani, Masculin, Timis, Anul 1997, Numar persoane,180
 156277 CENEI,20-24 ani, Masculin, Timis, Anul 1998, Numar persoane,189
 156277 CENEI,20-24 ani, Feminin, Timis, Anul 1992, Numar persoane,225
 156277 CENEI,20-24 ani, Feminin, Timis, Anul 1993, Numar persoane,206
 156277 CENEI,20-24 ani, Feminin, Timis, Anul 1994, Numar persoane,193
 156277 CENEI,20-24 ani, Feminin, Timis, Anul 1995, Numar persoane,174
 156277 CENEI,20-24 ani, Feminin, Timis, Anul 1996, Numar persoane,162
 156277 CENEI,20-24 ani, Feminin, Timis, Anul 1997, Numar persoane,163
 156277 CENEI,20-24 ani, Feminin, Timis, Anul 1998, Numar persoane,175
 156277 CENEI,25-29 ani, Masculin, Timis, Anul 1992, Numar persoane,124
 156277 CENEI,25-29 ani, Masculin, Timis, Anul 1993, Numar persoane,143
 156277 CENEI,25-29 ani, Masculin, Timis, Anul 1994, Numar persoane,175
 156277 CENEI,25-29 ani, Masculin, Timis, Anul 1995, Numar persoane,189
 156277 CENEI,25-29 ani, Masculin, Timis, Anul 1996, Numar persoane,201
 156277 CENEI,25-29 ani, Masculin, Timis, Anul 1997, Numar persoane,207
 156277 CENEI,25-29 ani, Masculin, Timis, Anul 1998, Numar persoane,190
 156277 CENEI,25-29 ani, Feminin, Timis, Anul 1992, Numar persoane,107
 156277 CENEI,25-29 ani, Feminin, Timis, Anul 1993, Numar persoane,148
 156277 CENEI,25-29 ani, Feminin, Timis, Anul 1994, Numar persoane,167
 156277 CENEI,25-29 ani, Feminin, Timis, Anul 1995, Numar persoane,186
 156277 CENEI,25-29 ani, Feminin, Timis, Anul 1996, Numar persoane,201
 156277 CENEI,25-29 ani, Feminin, Timis, Anul 1997, Numar persoane,225
 156277 CENEI,25-29 ani, Feminin, Timis, Anul 1998, Numar persoane,213
 156277 CENEI,30-34 ani, Masculin, Timis, Anul 1992, Numar persoane,162
 156277 CENEI,30-34 ani, Masculin, Timis, Anul 1993, Numar persoane,163
 156277 CENEI,30-34 ani, Masculin, Timis, Anul 1994, Numar persoane,153
 156277 CENEI,30-34 ani, Masculin, Timis, Anul 1995, Numar persoane,142
 156277 CENEI,30-34 ani, Masculin, Timis, Anul 1996, Numar persoane,143
 156277 CENEI,30-34 ani, Masculin, Timis, Anul 1997, Numar persoane,139
 156277 CENEI,30-34 ani, Masculin, Timis, Anul 1998, Numar persoane,159
 156277 CENEI,30-34 ani, Feminin, Timis, Anul 1992, Numar persoane,126
 156277 CENEI,30-34 ani, Feminin, Timis, Anul 1993, Numar persoane,112
 156277 CENEI,30-34 ani, Feminin, Timis, Anul 1994, Numar persoane,111
 156277 CENEI,30-34 ani, Feminin, Timis, Anul 1995, Numar persoane,102
 156277 CENEI,30-34 ani, Feminin, Timis, Anul 1996, Numar persoane,110
 156277 CENEI,30-34 ani, Feminin, Timis, Anul 1997, Numar persoane,103
 156277 CENEI,30-34 ani, Feminin, Timis, Anul 1998, Numar persoane,141
 156277 CENEI,35-39 ani, Masculin, Timis, Anul 1992, Numar persoane,145
 156277 CENEI,35-39 ani, Masculin, Timis, Anul 1993, Numar persoane,144
 156277 CENEI,35-39 ani, Masculin, Timis, Anul 1994, Numar persoane,148
 156277 CENEI,35-39 ani, Masculin, Timis, Anul 1995, Numar persoane,147
 156277 CENEI,35-39 ani, Masculin, Timis, Anul 1996, Numar persoane,149
 156277 CENEI,35-39 ani, Masculin, Timis, Anul 1997, Numar persoane,162
 156277 CENEI,35-39 ani, Masculin, Timis, Anul 1998, Numar persoane,150
 156277 CENEI,35-39 ani, Feminin, Timis, Anul 1992, Numar persoane,122
 156277 CENEI,35-39 ani, Feminin, Timis, Anul 1993, Numar persoane,125
 156277 CENEI,35-39 ani, Feminin, Timis, Anul 1994, Numar persoane,131
 156277 CENEI,35-39 ani, Feminin, Timis, Anul 1995, Numar persoane,137
 156277 CENEI,35-39 ani, Feminin, Timis, Anul 1996, Numar persoane,132
 156277 CENEI,35-39 ani, Feminin, Timis, Anul 1997, Numar persoane,128
 156277 CENEI,35-39 ani, Feminin, Timis, Anul 1998, Numar persoane,118
 156277 CENEI,40-44 ani, Masculin, Timis, Anul 1992, Numar persoane,119
 156277 CENEI,40-44 ani, Masculin, Timis, Anul 1993, Numar persoane,126
 156277 CENEI,40-44 ani, Masculin, Timis, Anul 1994, Numar persoane,133
 156277 CENEI,40-44 ani, Masculin, Timis, Anul 1995, Numar persoane,138
 156277 CENEI,40-44 ani, Masculin, Timis, Anul 1996, Numar persoane,138
 156277 CENEI,40-44 ani, Masculin, Timis, Anul 1997, Numar persoane,146
 156277 CENEI,40-44 ani, Masculin, Timis, Anul 1998, Numar persoane,158
 156277 CENEI,40-44 ani, Feminin, Timis, Anul 1992, Numar persoane,117
 156277 CENEI,40-44 ani, Feminin, Timis, Anul 1993, Numar persoane,113
 156277 CENEI,40-44 ani, Feminin, Timis, Anul 1994, Numar persoane,118
 156277 CENEI,40-44 ani, Feminin, Timis, Anul 1995, Numar persoane,115
 156277 CENEI,40-44 ani, Feminin, Timis, Anul 1996, Numar persoane,120
 156277 CENEI,40-44 ani, Feminin, Timis, Anul 1997, Numar persoane,123
 156277 CENEI,40-44 ani, Feminin, Timis, Anul 1998, Numar persoane,132
 156277 CENEI,45-49 ani, Masculin, Timis, Anul 1992, Numar persoane,112
 156277 CENEI,45-49 ani, Masculin, Timis, Anul 1993, Numar persoane,109
 156277 CENEI,45-49 ani, Masculin, Timis, Anul 1994, Numar persoane,109
 156277 CENEI,45-49 ani, Masculin, Timis, Anul 1995, Numar persoane,109
 156277 CENEI,45-49 ani, Masculin, Timis, Anul 1996, Numar persoane,116
 156277 CENEI,45-49 ani, Masculin, Timis, Anul 1997, Numar persoane,115
 156277 CENEI,45-49 ani, Masculin, Timis, Anul 1998, Numar persoane,115
 156277 CENEI,45-49 ani, Feminin, Timis, Anul 1992, Numar persoane,109
 156277 CENEI,45-49 ani, Feminin, Timis, Anul 1993, Numar persoane,101
 156277 CENEI,45-49 ani, Feminin, Timis, Anul 1994, Numar persoane,106
 156277 CENEI,45-49 ani, Feminin, Timis, Anul 1995, Numar persoane,111
 156277 CENEI,45-49 ani, Feminin, Timis, Anul 1996, Numar persoane,120
 156277 CENEI,45-49 ani, Feminin, Timis, Anul 1997, Numar persoane,116
 156277 CENEI,45-49 ani, Feminin, Timis, Anul 1998, Numar persoane,115
 156277 CENEI,50-54 ani, Masculin, Timis, Anul 1992, Numar persoane,141
 156277 CENEI,50-54 ani, Masculin, Timis, Anul 1993, Numar persoane,142
 156277 CENEI,50-54 ani, Masculin, Timis, Anul 1994, Numar persoane,137
 156277 CENEI,50-54 ani, Masculin, Timis, Anul 1995, Numar persoane,127
 156277 CENEI,50-54 ani, Masculin, Timis, Anul 1996, Numar persoane,119
 156277 CENEI,50-54 ani, Masculin, Timis, Anul 1997, Numar persoane,101
 156277 CENEI,50-54 ani, Masculin, Timis, Anul 1998, Numar persoane,105
 156277 CENEI,50-54 ani, Feminin, Timis, Anul 1992, Numar persoane,153
 156277 CENEI,50-54 ani, Feminin, Timis, Anul 1993, Numar persoane,149
 156277 CENEI,50-54 ani, Feminin, Timis, Anul 1994, Numar persoane,133
 156277 CENEI,50-54 ani, Feminin, Timis, Anul 1995, Numar persoane,125
 156277 CENEI,50-54 ani, Feminin, Timis, Anul 1996, Numar persoane,120
 156277 CENEI,50-54 ani, Feminin, Timis, Anul 1997, Numar persoane,114
 156277 CENEI,50-54 ani, Feminin, Timis, Anul 1998, Numar persoane,105
 156277 CENEI,55-59 ani, Masculin, Timis, Anul 1992, Numar persoane,141
 156277 CENEI,55-59 ani, Masculin, Timis, Anul 1993, Numar persoane,122
 156277 CENEI,55-59 ani, Masculin, Timis, Anul 1994, Numar persoane,110
 156277 CENEI,55-59 ani, Masculin, Timis, Anul 1995, Numar persoane,122
 156277 CENEI,55-59 ani, Masculin, Timis, Anul 1996, Numar persoane,118
 156277 CENEI,55-59 ani, Masculin, Timis, Anul 1997, Numar persoane,128
 156277 CENEI,55-59 ani, Masculin, Timis, Anul 1998, Numar persoane,123
 156277 CENEI,55-59 ani, Feminin, Timis, Anul 1992, Numar persoane,176
 156277 CENEI,55-59 ani, Feminin, Timis, Anul 1993, Numar persoane,164
 156277 CENEI,55-59 ani, Feminin, Timis, Anul 1994, Numar persoane,163
 156277 CENEI,55-59 ani, Feminin, Timis, Anul 1995, Numar persoane,163
 156277 CENEI,55-59 ani, Feminin, Timis, Anul 1996, Numar persoane,158
 156277 CENEI,55-59 ani, Feminin, Timis, Anul 1997, Numar persoane,149
 156277 CENEI,55-59 ani, Feminin, Timis, Anul 1998, Numar persoane,144
 156277 CENEI,60-64 ani, Masculin, Timis, Anul 1992, Numar persoane,174
 156277 CENEI,60-64 ani, Masculin, Timis, Anul 1993, Numar persoane,174
 156277 CENEI,60-64 ani, Masculin, Timis, Anul 1994, Numar persoane,170
 156277 CENEI,60-64 ani, Masculin, Timis, Anul 1995, Numar persoane,147
 156277 CENEI,60-64 ani, Masculin, Timis, Anul 1996, Numar persoane,135
 156277 CENEI,60-64 ani, Masculin, Timis, Anul 1997, Numar persoane,124
 156277 CENEI,60-64 ani, Masculin, Timis, Anul 1998, Numar persoane,112
 156277 CENEI,60-64 ani, Feminin, Timis, Anul 1992, Numar persoane,172
 156277 CENEI,60-64 ani, Feminin, Timis, Anul 1993, Numar persoane,184
 156277 CENEI,60-64 ani, Feminin, Timis, Anul 1994, Numar persoane,185
 156277 CENEI,60-64 ani, Feminin, Timis, Anul 1995, Numar persoane,181
 156277 CENEI,60-64 ani, Feminin, Timis, Anul 1996, Numar persoane,169
 156277 CENEI,60-64 ani, Feminin, Timis, Anul 1997, Numar persoane,171
 156277 CENEI,60-64 ani, Feminin, Timis, Anul 1998, Numar persoane,161
 156277 CENEI,65-69 ani, Masculin, Timis, Anul 1992, Numar persoane,96
 156277 CENEI,65-69 ani, Masculin, Timis, Anul 1993, Numar persoane,102
 156277 CENEI,65-69 ani, Masculin, Timis, Anul 1994, Numar persoane,107
 156277 CENEI,65-69 ani, Masculin, Timis, Anul 1995, Numar persoane,116
 156277 CENEI,65-69 ani, Masculin, Timis, Anul 1996, Numar persoane,136
 156277 CENEI,65-69 ani, Masculin, Timis, Anul 1997, Numar persoane,142
 156277 CENEI,65-69 ani, Masculin, Timis, Anul 1998, Numar persoane,141
 156277 CENEI,65-69 ani, Feminin, Timis, Anul 1992, Numar persoane,157
 156277 CENEI,65-69 ani, Feminin, Timis, Anul 1993, Numar persoane,163
 156277 CENEI,65-69 ani, Feminin, Timis, Anul 1994, Numar persoane,170
 156277 CENEI,65-69 ani, Feminin, Timis, Anul 1995, Numar persoane,165
 156277 CENEI,65-69 ani, Feminin, Timis, Anul 1996, Numar persoane,162
 156277 CENEI,65-69 ani, Feminin, Timis, Anul 1997, Numar persoane,159
 156277 CENEI,65-69 ani, Feminin, Timis, Anul 1998, Numar persoane,168
 156277 CENEI,70-74 ani, Masculin, Timis, Anul 1992, Numar persoane,57
 156277 CENEI,70-74 ani, Masculin, Timis, Anul 1993, Numar persoane,68
 156277 CENEI,70-74 ani, Masculin, Timis, Anul 1994, Numar persoane,72
 156277 CENEI,70-74 ani, Masculin, Timis, Anul 1995, Numar persoane,82
 156277 CENEI,70-74 ani, Masculin, Timis, Anul 1996, Numar persoane,66
 156277 CENEI,70-74 ani, Masculin, Timis, Anul 1997, Numar persoane,60
 156277 CENEI,70-74 ani, Masculin, Timis, Anul 1998, Numar persoane,67
 156277 CENEI,70-74 ani, Feminin, Timis, Anul 1992, Numar persoane,91
 156277 CENEI,70-74 ani, Feminin, Timis, Anul 1993, Numar persoane,101
 156277 CENEI,70-74 ani, Feminin, Timis, Anul 1994, Numar persoane,112
 156277 CENEI,70-74 ani, Feminin, Timis, Anul 1995, Numar persoane,124
 156277 CENEI,70-74 ani, Feminin, Timis, Anul 1996, Numar persoane,126
 156277 CENEI,70-74 ani, Feminin, Timis, Anul 1997, Numar persoane,128
 156277 CENEI,70-74 ani, Feminin, Timis, Anul 1998, Numar persoane,130
 156277 CENEI,75-79 ani, Masculin, Timis, Anul 1992, Numar persoane,39
 156277 CENEI,75-79 ani, Masculin, Timis, Anul 1993, Numar persoane,34
 156277 CENEI,75-79 ani, Masculin, Timis, Anul 1994, Numar persoane,30
 156277 CENEI,75-79 ani, Masculin, Timis, Anul 1995, Numar persoane,19
 156277 CENEI,75-79 ani, Masculin, Timis, Anul 1996, Numar persoane,31
 156277 CENEI,75-79 ani, Masculin, Timis, Anul 1997, Numar persoane,36
 156277 CENEI,75-79 ani, Masculin, Timis, Anul 1998, Numar persoane,38
 156277 CENEI,75-79 ani, Feminin, Timis, Anul 1992, Numar persoane,70
 156277 CENEI,75-79 ani, Feminin, Timis, Anul 1993, Numar persoane,50
 156277 CENEI,75-79 ani, Feminin, Timis, Anul 1994, Numar persoane,39
 156277 CENEI,75-79 ani, Feminin, Timis, Anul 1995, Numar persoane,37
 156277 CENEI,75-79 ani, Feminin, Timis, Anul 1996, Numar persoane,54
