 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 156437 COMLOSU MARE,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,244
 156437 COMLOSU MARE,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,230
 156437 COMLOSU MARE,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,208
 156437 COMLOSU MARE,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,197
 156437 COMLOSU MARE,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,178
 156437 COMLOSU MARE,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,190
 156437 COMLOSU MARE,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,181
 156437 COMLOSU MARE,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,211
 156437 COMLOSU MARE,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,186
 156437 COMLOSU MARE,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,188
 156437 COMLOSU MARE,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,198
 156437 COMLOSU MARE,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,189
 156437 COMLOSU MARE,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,189
 156437 COMLOSU MARE,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,189
 156437 COMLOSU MARE,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,196
 156437 COMLOSU MARE,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,228
 156437 COMLOSU MARE,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,244
 156437 COMLOSU MARE,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,263
 156437 COMLOSU MARE,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,263
 156437 COMLOSU MARE,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,256
 156437 COMLOSU MARE,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,237
 156437 COMLOSU MARE,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,209
 156437 COMLOSU MARE,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,241
 156437 COMLOSU MARE,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,255
 156437 COMLOSU MARE,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,244
 156437 COMLOSU MARE,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,258
 156437 COMLOSU MARE,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,231
 156437 COMLOSU MARE,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,206
 156437 COMLOSU MARE,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,194
 156437 COMLOSU MARE,10-14 ani, Masculin, Timis, Anul 1993, Numar persoane,200
 156437 COMLOSU MARE,10-14 ani, Masculin, Timis, Anul 1994, Numar persoane,196
 156437 COMLOSU MARE,10-14 ani, Masculin, Timis, Anul 1995, Numar persoane,201
 156437 COMLOSU MARE,10-14 ani, Masculin, Timis, Anul 1996, Numar persoane,200
 156437 COMLOSU MARE,10-14 ani, Masculin, Timis, Anul 1997, Numar persoane,207
 156437 COMLOSU MARE,10-14 ani, Masculin, Timis, Anul 1998, Numar persoane,221
 156437 COMLOSU MARE,10-14 ani, Feminin, Timis, Anul 1992, Numar persoane,166
 156437 COMLOSU MARE,10-14 ani, Feminin, Timis, Anul 1993, Numar persoane,170
 156437 COMLOSU MARE,10-14 ani, Feminin, Timis, Anul 1994, Numar persoane,174
 156437 COMLOSU MARE,10-14 ani, Feminin, Timis, Anul 1995, Numar persoane,185
 156437 COMLOSU MARE,10-14 ani, Feminin, Timis, Anul 1996, Numar persoane,194
 156437 COMLOSU MARE,10-14 ani, Feminin, Timis, Anul 1997, Numar persoane,222
 156437 COMLOSU MARE,10-14 ani, Feminin, Timis, Anul 1998, Numar persoane,247
 156437 COMLOSU MARE,15-19 ani, Masculin, Timis, Anul 1992, Numar persoane,198
 156437 COMLOSU MARE,15-19 ani, Masculin, Timis, Anul 1993, Numar persoane,220
 156437 COMLOSU MARE,15-19 ani, Masculin, Timis, Anul 1994, Numar persoane,218
 156437 COMLOSU MARE,15-19 ani, Masculin, Timis, Anul 1995, Numar persoane,203
 156437 COMLOSU MARE,15-19 ani, Masculin, Timis, Anul 1996, Numar persoane,216
 156437 COMLOSU MARE,15-19 ani, Masculin, Timis, Anul 1997, Numar persoane,204
 156437 COMLOSU MARE,15-19 ani, Masculin, Timis, Anul 1998, Numar persoane,205
