 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 156623 DAROVA,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,133
 156623 DAROVA,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,136
 156623 DAROVA,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,139
 156623 DAROVA,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,141
 156623 DAROVA,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,147
 156623 DAROVA,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,132
 156623 DAROVA,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,137
 156623 DAROVA,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,115
 156623 DAROVA,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,136
 156623 DAROVA,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,131
 156623 DAROVA,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,149
 156623 DAROVA,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,145
 156623 DAROVA,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,138
 156623 DAROVA,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,121
 156623 DAROVA,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,121
 156623 DAROVA,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,135
 156623 DAROVA,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,138
 156623 DAROVA,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,151
 156623 DAROVA,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,158
 156623 DAROVA,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,153
 156623 DAROVA,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,155
 156623 DAROVA,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,94
 156623 DAROVA,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,108
 156623 DAROVA,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,117
 156623 DAROVA,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,118
 156623 DAROVA,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,127
 156623 DAROVA,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,129
 156623 DAROVA,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,144
 156623 DAROVA,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,98
 156623 DAROVA,10-14 ani, Masculin, Timis, Anul 1993, Numar persoane,102
 156623 DAROVA,10-14 ani, Masculin, Timis, Anul 1994, Numar persoane,113
 156623 DAROVA,10-14 ani, Masculin, Timis, Anul 1995, Numar persoane,121
 156623 DAROVA,10-14 ani, Masculin, Timis, Anul 1996, Numar persoane,126
 156623 DAROVA,10-14 ani, Masculin, Timis, Anul 1997, Numar persoane,132
 156623 DAROVA,10-14 ani, Masculin, Timis, Anul 1998, Numar persoane,136
 156623 DAROVA,10-14 ani, Feminin, Timis, Anul 1992, Numar persoane,106
 156623 DAROVA,10-14 ani, Feminin, Timis, Anul 1993, Numar persoane,109
 156623 DAROVA,10-14 ani, Feminin, Timis, Anul 1994, Numar persoane,116
 156623 DAROVA,10-14 ani, Feminin, Timis, Anul 1995, Numar persoane,110
 156623 DAROVA,10-14 ani, Feminin, Timis, Anul 1996, Numar persoane,114
 156623 DAROVA,10-14 ani, Feminin, Timis, Anul 1997, Numar persoane,115
