 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 156712 DUDESTII VECHI,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,211
 156712 DUDESTII VECHI,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,204
 156712 DUDESTII VECHI,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,192
 156712 DUDESTII VECHI,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,159
 156712 DUDESTII VECHI,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,137
 156712 DUDESTII VECHI,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,137
 156712 DUDESTII VECHI,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,141
 156712 DUDESTII VECHI,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,182
 156712 DUDESTII VECHI,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,181
 156712 DUDESTII VECHI,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,165
 156712 DUDESTII VECHI,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,153
 156712 DUDESTII VECHI,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,155
 156712 DUDESTII VECHI,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,144
 156712 DUDESTII VECHI,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,141
 156712 DUDESTII VECHI,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,222
 156712 DUDESTII VECHI,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,230
 156712 DUDESTII VECHI,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,234
 156712 DUDESTII VECHI,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,247
 156712 DUDESTII VECHI,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,252
 156712 DUDESTII VECHI,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,215
 156712 DUDESTII VECHI,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,198
 156712 DUDESTII VECHI,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,207
 156712 DUDESTII VECHI,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,208
 156712 DUDESTII VECHI,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,214
 156712 DUDESTII VECHI,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,207
 156712 DUDESTII VECHI,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,193
 156712 DUDESTII VECHI,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,194
 156712 DUDESTII VECHI,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,184
 156712 DUDESTII VECHI,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,190
 156712 DUDESTII VECHI,10-14 ani, Masculin, Timis, Anul 1993, Numar persoane,202
 156712 DUDESTII VECHI,10-14 ani, Masculin, Timis, Anul 1994, Numar persoane,202
 156712 DUDESTII VECHI,10-14 ani, Masculin, Timis, Anul 1995, Numar persoane,204
 156712 DUDESTII VECHI,10-14 ani, Masculin, Timis, Anul 1996, Numar persoane,208
 156712 DUDESTII VECHI,10-14 ani, Masculin, Timis, Anul 1997, Numar persoane,232
 156712 DUDESTII VECHI,10-14 ani, Masculin, Timis, Anul 1998, Numar persoane,231
 156712 DUDESTII VECHI,10-14 ani, Feminin, Timis, Anul 1992, Numar persoane,191
 156712 DUDESTII VECHI,10-14 ani, Feminin, Timis, Anul 1993, Numar persoane,208
 156712 DUDESTII VECHI,10-14 ani, Feminin, Timis, Anul 1994, Numar persoane,215
 156712 DUDESTII VECHI,10-14 ani, Feminin, Timis, Anul 1995, Numar persoane,211
 156712 DUDESTII VECHI,10-14 ani, Feminin, Timis, Anul 1996, Numar persoane,215
 156712 DUDESTII VECHI,10-14 ani, Feminin, Timis, Anul 1997, Numar persoane,214
 156712 DUDESTII VECHI,10-14 ani, Feminin, Timis, Anul 1998, Numar persoane,215
 156712 DUDESTII VECHI,15-19 ani, Masculin, Timis, Anul 1992, Numar persoane,234
 156712 DUDESTII VECHI,15-19 ani, Masculin, Timis, Anul 1993, Numar persoane,228
 156712 DUDESTII VECHI,15-19 ani, Masculin, Timis, Anul 1994, Numar persoane,226
 156712 DUDESTII VECHI,15-19 ani, Masculin, Timis, Anul 1995, Numar persoane,208
 156712 DUDESTII VECHI,15-19 ani, Masculin, Timis, Anul 1996, Numar persoane,193
 156712 DUDESTII VECHI,15-19 ani, Masculin, Timis, Anul 1997, Numar persoane,191
 156712 DUDESTII VECHI,15-19 ani, Masculin, Timis, Anul 1998, Numar persoane,200
 156712 DUDESTII VECHI,15-19 ani, Feminin, Timis, Anul 1992, Numar persoane,213
 156712 DUDESTII VECHI,15-19 ani, Feminin, Timis, Anul 1993, Numar persoane,210
 156712 DUDESTII VECHI,15-19 ani, Feminin, Timis, Anul 1994, Numar persoane,210
 156712 DUDESTII VECHI,15-19 ani, Feminin, Timis, Anul 1995, Numar persoane,211
 156712 DUDESTII VECHI,15-19 ani, Feminin, Timis, Anul 1996, Numar persoane,202
 156712 DUDESTII VECHI,15-19 ani, Feminin, Timis, Anul 1997, Numar persoane,201
 156712 DUDESTII VECHI,15-19 ani, Feminin, Timis, Anul 1998, Numar persoane,209
 156712 DUDESTII VECHI,20-24 ani, Masculin, Timis, Anul 1992, Numar persoane,245
 156712 DUDESTII VECHI,20-24 ani, Masculin, Timis, Anul 1993, Numar persoane,239
 156712 DUDESTII VECHI,20-24 ani, Masculin, Timis, Anul 1994, Numar persoane,236
 156712 DUDESTII VECHI,20-24 ani, Masculin, Timis, Anul 1995, Numar persoane,232
 156712 DUDESTII VECHI,20-24 ani, Masculin, Timis, Anul 1996, Numar persoane,234
 156712 DUDESTII VECHI,20-24 ani, Masculin, Timis, Anul 1997, Numar persoane,228
 156712 DUDESTII VECHI,20-24 ani, Masculin, Timis, Anul 1998, Numar persoane,226
 156712 DUDESTII VECHI,20-24 ani, Feminin, Timis, Anul 1992, Numar persoane,280
 156712 DUDESTII VECHI,20-24 ani, Feminin, Timis, Anul 1993, Numar persoane,265
 156712 DUDESTII VECHI,20-24 ani, Feminin, Timis, Anul 1994, Numar persoane,235
 156712 DUDESTII VECHI,20-24 ani, Feminin, Timis, Anul 1995, Numar persoane,219
 156712 DUDESTII VECHI,20-24 ani, Feminin, Timis, Anul 1996, Numar persoane,211
