 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 157834 MOSNITA NOUA,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,116
 157834 MOSNITA NOUA,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,122
 157834 MOSNITA NOUA,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,130
 157834 MOSNITA NOUA,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,129
 157834 MOSNITA NOUA,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,124
 157834 MOSNITA NOUA,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,134
 157834 MOSNITA NOUA,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,125
 157834 MOSNITA NOUA,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,149
 157834 MOSNITA NOUA,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,139
 157834 MOSNITA NOUA,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,140
 157834 MOSNITA NOUA,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,126
 157834 MOSNITA NOUA,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,128
 157834 MOSNITA NOUA,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,139
 157834 MOSNITA NOUA,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,126
 157834 MOSNITA NOUA,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,120
 157834 MOSNITA NOUA,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,132
 157834 MOSNITA NOUA,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,141
 157834 MOSNITA NOUA,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,144
 157834 MOSNITA NOUA,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,143
 157834 MOSNITA NOUA,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,130
 157834 MOSNITA NOUA,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,132
 157834 MOSNITA NOUA,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,153
 157834 MOSNITA NOUA,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,168
 157834 MOSNITA NOUA,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,172
 157834 MOSNITA NOUA,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,165
 157834 MOSNITA NOUA,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,160
 157834 MOSNITA NOUA,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,149
 157834 MOSNITA NOUA,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,141
 157834 MOSNITA NOUA,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,154
 157834 MOSNITA NOUA,10-14 ani, Masculin, Timis, Anul 1993, Numar persoane,135
 157834 MOSNITA NOUA,10-14 ani, Masculin, Timis, Anul 1994, Numar persoane,136
 157834 MOSNITA NOUA,10-14 ani, Masculin, Timis, Anul 1995, Numar persoane,123
 157834 MOSNITA NOUA,10-14 ani, Masculin, Timis, Anul 1996, Numar persoane,115
 157834 MOSNITA NOUA,10-14 ani, Masculin, Timis, Anul 1997, Numar persoane,119
 157834 MOSNITA NOUA,10-14 ani, Masculin, Timis, Anul 1998, Numar persoane,134
 157834 MOSNITA NOUA,10-14 ani, Feminin, Timis, Anul 1992, Numar persoane,138
 157834 MOSNITA NOUA,10-14 ani, Feminin, Timis, Anul 1993, Numar persoane,124
 157834 MOSNITA NOUA,10-14 ani, Feminin, Timis, Anul 1994, Numar persoane,128
 157834 MOSNITA NOUA,10-14 ani, Feminin, Timis, Anul 1995, Numar persoane,143
 157834 MOSNITA NOUA,10-14 ani, Feminin, Timis, Anul 1996, Numar persoane,155
 157834 MOSNITA NOUA,10-14 ani, Feminin, Timis, Anul 1997, Numar persoane,157
 157834 MOSNITA NOUA,10-14 ani, Feminin, Timis, Anul 1998, Numar persoane,175
 157834 MOSNITA NOUA,15-19 ani, Masculin, Timis, Anul 1992, Numar persoane,172
 157834 MOSNITA NOUA,15-19 ani, Masculin, Timis, Anul 1993, Numar persoane,160
 157834 MOSNITA NOUA,15-19 ani, Masculin, Timis, Anul 1994, Numar persoane,162
 157834 MOSNITA NOUA,15-19 ani, Masculin, Timis, Anul 1995, Numar persoane,160
 157834 MOSNITA NOUA,15-19 ani, Masculin, Timis, Anul 1996, Numar persoane,160
 157834 MOSNITA NOUA,15-19 ani, Masculin, Timis, Anul 1997, Numar persoane,156
 157834 MOSNITA NOUA,15-19 ani, Masculin, Timis, Anul 1998, Numar persoane,143
 157834 MOSNITA NOUA,15-19 ani, Feminin, Timis, Anul 1992, Numar persoane,171
 157834 MOSNITA NOUA,15-19 ani, Feminin, Timis, Anul 1993, Numar persoane,167
 157834 MOSNITA NOUA,15-19 ani, Feminin, Timis, Anul 1994, Numar persoane,170
 157834 MOSNITA NOUA,15-19 ani, Feminin, Timis, Anul 1995, Numar persoane,159
 157834 MOSNITA NOUA,15-19 ani, Feminin, Timis, Anul 1996, Numar persoane,143
 157834 MOSNITA NOUA,15-19 ani, Feminin, Timis, Anul 1997, Numar persoane,132
 157834 MOSNITA NOUA,15-19 ani, Feminin, Timis, Anul 1998, Numar persoane,123
 157834 MOSNITA NOUA,20-24 ani, Masculin, Timis, Anul 1992, Numar persoane,170
 157834 MOSNITA NOUA,20-24 ani, Masculin, Timis, Anul 1993, Numar persoane,172
 157834 MOSNITA NOUA,20-24 ani, Masculin, Timis, Anul 1994, Numar persoane,165
 157834 MOSNITA NOUA,20-24 ani, Masculin, Timis, Anul 1995, Numar persoane,180
 157834 MOSNITA NOUA,20-24 ani, Masculin, Timis, Anul 1996, Numar persoane,178
 157834 MOSNITA NOUA,20-24 ani, Masculin, Timis, Anul 1997, Numar persoane,168
 157834 MOSNITA NOUA,20-24 ani, Masculin, Timis, Anul 1998, Numar persoane,165
 157834 MOSNITA NOUA,20-24 ani, Feminin, Timis, Anul 1992, Numar persoane,182
 157834 MOSNITA NOUA,20-24 ani, Feminin, Timis, Anul 1993, Numar persoane,162
 157834 MOSNITA NOUA,20-24 ani, Feminin, Timis, Anul 1994, Numar persoane,151
 157834 MOSNITA NOUA,20-24 ani, Feminin, Timis, Anul 1995, Numar persoane,152
 157834 MOSNITA NOUA,20-24 ani, Feminin, Timis, Anul 1996, Numar persoane,157
 157834 MOSNITA NOUA,20-24 ani, Feminin, Timis, Anul 1997, Numar persoane,153
 157834 MOSNITA NOUA,20-24 ani, Feminin, Timis, Anul 1998, Numar persoane,153
 157834 MOSNITA NOUA,25-29 ani, Masculin, Timis, Anul 1992, Numar persoane,106
 157834 MOSNITA NOUA,25-29 ani, Masculin, Timis, Anul 1993, Numar persoane,117
 157834 MOSNITA NOUA,25-29 ani, Masculin, Timis, Anul 1994, Numar persoane,135
 157834 MOSNITA NOUA,25-29 ani, Masculin, Timis, Anul 1995, Numar persoane,133
 157834 MOSNITA NOUA,25-29 ani, Masculin, Timis, Anul 1996, Numar persoane,154
 157834 MOSNITA NOUA,25-29 ani, Masculin, Timis, Anul 1997, Numar persoane,167
 157834 MOSNITA NOUA,25-29 ani, Masculin, Timis, Anul 1998, Numar persoane,162
 157834 MOSNITA NOUA,25-29 ani, Feminin, Timis, Anul 1992, Numar persoane,91
 157834 MOSNITA NOUA,25-29 ani, Feminin, Timis, Anul 1993, Numar persoane,107
 157834 MOSNITA NOUA,25-29 ani, Feminin, Timis, Anul 1994, Numar persoane,133
 157834 MOSNITA NOUA,25-29 ani, Feminin, Timis, Anul 1995, Numar persoane,144
 157834 MOSNITA NOUA,25-29 ani, Feminin, Timis, Anul 1996, Numar persoane,153
 157834 MOSNITA NOUA,25-29 ani, Feminin, Timis, Anul 1997, Numar persoane,173
 157834 MOSNITA NOUA,25-29 ani, Feminin, Timis, Anul 1998, Numar persoane,159
 157834 MOSNITA NOUA,30-34 ani, Masculin, Timis, Anul 1992, Numar persoane,133
 157834 MOSNITA NOUA,30-34 ani, Masculin, Timis, Anul 1993, Numar persoane,113
