 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 157923 NITCHIDORF,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,63
 157923 NITCHIDORF,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,62
 157923 NITCHIDORF,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,51
 157923 NITCHIDORF,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,49
 157923 NITCHIDORF,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,50
 157923 NITCHIDORF,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,40
 157923 NITCHIDORF,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,43
 157923 NITCHIDORF,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,72
 157923 NITCHIDORF,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,71
 157923 NITCHIDORF,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,64
 157923 NITCHIDORF,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,59
 157923 NITCHIDORF,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,61
 157923 NITCHIDORF,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,60
 157923 NITCHIDORF,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,64
 157923 NITCHIDORF,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,68
 157923 NITCHIDORF,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,60
 157923 NITCHIDORF,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,66
 157923 NITCHIDORF,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,60
 157923 NITCHIDORF,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,62
 157923 NITCHIDORF,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,66
 157923 NITCHIDORF,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,61
 157923 NITCHIDORF,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,58
 157923 NITCHIDORF,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,70
 157923 NITCHIDORF,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,77
 157923 NITCHIDORF,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,86
 157923 NITCHIDORF,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,90
 157923 NITCHIDORF,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,78
 157923 NITCHIDORF,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,71
 157923 NITCHIDORF,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,71
 157923 NITCHIDORF,10-14 ani, Masculin, Timis, Anul 1993, Numar persoane,77
 157923 NITCHIDORF,10-14 ani, Masculin, Timis, Anul 1994, Numar persoane,75
 157923 NITCHIDORF,10-14 ani, Masculin, Timis, Anul 1995, Numar persoane,78
 157923 NITCHIDORF,10-14 ani, Masculin, Timis, Anul 1996, Numar persoane,70
 157923 NITCHIDORF,10-14 ani, Masculin, Timis, Anul 1997, Numar persoane,65
 157923 NITCHIDORF,10-14 ani, Masculin, Timis, Anul 1998, Numar persoane,57
 157923 NITCHIDORF,10-14 ani, Feminin, Timis, Anul 1992, Numar persoane,65
 157923 NITCHIDORF,10-14 ani, Feminin, Timis, Anul 1993, Numar persoane,64
 157923 NITCHIDORF,10-14 ani, Feminin, Timis, Anul 1994, Numar persoane,62
 157923 NITCHIDORF,10-14 ani, Feminin, Timis, Anul 1995, Numar persoane,61
 157923 NITCHIDORF,10-14 ani, Feminin, Timis, Anul 1996, Numar persoane,59
 157923 NITCHIDORF,10-14 ani, Feminin, Timis, Anul 1997, Numar persoane,67
 157923 NITCHIDORF,10-14 ani, Feminin, Timis, Anul 1998, Numar persoane,69
 157923 NITCHIDORF,15-19 ani, Masculin, Timis, Anul 1992, Numar persoane,47
 157923 NITCHIDORF,15-19 ani, Masculin, Timis, Anul 1993, Numar persoane,52
 157923 NITCHIDORF,15-19 ani, Masculin, Timis, Anul 1994, Numar persoane,56
 157923 NITCHIDORF,15-19 ani, Masculin, Timis, Anul 1995, Numar persoane,67
 157923 NITCHIDORF,15-19 ani, Masculin, Timis, Anul 1996, Numar persoane,73
 157923 NITCHIDORF,15-19 ani, Masculin, Timis, Anul 1997, Numar persoane,78
 157923 NITCHIDORF,15-19 ani, Masculin, Timis, Anul 1998, Numar persoane,83
 157923 NITCHIDORF,15-19 ani, Feminin, Timis, Anul 1992, Numar persoane,68
 157923 NITCHIDORF,15-19 ani, Feminin, Timis, Anul 1993, Numar persoane,69
 157923 NITCHIDORF,15-19 ani, Feminin, Timis, Anul 1994, Numar persoane,75
 157923 NITCHIDORF,15-19 ani, Feminin, Timis, Anul 1995, Numar persoane,73
 157923 NITCHIDORF,15-19 ani, Feminin, Timis, Anul 1996, Numar persoane,77
 157923 NITCHIDORF,15-19 ani, Feminin, Timis, Anul 1997, Numar persoane,71
 157923 NITCHIDORF,15-19 ani, Feminin, Timis, Anul 1998, Numar persoane,69
 157923 NITCHIDORF,20-24 ani, Masculin, Timis, Anul 1992, Numar persoane,62
 157923 NITCHIDORF,20-24 ani, Masculin, Timis, Anul 1993, Numar persoane,67
 157923 NITCHIDORF,20-24 ani, Masculin, Timis, Anul 1994, Numar persoane,63
 157923 NITCHIDORF,20-24 ani, Masculin, Timis, Anul 1995, Numar persoane,56
 157923 NITCHIDORF,20-24 ani, Masculin, Timis, Anul 1996, Numar persoane,51
 157923 NITCHIDORF,20-24 ani, Masculin, Timis, Anul 1997, Numar persoane,49
 157923 NITCHIDORF,20-24 ani, Masculin, Timis, Anul 1998, Numar persoane,56
 157923 NITCHIDORF,20-24 ani, Feminin, Timis, Anul 1992, Numar persoane,58
 157923 NITCHIDORF,20-24 ani, Feminin, Timis, Anul 1993, Numar persoane,72
 157923 NITCHIDORF,20-24 ani, Feminin, Timis, Anul 1994, Numar persoane,74
 157923 NITCHIDORF,20-24 ani, Feminin, Timis, Anul 1995, Numar persoane,68
 157923 NITCHIDORF,20-24 ani, Feminin, Timis, Anul 1996, Numar persoane,70
 157923 NITCHIDORF,20-24 ani, Feminin, Timis, Anul 1997, Numar persoane,70
 157923 NITCHIDORF,20-24 ani, Feminin, Timis, Anul 1998, Numar persoane,72
 157923 NITCHIDORF,25-29 ani, Masculin, Timis, Anul 1992, Numar persoane,56
 157923 NITCHIDORF,25-29 ani, Masculin, Timis, Anul 1993, Numar persoane,61
 157923 NITCHIDORF,25-29 ani, Masculin, Timis, Anul 1994, Numar persoane,72
 157923 NITCHIDORF,25-29 ani, Masculin, Timis, Anul 1995, Numar persoane,67
 157923 NITCHIDORF,25-29 ani, Masculin, Timis, Anul 1996, Numar persoane,71
 157923 NITCHIDORF,25-29 ani, Masculin, Timis, Anul 1997, Numar persoane,68
 157923 NITCHIDORF,25-29 ani, Masculin, Timis, Anul 1998, Numar persoane,65
 157923 NITCHIDORF,25-29 ani, Feminin, Timis, Anul 1992, Numar persoane,37
 157923 NITCHIDORF,25-29 ani, Feminin, Timis, Anul 1993, Numar persoane,40
 157923 NITCHIDORF,25-29 ani, Feminin, Timis, Anul 1994, Numar persoane,38
 157923 NITCHIDORF,25-29 ani, Feminin, Timis, Anul 1995, Numar persoane,45
 157923 NITCHIDORF,25-29 ani, Feminin, Timis, Anul 1996, Numar persoane,51
 157923 NITCHIDORF,25-29 ani, Feminin, Timis, Anul 1997, Numar persoane,62
 157923 NITCHIDORF,25-29 ani, Feminin, Timis, Anul 1998, Numar persoane,67
 157923 NITCHIDORF,30-34 ani, Masculin, Timis, Anul 1992, Numar persoane,50
 157923 NITCHIDORF,30-34 ani, Masculin, Timis, Anul 1993, Numar persoane,49
 157923 NITCHIDORF,30-34 ani, Masculin, Timis, Anul 1994, Numar persoane,51
 157923 NITCHIDORF,30-34 ani, Masculin, Timis, Anul 1995, Numar persoane,50
 157923 NITCHIDORF,30-34 ani, Masculin, Timis, Anul 1996, Numar persoane,52
