 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 158136 PIETROASA,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,55
 158136 PIETROASA,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,47
 158136 PIETROASA,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,53
 158136 PIETROASA,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,57
 158136 PIETROASA,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,63
 158136 PIETROASA,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,70
 158136 PIETROASA,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,74
 158136 PIETROASA,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,47
 158136 PIETROASA,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,48
 158136 PIETROASA,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,51
 158136 PIETROASA,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,50
 158136 PIETROASA,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,46
 158136 PIETROASA,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,45
 158136 PIETROASA,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,45
 158136 PIETROASA,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,47
 158136 PIETROASA,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,50
 158136 PIETROASA,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,56
 158136 PIETROASA,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,59
 158136 PIETROASA,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,58
 158136 PIETROASA,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,54
 158136 PIETROASA,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,49
 158136 PIETROASA,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,46
 158136 PIETROASA,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,46
 158136 PIETROASA,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,44
 158136 PIETROASA,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,46
 158136 PIETROASA,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,42
 158136 PIETROASA,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,43
 158136 PIETROASA,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,45
 158136 PIETROASA,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,48
 158136 PIETROASA,10-14 ani, Masculin, Timis, Anul 1993, Numar persoane,48
 158136 PIETROASA,10-14 ani, Masculin, Timis, Anul 1994, Numar persoane,45
 158136 PIETROASA,10-14 ani, Masculin, Timis, Anul 1995, Numar persoane,45
 158136 PIETROASA,10-14 ani, Masculin, Timis, Anul 1996, Numar persoane,46
 158136 PIETROASA,10-14 ani, Masculin, Timis, Anul 1997, Numar persoane,46
 158136 PIETROASA,10-14 ani, Masculin, Timis, Anul 1998, Numar persoane,49
 158136 PIETROASA,10-14 ani, Feminin, Timis, Anul 1992, Numar persoane,50
 158136 PIETROASA,10-14 ani, Feminin, Timis, Anul 1993, Numar persoane,49
 158136 PIETROASA,10-14 ani, Feminin, Timis, Anul 1994, Numar persoane,43
 158136 PIETROASA,10-14 ani, Feminin, Timis, Anul 1995, Numar persoane,34
