 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 158314 ORAS RECAS,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,306
 158314 ORAS RECAS,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,280
 158314 ORAS RECAS,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,277
 158314 ORAS RECAS,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,257
 158314 ORAS RECAS,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,256
 158314 ORAS RECAS,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,245
 158314 ORAS RECAS,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,251
 158314 ORAS RECAS,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,323
 158314 ORAS RECAS,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,289
 158314 ORAS RECAS,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,283
 158314 ORAS RECAS,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,277
 158314 ORAS RECAS,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,244
 158314 ORAS RECAS,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,224
 158314 ORAS RECAS,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,220
 158314 ORAS RECAS,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,362
 158314 ORAS RECAS,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,372
 158314 ORAS RECAS,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,377
 158314 ORAS RECAS,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,353
 158314 ORAS RECAS,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,329
 158314 ORAS RECAS,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,310
 158314 ORAS RECAS,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,286
 158314 ORAS RECAS,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,308
 158314 ORAS RECAS,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,325
 158314 ORAS RECAS,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,335
 158314 ORAS RECAS,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,326
 158314 ORAS RECAS,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,314
 158314 ORAS RECAS,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,310
 158314 ORAS RECAS,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,287
 158314 ORAS RECAS,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,319
 158314 ORAS RECAS,10-14 ani, Masculin, Timis, Anul 1993, Numar persoane,318
 158314 ORAS RECAS,10-14 ani, Masculin, Timis, Anul 1994, Numar persoane,311
 158314 ORAS RECAS,10-14 ani, Masculin, Timis, Anul 1995, Numar persoane,322
 158314 ORAS RECAS,10-14 ani, Masculin, Timis, Anul 1996, Numar persoane,343
 158314 ORAS RECAS,10-14 ani, Masculin, Timis, Anul 1997, Numar persoane,353
 158314 ORAS RECAS,10-14 ani, Masculin, Timis, Anul 1998, Numar persoane,361
 158314 ORAS RECAS,10-14 ani, Feminin, Timis, Anul 1992, Numar persoane,307
 158314 ORAS RECAS,10-14 ani, Feminin, Timis, Anul 1993, Numar persoane,304
 158314 ORAS RECAS,10-14 ani, Feminin, Timis, Anul 1994, Numar persoane,271
 158314 ORAS RECAS,10-14 ani, Feminin, Timis, Anul 1995, Numar persoane,277
 158314 ORAS RECAS,10-14 ani, Feminin, Timis, Anul 1996, Numar persoane,297
 158314 ORAS RECAS,10-14 ani, Feminin, Timis, Anul 1997, Numar persoane,300
 158314 ORAS RECAS,10-14 ani, Feminin, Timis, Anul 1998, Numar persoane,311
 158314 ORAS RECAS,15-19 ani, Masculin, Timis, Anul 1992, Numar persoane,362
 158314 ORAS RECAS,15-19 ani, Masculin, Timis, Anul 1993, Numar persoane,352
 158314 ORAS RECAS,15-19 ani, Masculin, Timis, Anul 1994, Numar persoane,351
 158314 ORAS RECAS,15-19 ani, Masculin, Timis, Anul 1995, Numar persoane,343
 158314 ORAS RECAS,15-19 ani, Masculin, Timis, Anul 1996, Numar persoane,324
 158314 ORAS RECAS,15-19 ani, Masculin, Timis, Anul 1997, Numar persoane,326
 158314 ORAS RECAS,15-19 ani, Masculin, Timis, Anul 1998, Numar persoane,327
 158314 ORAS RECAS,15-19 ani, Feminin, Timis, Anul 1992, Numar persoane,332
 158314 ORAS RECAS,15-19 ani, Feminin, Timis, Anul 1993, Numar persoane,324
 158314 ORAS RECAS,15-19 ani, Feminin, Timis, Anul 1994, Numar persoane,321
 158314 ORAS RECAS,15-19 ani, Feminin, Timis, Anul 1995, Numar persoane,314
 158314 ORAS RECAS,15-19 ani, Feminin, Timis, Anul 1996, Numar persoane,298
 158314 ORAS RECAS,15-19 ani, Feminin, Timis, Anul 1997, Numar persoane,300
 158314 ORAS RECAS,15-19 ani, Feminin, Timis, Anul 1998, Numar persoane,300
 158314 ORAS RECAS,20-24 ani, Masculin, Timis, Anul 1992, Numar persoane,401
 158314 ORAS RECAS,20-24 ani, Masculin, Timis, Anul 1993, Numar persoane,379
 158314 ORAS RECAS,20-24 ani, Masculin, Timis, Anul 1994, Numar persoane,353
 158314 ORAS RECAS,20-24 ani, Masculin, Timis, Anul 1995, Numar persoane,376
 158314 ORAS RECAS,20-24 ani, Masculin, Timis, Anul 1996, Numar persoane,374
 158314 ORAS RECAS,20-24 ani, Masculin, Timis, Anul 1997, Numar persoane,353
 158314 ORAS RECAS,20-24 ani, Masculin, Timis, Anul 1998, Numar persoane,361
 158314 ORAS RECAS,20-24 ani, Feminin, Timis, Anul 1992, Numar persoane,326
 158314 ORAS RECAS,20-24 ani, Feminin, Timis, Anul 1993, Numar persoane,313
 158314 ORAS RECAS,20-24 ani, Feminin, Timis, Anul 1994, Numar persoane,327
 158314 ORAS RECAS,20-24 ani, Feminin, Timis, Anul 1995, Numar persoane,325
 158314 ORAS RECAS,20-24 ani, Feminin, Timis, Anul 1996, Numar persoane,329
 158314 ORAS RECAS,20-24 ani, Feminin, Timis, Anul 1997, Numar persoane,332
 158314 ORAS RECAS,20-24 ani, Feminin, Timis, Anul 1998, Numar persoane,321
 158314 ORAS RECAS,25-29 ani, Masculin, Timis, Anul 1992, Numar persoane,193
 158314 ORAS RECAS,25-29 ani, Masculin, Timis, Anul 1993, Numar persoane,244
 158314 ORAS RECAS,25-29 ani, Masculin, Timis, Anul 1994, Numar persoane,279
