 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 158804 STIUCA,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,87
 158804 STIUCA,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,95
 158804 STIUCA,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,103
 158804 STIUCA,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,112
 158804 STIUCA,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,99
 158804 STIUCA,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,97
 158804 STIUCA,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,83
 158804 STIUCA,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,73
 158804 STIUCA,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,78
 158804 STIUCA,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,80
 158804 STIUCA,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,77
 158804 STIUCA,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,76
 158804 STIUCA,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,75
 158804 STIUCA,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,72
 158804 STIUCA,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,75
 158804 STIUCA,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,74
 158804 STIUCA,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,83
 158804 STIUCA,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,85
 158804 STIUCA,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,89
 158804 STIUCA,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,94
 158804 STIUCA,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,99
 158804 STIUCA,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,65
 158804 STIUCA,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,72
 158804 STIUCA,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,78
 158804 STIUCA,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,86
 158804 STIUCA,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,83
