 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 159035 TORMAC,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,104
 159035 TORMAC,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,102
 159035 TORMAC,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,88
 159035 TORMAC,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,90
 159035 TORMAC,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,87
 159035 TORMAC,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,91
 159035 TORMAC,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,89
 159035 TORMAC,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,107
 159035 TORMAC,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,94
 159035 TORMAC,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,81
 159035 TORMAC,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,79
 159035 TORMAC,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,69
 159035 TORMAC,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,68
 159035 TORMAC,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,64
 159035 TORMAC,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,78
 159035 TORMAC,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,102
 159035 TORMAC,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,111
 159035 TORMAC,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,123
 159035 TORMAC,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,120
 159035 TORMAC,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,111
 159035 TORMAC,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,102
 159035 TORMAC,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,93
 159035 TORMAC,5- 9 ani, Feminin, Timis, Anul 1993, Numar persoane,114
 159035 TORMAC,5- 9 ani, Feminin, Timis, Anul 1994, Numar persoane,116
 159035 TORMAC,5- 9 ani, Feminin, Timis, Anul 1995, Numar persoane,118
 159035 TORMAC,5- 9 ani, Feminin, Timis, Anul 1996, Numar persoane,122
 159035 TORMAC,5- 9 ani, Feminin, Timis, Anul 1997, Numar persoane,115
 159035 TORMAC,5- 9 ani, Feminin, Timis, Anul 1998, Numar persoane,98
 159035 TORMAC,10-14 ani, Masculin, Timis, Anul 1992, Numar persoane,85
 159035 TORMAC,10-14 ani, Masculin, Timis, Anul 1993, Numar persoane,71
 159035 TORMAC,10-14 ani, Masculin, Timis, Anul 1994, Numar persoane,73
 159035 TORMAC,10-14 ani, Masculin, Timis, Anul 1995, Numar persoane,67
 159035 TORMAC,10-14 ani, Masculin, Timis, Anul 1996, Numar persoane,81
 159035 TORMAC,10-14 ani, Masculin, Timis, Anul 1997, Numar persoane,81
 159035 TORMAC,10-14 ani, Masculin, Timis, Anul 1998, Numar persoane,102
 159035 TORMAC,10-14 ani, Feminin, Timis, Anul 1992, Numar persoane,89
 159035 TORMAC,10-14 ani, Feminin, Timis, Anul 1993, Numar persoane,92
 159035 TORMAC,10-14 ani, Feminin, Timis, Anul 1994, Numar persoane,107
 159035 TORMAC,10-14 ani, Feminin, Timis, Anul 1995, Numar persoane,106
 159035 TORMAC,10-14 ani, Feminin, Timis, Anul 1996, Numar persoane,96
 159035 TORMAC,10-14 ani, Feminin, Timis, Anul 1997, Numar persoane,94
 159035 TORMAC,10-14 ani, Feminin, Timis, Anul 1998, Numar persoane,113
 159035 TORMAC,15-19 ani, Masculin, Timis, Anul 1992, Numar persoane,100
 159035 TORMAC,15-19 ani, Masculin, Timis, Anul 1993, Numar persoane,105
 159035 TORMAC,15-19 ani, Masculin, Timis, Anul 1994, Numar persoane,100
 159035 TORMAC,15-19 ani, Masculin, Timis, Anul 1995, Numar persoane,106
 159035 TORMAC,15-19 ani, Masculin, Timis, Anul 1996, Numar persoane,86
 159035 TORMAC,15-19 ani, Masculin, Timis, Anul 1997, Numar persoane,86
 159035 TORMAC,15-19 ani, Masculin, Timis, Anul 1998, Numar persoane,74
 159035 TORMAC,15-19 ani, Feminin, Timis, Anul 1992, Numar persoane,92
 159035 TORMAC,15-19 ani, Feminin, Timis, Anul 1993, Numar persoane,92
 159035 TORMAC,15-19 ani, Feminin, Timis, Anul 1994, Numar persoane,74
 159035 TORMAC,15-19 ani, Feminin, Timis, Anul 1995, Numar persoane,80
 159035 TORMAC,15-19 ani, Feminin, Timis, Anul 1996, Numar persoane,81
 159035 TORMAC,15-19 ani, Feminin, Timis, Anul 1997, Numar persoane,94
 159035 TORMAC,15-19 ani, Feminin, Timis, Anul 1998, Numar persoane,93
 159035 TORMAC,20-24 ani, Masculin, Timis, Anul 1992, Numar persoane,136
 159035 TORMAC,20-24 ani, Masculin, Timis, Anul 1993, Numar persoane,127
 159035 TORMAC,20-24 ani, Masculin, Timis, Anul 1994, Numar persoane,121
 159035 TORMAC,20-24 ani, Masculin, Timis, Anul 1995, Numar persoane,107
 159035 TORMAC,20-24 ani, Masculin, Timis, Anul 1996, Numar persoane,112
 159035 TORMAC,20-24 ani, Masculin, Timis, Anul 1997, Numar persoane,102
 159035 TORMAC,20-24 ani, Masculin, Timis, Anul 1998, Numar persoane,109
 159035 TORMAC,20-24 ani, Feminin, Timis, Anul 1992, Numar persoane,100
 159035 TORMAC,20-24 ani, Feminin, Timis, Anul 1993, Numar persoane,107
 159035 TORMAC,20-24 ani, Feminin, Timis, Anul 1994, Numar persoane,98
 159035 TORMAC,20-24 ani, Feminin, Timis, Anul 1995, Numar persoane,97
 159035 TORMAC,20-24 ani, Feminin, Timis, Anul 1996, Numar persoane,100
 159035 TORMAC,20-24 ani, Feminin, Timis, Anul 1997, Numar persoane,94
 159035 TORMAC,20-24 ani, Feminin, Timis, Anul 1998, Numar persoane,90
 159035 TORMAC,25-29 ani, Masculin, Timis, Anul 1992, Numar persoane,64
 159035 TORMAC,25-29 ani, Masculin, Timis, Anul 1993, Numar persoane,77
 159035 TORMAC,25-29 ani, Masculin, Timis, Anul 1994, Numar persoane,90
 159035 TORMAC,25-29 ani, Masculin, Timis, Anul 1995, Numar persoane,111
 159035 TORMAC,25-29 ani, Masculin, Timis, Anul 1996, Numar persoane,124
 159035 TORMAC,25-29 ani, Masculin, Timis, Anul 1997, Numar persoane,135
 159035 TORMAC,25-29 ani, Masculin, Timis, Anul 1998, Numar persoane,127
 159035 TORMAC,25-29 ani, Feminin, Timis, Anul 1992, Numar persoane,61
 159035 TORMAC,25-29 ani, Feminin, Timis, Anul 1993, Numar persoane,69
 159035 TORMAC,25-29 ani, Feminin, Timis, Anul 1994, Numar persoane,79
 159035 TORMAC,25-29 ani, Feminin, Timis, Anul 1995, Numar persoane,94
 159035 TORMAC,25-29 ani, Feminin, Timis, Anul 1996, Numar persoane,91
 159035 TORMAC,25-29 ani, Feminin, Timis, Anul 1997, Numar persoane,98
 159035 TORMAC,25-29 ani, Feminin, Timis, Anul 1998, Numar persoane,101
 159035 TORMAC,30-34 ani, Masculin, Timis, Anul 1992, Numar persoane,79
 159035 TORMAC,30-34 ani, Masculin, Timis, Anul 1993, Numar persoane,74
 159035 TORMAC,30-34 ani, Masculin, Timis, Anul 1994, Numar persoane,68
 159035 TORMAC,30-34 ani, Masculin, Timis, Anul 1995, Numar persoane,68
 159035 TORMAC,30-34 ani, Masculin, Timis, Anul 1996, Numar persoane,69
 159035 TORMAC,30-34 ani, Masculin, Timis, Anul 1997, Numar persoane,71
 159035 TORMAC,30-34 ani, Masculin, Timis, Anul 1998, Numar persoane,81
 159035 TORMAC,30-34 ani, Feminin, Timis, Anul 1992, Numar persoane,76
 159035 TORMAC,30-34 ani, Feminin, Timis, Anul 1993, Numar persoane,70
