 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 159142 UIVAR,0- 4 ani, Masculin, Timis, Anul 1992, Numar persoane,199
 159142 UIVAR,0- 4 ani, Masculin, Timis, Anul 1993, Numar persoane,207
 159142 UIVAR,0- 4 ani, Masculin, Timis, Anul 1994, Numar persoane,201
 159142 UIVAR,0- 4 ani, Masculin, Timis, Anul 1995, Numar persoane,185
 159142 UIVAR,0- 4 ani, Masculin, Timis, Anul 1996, Numar persoane,179
 159142 UIVAR,0- 4 ani, Masculin, Timis, Anul 1997, Numar persoane,164
 159142 UIVAR,0- 4 ani, Masculin, Timis, Anul 1998, Numar persoane,154
 159142 UIVAR,0- 4 ani, Feminin, Timis, Anul 1992, Numar persoane,216
 159142 UIVAR,0- 4 ani, Feminin, Timis, Anul 1993, Numar persoane,199
 159142 UIVAR,0- 4 ani, Feminin, Timis, Anul 1994, Numar persoane,186
 159142 UIVAR,0- 4 ani, Feminin, Timis, Anul 1995, Numar persoane,181
 159142 UIVAR,0- 4 ani, Feminin, Timis, Anul 1996, Numar persoane,167
 159142 UIVAR,0- 4 ani, Feminin, Timis, Anul 1997, Numar persoane,152
 159142 UIVAR,0- 4 ani, Feminin, Timis, Anul 1998, Numar persoane,151
 159142 UIVAR,5- 9 ani, Masculin, Timis, Anul 1992, Numar persoane,197
 159142 UIVAR,5- 9 ani, Masculin, Timis, Anul 1993, Numar persoane,210
 159142 UIVAR,5- 9 ani, Masculin, Timis, Anul 1994, Numar persoane,212
 159142 UIVAR,5- 9 ani, Masculin, Timis, Anul 1995, Numar persoane,219
 159142 UIVAR,5- 9 ani, Masculin, Timis, Anul 1996, Numar persoane,218
 159142 UIVAR,5- 9 ani, Masculin, Timis, Anul 1997, Numar persoane,207
 159142 UIVAR,5- 9 ani, Masculin, Timis, Anul 1998, Numar persoane,208
 159142 UIVAR,5- 9 ani, Feminin, Timis, Anul 1992, Numar persoane,179
