 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 159393 FIBIS,0- 4 ani, Masculin, Timis, Anul 2005, Numar persoane,33
 159393 FIBIS,0- 4 ani, Masculin, Timis, Anul 2006, Numar persoane,36
 159393 FIBIS,0- 4 ani, Feminin, Timis, Anul 2005, Numar persoane,31
 159393 FIBIS,0- 4 ani, Feminin, Timis, Anul 2006, Numar persoane,32
 159393 FIBIS,5- 9 ani, Masculin, Timis, Anul 2005, Numar persoane,39
 159393 FIBIS,5- 9 ani, Masculin, Timis, Anul 2006, Numar persoane,39
 159393 FIBIS,5- 9 ani, Feminin, Timis, Anul 2005, Numar persoane,33
 159393 FIBIS,5- 9 ani, Feminin, Timis, Anul 2006, Numar persoane,34
 159393 FIBIS,10-14 ani, Masculin, Timis, Anul 2005, Numar persoane,38
 159393 FIBIS,10-14 ani, Masculin, Timis, Anul 2006, Numar persoane,40
 159393 FIBIS,10-14 ani, Feminin, Timis, Anul 2005, Numar persoane,35
 159393 FIBIS,10-14 ani, Feminin, Timis, Anul 2006, Numar persoane,38
 159393 FIBIS,15-19 ani, Masculin, Timis, Anul 2005, Numar persoane,51
 159393 FIBIS,15-19 ani, Masculin, Timis, Anul 2006, Numar persoane,46
 159393 FIBIS,15-19 ani, Feminin, Timis, Anul 2005, Numar persoane,61
 159393 FIBIS,15-19 ani, Feminin, Timis, Anul 2006, Numar persoane,55
 159393 FIBIS,20-24 ani, Masculin, Timis, Anul 2005, Numar persoane,52
 159393 FIBIS,20-24 ani, Masculin, Timis, Anul 2006, Numar persoane,47
 159393 FIBIS,20-24 ani, Feminin, Timis, Anul 2005, Numar persoane,51
 159393 FIBIS,20-24 ani, Feminin, Timis, Anul 2006, Numar persoane,49
 159393 FIBIS,25-29 ani, Masculin, Timis, Anul 2005, Numar persoane,53
 159393 FIBIS,25-29 ani, Masculin, Timis, Anul 2006, Numar persoane,61
 159393 FIBIS,25-29 ani, Feminin, Timis, Anul 2005, Numar persoane,63
 159393 FIBIS,25-29 ani, Feminin, Timis, Anul 2006, Numar persoane,67
 159393 FIBIS,30-34 ani, Masculin, Timis, Anul 2005, Numar persoane,59
 159393 FIBIS,30-34 ani, Masculin, Timis, Anul 2006, Numar persoane,58
 159393 FIBIS,30-34 ani, Feminin, Timis, Anul 2005, Numar persoane,55
 159393 FIBIS,30-34 ani, Feminin, Timis, Anul 2006, Numar persoane,55
 159393 FIBIS,35-39 ani, Masculin, Timis, Anul 2005, Numar persoane,60
 159393 FIBIS,35-39 ani, Masculin, Timis, Anul 2006, Numar persoane,71
 159393 FIBIS,35-39 ani, Feminin, Timis, Anul 2005, Numar persoane,35
 159393 FIBIS,35-39 ani, Feminin, Timis, Anul 2006, Numar persoane,45
 159393 FIBIS,40-44 ani, Masculin, Timis, Anul 2005, Numar persoane,36
 159393 FIBIS,40-44 ani, Masculin, Timis, Anul 2006, Numar persoane,37
 159393 FIBIS,40-44 ani, Feminin, Timis, Anul 2005, Numar persoane,36
 159393 FIBIS,40-44 ani, Feminin, Timis, Anul 2006, Numar persoane,32
 159393 FIBIS,45-49 ani, Masculin, Timis, Anul 2005, Numar persoane,52
 159393 FIBIS,45-49 ani, Masculin, Timis, Anul 2006, Numar persoane,42
 159393 FIBIS,45-49 ani, Feminin, Timis, Anul 2005, Numar persoane,45
 159393 FIBIS,45-49 ani, Feminin, Timis, Anul 2006, Numar persoane,45
 159393 FIBIS,50-54 ani, Masculin, Timis, Anul 2005, Numar persoane,36
 159393 FIBIS,50-54 ani, Masculin, Timis, Anul 2006, Numar persoane,39
 159393 FIBIS,50-54 ani, Feminin, Timis, Anul 2005, Numar persoane,51
 159393 FIBIS,50-54 ani, Feminin, Timis, Anul 2006, Numar persoane,45
 159393 FIBIS,55-59 ani, Masculin, Timis, Anul 2005, Numar persoane,45
 159393 FIBIS,55-59 ani, Masculin, Timis, Anul 2006, Numar persoane,51
 159393 FIBIS,55-59 ani, Feminin, Timis, Anul 2005, Numar persoane,53
 159393 FIBIS,55-59 ani, Feminin, Timis, Anul 2006, Numar persoane,67
 159393 FIBIS,60-64 ani, Masculin, Timis, Anul 2005, Numar persoane,45
 159393 FIBIS,60-64 ani, Masculin, Timis, Anul 2006, Numar persoane,42
 159393 FIBIS,60-64 ani, Feminin, Timis, Anul 2005, Numar persoane,38
 159393 FIBIS,60-64 ani, Feminin, Timis, Anul 2006, Numar persoane,29
 159393 FIBIS,65-69 ani, Masculin, Timis, Anul 2005, Numar persoane,38
 159393 FIBIS,65-69 ani, Masculin, Timis, Anul 2006, Numar persoane,40
 159393 FIBIS,65-69 ani, Feminin, Timis, Anul 2005, Numar persoane,56
 159393 FIBIS,65-69 ani, Feminin, Timis, Anul 2006, Numar persoane,62
 159393 FIBIS,70-74 ani, Masculin, Timis, Anul 2005, Numar persoane,29
 159393 FIBIS,70-74 ani, Masculin, Timis, Anul 2006, Numar persoane,31
 159393 FIBIS,70-74 ani, Feminin, Timis, Anul 2005, Numar persoane,42
 159393 FIBIS,70-74 ani, Feminin, Timis, Anul 2006, Numar persoane,39
 159393 FIBIS,75-79 ani, Masculin, Timis, Anul 2005, Numar persoane,20
 159393 FIBIS,75-79 ani, Masculin, Timis, Anul 2006, Numar persoane,21
 159393 FIBIS,75-79 ani, Feminin, Timis, Anul 2005, Numar persoane,39
 159393 FIBIS,75-79 ani, Feminin, Timis, Anul 2006, Numar persoane,39
 159393 FIBIS,80-84 ani, Masculin, Timis, Anul 2005, Numar persoane,18
