 Localitati ,Varste si grupe de varsta, Sexe, Judete, Ani, UM: Numar persoane, Valoare
 159437 PARTA,0- 4 ani, Masculin, Timis, Anul 2005, Numar persoane,61
 159437 PARTA,0- 4 ani, Masculin, Timis, Anul 2006, Numar persoane,54
 159437 PARTA,0- 4 ani, Feminin, Timis, Anul 2005, Numar persoane,60
 159437 PARTA,0- 4 ani, Feminin, Timis, Anul 2006, Numar persoane,62
 159437 PARTA,5- 9 ani, Masculin, Timis, Anul 2005, Numar persoane,45
 159437 PARTA,5- 9 ani, Masculin, Timis, Anul 2006, Numar persoane,48
 159437 PARTA,5- 9 ani, Feminin, Timis, Anul 2005, Numar persoane,55
 159437 PARTA,5- 9 ani, Feminin, Timis, Anul 2006, Numar persoane,57
 159437 PARTA,10-14 ani, Masculin, Timis, Anul 2005, Numar persoane,66
 159437 PARTA,10-14 ani, Masculin, Timis, Anul 2006, Numar persoane,56
 159437 PARTA,10-14 ani, Feminin, Timis, Anul 2005, Numar persoane,46
 159437 PARTA,10-14 ani, Feminin, Timis, Anul 2006, Numar persoane,43
 159437 PARTA,15-19 ani, Masculin, Timis, Anul 2005, Numar persoane,76
 159437 PARTA,15-19 ani, Masculin, Timis, Anul 2006, Numar persoane,80
 159437 PARTA,15-19 ani, Feminin, Timis, Anul 2005, Numar persoane,41
 159437 PARTA,15-19 ani, Feminin, Timis, Anul 2006, Numar persoane,48
 159437 PARTA,20-24 ani, Masculin, Timis, Anul 2005, Numar persoane,52
 159437 PARTA,20-24 ani, Masculin, Timis, Anul 2006, Numar persoane,53
 159437 PARTA,20-24 ani, Feminin, Timis, Anul 2005, Numar persoane,54
 159437 PARTA,20-24 ani, Feminin, Timis, Anul 2006, Numar persoane,53
 159437 PARTA,25-29 ani, Masculin, Timis, Anul 2005, Numar persoane,57
 159437 PARTA,25-29 ani, Masculin, Timis, Anul 2006, Numar persoane,58
 159437 PARTA,25-29 ani, Feminin, Timis, Anul 2005, Numar persoane,55
 159437 PARTA,25-29 ani, Feminin, Timis, Anul 2006, Numar persoane,52
 159437 PARTA,30-34 ani, Masculin, Timis, Anul 2005, Numar persoane,57
 159437 PARTA,30-34 ani, Masculin, Timis, Anul 2006, Numar persoane,57
 159437 PARTA,30-34 ani, Feminin, Timis, Anul 2005, Numar persoane,63
 159437 PARTA,30-34 ani, Feminin, Timis, Anul 2006, Numar persoane,60
 159437 PARTA,35-39 ani, Masculin, Timis, Anul 2005, Numar persoane,63
 159437 PARTA,35-39 ani, Masculin, Timis, Anul 2006, Numar persoane,71
 159437 PARTA,35-39 ani, Feminin, Timis, Anul 2005, Numar persoane,56
 159437 PARTA,35-39 ani, Feminin, Timis, Anul 2006, Numar persoane,66
 159437 PARTA,40-44 ani, Masculin, Timis, Anul 2005, Numar persoane,39
 159437 PARTA,40-44 ani, Masculin, Timis, Anul 2006, Numar persoane,40
 159437 PARTA,40-44 ani, Feminin, Timis, Anul 2005, Numar persoane,30
 159437 PARTA,40-44 ani, Feminin, Timis, Anul 2006, Numar persoane,26
 159437 PARTA,45-49 ani, Masculin, Timis, Anul 2005, Numar persoane,50
 159437 PARTA,45-49 ani, Masculin, Timis, Anul 2006, Numar persoane,51
 159437 PARTA,45-49 ani, Feminin, Timis, Anul 2005, Numar persoane,55
 159437 PARTA,45-49 ani, Feminin, Timis, Anul 2006, Numar persoane,56
 159437 PARTA,50-54 ani, Masculin, Timis, Anul 2005, Numar persoane,46
 159437 PARTA,50-54 ani, Masculin, Timis, Anul 2006, Numar persoane,47
 159437 PARTA,50-54 ani, Feminin, Timis, Anul 2005, Numar persoane,58
 159437 PARTA,50-54 ani, Feminin, Timis, Anul 2006, Numar persoane,52
 159437 PARTA,55-59 ani, Masculin, Timis, Anul 2005, Numar persoane,38
 159437 PARTA,55-59 ani, Masculin, Timis, Anul 2006, Numar persoane,39
 159437 PARTA,55-59 ani, Feminin, Timis, Anul 2005, Numar persoane,48
 159437 PARTA,55-59 ani, Feminin, Timis, Anul 2006, Numar persoane,55
